dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,38.88,39.75,37.88,38.06,35.6725757494,1912800,0.0,1.0
1999-11-02,38.0,40.44,37.56,39.94,37.4346472788,2178800,0.0,1.0
1999-11-03,41.0,41.56,39.75,40.06,37.5471199296,1696000,0.0,1.0
1999-11-04,40.12,40.44,38.62,39.81,37.3128019071,1611200,0.0,1.0
1999-11-05,40.94,42.5,40.69,42.5,39.8340638294,1988600,0.0,1.0
1999-11-08,42.25,43.0,41.0,41.12,38.5406283451,782000,0.0,1.0
1999-11-09,43.94,44.5,43.19,43.44,40.7150995941,2400800,0.0,1.0
1999-11-10,43.44,45.94,43.38,45.81,42.9364344477,1736300,0.0,1.0
1999-11-11,46.44,48.69,46.38,48.06,45.0452966504,2272500,0.0,1.0
1999-11-12,48.06,49.06,46.0,48.56,45.5139326955,10842000,0.0,1.0
1999-11-15,48.56,48.88,47.75,48.38,45.3452237192,2566400,0.0,1.0
1999-11-16,48.38,49.69,47.75,48.56,45.5139326955,2241700,0.0,1.0
1999-11-17,50.19,50.69,47.44,48.0,44.989060325,2314200,0.0,1.0
1999-11-18,47.81,48.44,46.5,47.31,44.3423425828,2031200,0.0,1.0
1999-11-19,48.5,50.0,48.0,48.5,45.4576963701,1849600,0.0,1.0
1999-11-22,48.0,48.12,46.31,46.44,43.5269158644,1258800,0.0,1.0
1999-11-23,46.25,47.56,45.06,45.69,42.8239617969,2022600,0.0,1.0
1999-11-24,45.5,45.81,44.69,45.0,42.1772440547,1112600,0.0,1.0
1999-11-26,44.88,46.25,44.69,44.94,42.1210077293,359500,0.0,1.0
1999-11-29,44.75,45.31,43.0,43.69,40.9494176167,1084700,0.0,1.0
1999-11-30,42.38,44.44,42.06,43.56,40.8275722449,1277900,0.0,1.0
1999-12-01,43.81,45.31,43.75,44.38,41.5961353588,879300,0.0,1.0
1999-12-02,46.94,49.0,46.56,49.0,45.9263324151,1525000,0.0,1.0
1999-12-03,50.0,50.56,48.88,50.06,46.9198408306,1808600,0.0,1.0
1999-12-06,50.12,56.0,49.88,55.69,52.1966826979,2047100,0.0,1.0
1999-12-07,55.0,55.0,51.94,53.88,50.5002202148,1688500,0.0,1.0
1999-12-08,52.0,53.12,50.56,51.88,48.6256760346,1876500,0.0,1.0
1999-12-09,52.75,52.88,47.44,49.06,45.9825687405,1687600,0.0,1.0
1999-12-10,50.06,50.06,47.25,47.75,44.7547423025,1187500,0.0,1.0
1999-12-13,47.88,49.12,45.88,46.25,43.3488341673,1256100,0.0,1.0
1999-12-14,46.19,46.94,41.62,42.62,39.9465364802,2381600,0.0,1.0
1999-12-15,42.62,46.44,42.62,46.12,43.2269887956,2402900,0.0,1.0
1999-12-16,49.0,49.44,47.38,49.31,46.216886763,1430200,0.0,1.0
1999-12-17,50.25,50.44,48.31,49.19,46.1044141122,1349800,0.0,1.0
1999-12-20,50.44,53.25,50.19,53.0,49.6754207755,1461400,0.0,1.0
1999-12-21,55.25,60.25,54.19,60.25,56.4706434288,2640100,0.0,1.0
1999-12-22,59.31,60.12,56.12,57.5,53.893145181,1931700,0.0,1.0
1999-12-23,57.75,58.69,55.75,57.12,53.5369817868,1339100,0.0,1.0
1999-12-27,57.0,58.25,56.75,57.44,53.8369088556,620900,0.0,1.0
1999-12-28,57.62,59.62,56.69,59.38,55.6552167104,519100,0.0,1.0
1999-12-29,59.25,60.19,58.75,59.44,55.7114530358,558200,0.0,1.0
1999-12-30,59.5,59.62,58.75,58.75,55.0647352936,491600,0.0,1.0
1999-12-31,59.25,66.0,59.25,66.0,61.8599579469,1193500,0.0,1.0
2000-01-03,65.06,65.44,60.12,61.81,57.9327878893,1353500,0.0,1.0
2000-01-04,60.25,61.25,59.5,59.94,56.1800890809,1611800,0.0,1.0
2000-01-05,59.88,60.38,56.25,58.62,54.9428899219,1855800,0.0,1.0
2000-01-06,58.0,58.44,55.25,55.75,52.2529190233,964700,0.0,1.0
2000-01-07,55.75,57.12,54.88,56.94,53.3682728105,809200,0.0,1.0
2000-01-10,58.25,63.38,58.25,61.94,58.0546332611,1109800,0.0,1.0
2000-01-11,61.81,63.25,59.44,60.12,56.3487980571,1933400,0.0,1.0
2000-01-12,58.81,62.38,57.75,61.06,57.2298338218,1405400,0.0,1.0
2000-01-13,61.12,61.69,59.5,60.75,56.9392794738,1474900,0.0,1.0
2000-01-14,64.5,72.25,64.5,68.0,63.7345021271,3204300,0.0,1.0
2000-01-18,68.31,72.38,67.81,69.69,65.3184919594,1533900,0.0,1.0
2000-01-19,75.88,78.25,74.5,77.25,72.4042689606,3629200,0.0,1.0
2000-01-20,77.0,78.06,74.0,74.31,69.6486890156,3571000,0.0,1.0
2000-01-21,75.25,75.25,71.19,72.38,67.8397538817,2060100,0.0,1.0
2000-01-24,72.38,74.44,70.69,71.31,66.8368727453,1412500,0.0,1.0
2000-01-25,71.0,72.38,67.31,72.06,67.5398268129,1786600,0.0,1.0
2000-01-26,71.81,71.88,67.0,69.44,65.0841739368,1358600,0.0,1.0
2000-01-27,70.06,71.0,67.88,68.62,64.315610823,1601800,0.0,1.0
2000-01-28,68.5,68.56,62.75,62.88,58.9356690258,1414700,0.0,1.0
2000-01-31,64.25,65.44,62.5,64.75,60.6883678343,1457700,0.0,1.0
2000-02-01,64.75,70.62,63.62,70.19,65.7871280044,2122700,0.0,1.0
2000-02-02,70.19,72.75,69.94,71.81,67.3055087904,1913500,0.0,1.0
2000-02-03,71.56,75.62,71.12,75.25,70.5297247803,1477600,0.0,1.0
2000-02-04,75.0,75.44,72.62,72.75,68.1865445551,1189800,0.0,1.0
2000-02-07,73.0,77.44,72.56,76.94,72.1137146126,1175500,0.0,1.0
2000-02-08,76.69,77.62,73.75,77.5,72.6385869831,1391800,0.0,1.0
2000-02-09,77.75,79.56,74.69,75.0,70.2954067578,1990400,0.0,1.0
2000-02-10,76.0,79.25,75.75,78.94,73.9882587928,1321300,0.0,1.0
2000-02-11,80.0,80.0,75.06,75.38,70.6515701521,1251700,0.0,1.0
2000-02-14,76.19,77.94,75.0,77.31,72.460505286,1042400,0.0,1.0
2000-02-15,77.19,78.5,75.88,78.5,73.5758590732,1146900,0.0,1.0
2000-02-16,79.5,80.94,79.06,80.0,74.9817672083,1135300,0.0,1.0
2000-02-17,79.25,81.31,77.25,80.62,75.5628759042,1112800,0.0,1.0
2000-02-18,80.5,80.56,76.62,77.5,72.6385869831,884200,0.0,1.0
2000-02-22,77.56,84.5,77.0,83.25,78.0279015012,2110400,0.0,1.0
2000-02-23,84.75,85.12,79.62,80.94,75.862802973,2520300,0.0,1.0
2000-02-24,81.88,86.0,81.75,86.0,80.605399749,1698100,0.0,1.0
2000-02-25,85.0,89.5,84.12,84.88,79.5556550081,1878900,0.0,1.0
2000-02-28,84.75,85.25,79.38,84.94,79.6118913335,1858700,0.0,1.0
2000-02-29,85.5,89.0,84.88,87.0,81.5426718391,1461200,0.0,1.0
2000-03-01,87.0,89.69,87.0,89.5,83.8858520643,1443000,0.0,1.0
2000-03-02,89.69,90.94,83.25,83.94,78.6746192434,2166900,0.0,1.0
2000-03-03,83.94,89.19,83.94,88.44,82.8923436488,1293700,0.0,1.0
2000-03-06,88.44,90.25,87.0,87.19,81.7207535362,1224500,0.0,1.0
2000-03-07,87.19,89.88,85.88,87.0,81.5426718391,1380500,0.0,1.0
2000-03-08,87.0,87.0,80.69,82.12,76.9687840394,1906100,0.0,1.0
2000-03-09,82.12,84.5,80.62,82.75,77.5592654561,2270200,0.0,1.0
2000-03-10,83.5,90.81,83.38,89.56,83.9420883897,2812800,0.0,1.0
2000-03-13,87.62,89.0,85.81,89.0,83.4172160193,1506600,0.0,1.0
2000-03-14,90.5,93.44,81.56,81.56,76.4439116689,1918700,0.0,1.0
2000-03-15,81.56,81.56,74.75,74.75,70.0610887353,2123500,0.0,1.0
2000-03-16,78.0,78.69,71.5,76.0,71.2326788479,3301100,0.0,1.0
2000-03-17,76.75,86.0,76.56,83.0,77.7935834787,2397900,0.0,1.0
2000-03-20,80.19,86.75,80.19,84.75,79.4338096363,2033100,0.0,1.0
2000-03-21,87.62,87.62,81.0,83.0,77.7935834787,2103400,0.0,1.0
2000-03-22,83.25,90.0,83.25,90.0,84.3544881094,1980900,0.0,1.0
2000-03-23,89.94,90.0,87.38,88.19,82.6580256263,1063400,0.0,1.0
2000-03-24,89.94,94.75,88.25,91.69,85.9384779417,1557600,0.0,1.0
2000-03-27,91.44,94.94,88.25,89.12,83.5296886701,1290900,0.0,1.0
2000-03-28,91.0,91.0,86.38,86.44,81.0177994686,1042800,0.0,1.0
2000-03-29,87.12,87.31,80.25,83.75,78.4965375462,1911600,0.0,1.0
2000-03-30,83.81,85.19,77.12,79.75,74.7474491858,1510900,0.0,1.0
2000-03-31,81.25,82.81,76.06,82.0,76.8563113886,1766700,0.0,1.0
2000-04-03,82.0,82.0,72.38,74.12,69.4706073185,2758700,0.0,1.0
2000-04-04,76.0,82.38,69.94,80.94,75.862802973,3298300,0.0,1.0
2000-04-05,79.0,89.12,77.25,87.0,81.5426718391,2699600,0.0,1.0
2000-04-06,90.0,96.88,89.5,96.25,90.2124386725,3726800,0.0,1.0
2000-04-07,98.0,98.94,94.38,98.0,91.8526648302,2408100,0.0,1.0
2000-04-10,98.81,99.56,92.56,94.12,88.2160491206,2269500,0.0,1.0
2000-04-11,92.31,93.44,89.5,92.19,86.4071139867,3048500,0.0,1.0
2000-04-12,92.44,94.5,84.25,84.44,79.1432552884,2065600,0.0,1.0
2000-04-13,84.62,93.0,82.0,83.38,78.1497468729,2702900,0.0,1.0
2000-04-14,83.5,85.38,73.06,75.44,70.7078064775,2948200,0.0,1.0
2000-04-17,73.5,87.38,73.5,87.25,81.7769898616,2273500,0.0,1.0
2000-04-18,87.25,94.0,83.75,91.94,86.1727959642,1935000,0.0,1.0
2000-04-19,98.5,102.0,92.0,92.12,86.3415049404,5119200,0.0,1.0
2000-04-20,93.12,99.44,90.69,96.31,90.2686749979,2861200,0.0,1.0
2000-04-24,94.62,94.75,87.0,92.5,86.6976683346,2358700,0.0,1.0
2000-04-25,95.0,107.0,95.0,103.38,96.895188675,2989700,0.0,1.0
2000-04-26,103.44,107.0,101.06,102.19,95.7798348878,2680900,0.0,1.0
2000-04-27,100.62,110.62,100.12,107.94,101.169149406,2375800,0.0,1.0
2000-04-28,109.31,112.0,108.12,110.0,103.099929911,1739800,0.0,1.0
2000-05-01,110.06,115.44,109.0,109.31,102.453212169,2287800,0.0,1.0
2000-05-02,108.5,114.69,107.88,108.0,101.225385731,2161500,0.0,1.0
2000-05-03,107.56,107.56,97.25,100.19,93.9052907075,2521600,0.0,1.0
2000-05-04,101.75,105.94,100.25,104.94,98.3573331355,2134900,0.0,1.0
2000-05-05,106.0,109.75,104.5,108.62,101.806494427,2128700,0.0,1.0
2000-05-08,108.38,109.62,101.19,101.44,95.0768808202,1505100,0.0,1.0
2000-05-09,101.44,103.88,93.5,93.75,87.8692584473,2436300,0.0,1.0
2000-05-10,90.25,90.25,82.38,84.0,78.7308555688,3757800,0.0,1.0
2000-05-11,84.06,85.31,80.25,83.0,77.7935834787,3290400,0.0,1.0
2000-05-12,84.44,91.94,84.12,87.94,82.4237076038,2319000,0.0,1.0
2000-05-15,87.69,89.44,82.44,86.94,81.4864355137,2004100,0.0,1.0
2000-05-16,89.62,91.38,86.56,89.25,83.6515340418,2311200,0.0,1.0
2000-05-17,89.0,92.25,87.56,91.5,85.7603962445,2190100,0.0,1.0
2000-05-18,91.5,92.44,89.62,90.75,85.057442177,2049900,0.0,1.0
2000-05-19,90.56,90.56,83.12,84.75,79.4338096363,2217500,0.0,1.0
2000-05-22,83.94,84.94,76.56,84.5,79.1994916138,2632600,0.0,1.0
2000-05-23,82.0,82.0,74.38,75.25,70.5297247803,5671200,0.0,1.0
2000-05-24,74.0,74.5,65.0,70.5,66.0776823524,6567300,0.0,1.0
2000-05-25,71.5,78.06,71.25,74.12,69.4706073185,4950200,0.0,1.0
2000-05-26,74.44,76.5,71.0,72.75,68.1865445551,1521800,0.0,1.0
2000-05-30,75.69,84.81,75.69,84.56,79.2557279392,2445500,0.0,1.0
2000-05-31,85.12,88.19,84.75,86.0,80.605399749,3308400,0.0,1.0
