dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,36.58,36.58,35.78,35.9,16.8540893752,431000,0.0,1.0
1999-11-04,35.96,36.27,35.72,35.9,16.8540893752,316700,0.0,1.0
1999-11-05,36.52,36.65,36.34,36.52,17.1451627851,249200,0.0,1.0
1999-11-08,36.58,36.71,36.46,36.65,17.2061943065,304200,0.0,1.0
1999-11-09,36.65,36.83,35.53,35.65,16.7367210648,170600,0.0,1.0
1999-11-10,35.1,35.53,34.91,35.34,16.5911843599,189400,0.0,1.0
1999-11-11,35.1,35.22,34.6,34.97,16.4174792605,212000,0.0,1.0
1999-11-12,35.16,36.34,35.03,36.34,17.0606576016,229000,0.0,1.0
1999-11-15,36.03,36.27,35.53,36.27,17.0277944747,239400,0.0,1.0
1999-11-16,36.21,36.65,36.03,36.4,17.0888259961,267600,0.0,1.0
1999-11-17,36.15,36.4,35.22,35.28,16.5630159654,216300,0.0,1.0
1999-11-18,34.72,35.41,34.66,35.22,16.5348475709,344600,0.0,1.0
1999-11-19,35.22,35.22,34.6,34.91,16.389310866,232000,0.0,1.0
1999-11-22,34.29,34.41,33.98,33.98,15.9527007513,207600,0.0,1.0
1999-11-23,33.42,33.92,33.42,33.42,15.689795736,287300,0.0,1.0
1999-11-24,34.1,34.1,33.48,33.55,15.7508272574,251500,0.0,1.0
1999-11-26,33.36,33.73,33.24,33.48,15.7179641305,84100,0.0,1.0
1999-11-29,32.99,32.99,31.87,32.18,15.1076489163,369000,0.0,1.0
1999-11-30,32.12,32.62,31.87,32.0,15.0231437328,801100,0.0,1.0
1999-12-01,31.93,32.55,31.81,32.43,15.2250172267,473100,0.0,1.0
1999-12-02,32.31,32.62,32.0,32.06,15.0513121273,310900,0.0,1.0
1999-12-03,32.0,33.92,32.0,33.05,15.5160906365,461800,0.0,1.0
1999-12-06,33.11,33.17,32.06,32.24,15.1358173108,471200,0.0,1.0
1999-12-07,32.12,32.12,30.63,30.88,14.4973337022,308600,0.0,1.0
1999-12-08,31.62,31.62,30.01,30.2,14.1780918978,301700,0.0,1.0
1999-12-09,30.2,30.94,30.07,30.26,14.2062602923,385800,0.0,1.0
1999-12-10,30.82,30.88,30.38,30.57,14.3517969972,323000,0.0,1.0
1999-12-13,29.89,30.2,29.39,29.58,13.887018488,477900,0.0,1.0
1999-12-14,29.64,29.89,29.14,29.27,13.7414817831,406600,0.0,1.0
1999-12-15,29.14,29.89,28.96,29.64,13.9151868825,571600,0.0,1.0
1999-12-16,30.26,30.45,28.9,29.21,13.7133133886,867900,0.0,1.0
1999-12-17,29.21,29.21,27.41,27.41,12.8682615536,1795900,0.0,1.0
1999-12-20,27.66,28.4,27.59,27.59,12.9527667371,1096500,0.0,1.0
1999-12-21,27.72,27.9,27.59,27.78,13.041966653,799200,0.0,1.0
1999-12-22,27.53,27.78,27.1,27.28,12.8072300322,727600,0.0,1.0
1999-12-23,27.28,27.72,27.22,27.72,13.0137982585,397900,0.0,1.0
1999-12-27,27.72,27.97,27.22,27.22,12.7790616377,577700,0.0,1.0
1999-12-28,26.97,27.72,26.97,27.28,12.8072300322,382900,0.0,1.0
