dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,34.12,34.5,33.5,34.12,24.4629094034,107700,0.0,1.0
1999-11-02,34.12,34.12,33.19,33.56,24.0614079595,114200,0.0,1.0
1999-11-03,33.75,35.0,33.38,34.25,24.5561150957,202600,0.0,1.0
1999-11-04,34.94,35.44,34.56,35.38,25.3662876522,174500,0.0,1.0
1999-11-05,35.25,36.06,35.12,35.44,25.409305664,140200,0.0,1.0
1999-11-08,35.25,35.75,35.0,35.19,25.230063948,64100,0.0,1.0
1999-11-09,35.25,35.88,35.06,35.62,25.5383596995,101100,0.0,1.0
1999-11-10,35.88,36.69,35.62,36.56,26.2123085518,92600,0.0,1.0
1999-11-11,36.62,37.12,36.38,36.81,26.3915502678,108900,0.0,1.0
1999-11-12,36.94,37.06,36.31,36.56,26.2123085518,126800,0.0,1.0
1999-11-15,36.75,37.62,36.5,36.88,26.4417379483,114400,0.0,1.0
1999-11-16,37.0,37.44,36.88,37.38,26.8002213804,86100,0.0,1.0
1999-11-17,37.44,37.44,36.0,36.25,25.9900488239,128200,0.0,1.0
1999-11-18,36.5,37.25,36.44,37.25,26.707015688,65600,0.0,1.0
1999-11-19,37.12,37.12,36.44,36.5,26.16929054,108800,0.0,1.0
1999-11-22,36.38,36.38,36.0,36.19,26.0402365044,70100,0.13,1.0
1999-11-23,36.19,36.19,34.94,35.5,25.5437523047,118700,0.0,1.0
1999-11-24,35.5,36.0,35.38,35.38,25.4574072265,78000,0.0,1.0
1999-11-26,35.5,35.81,35.44,35.44,25.5005797656,33100,0.0,1.0
1999-11-29,35.5,35.5,34.12,34.44,24.7810374472,106500,0.0,1.0
1999-11-30,34.19,34.75,34.0,34.19,24.6011518675,108700,0.0,1.0
1999-12-01,34.19,34.5,33.38,33.62,24.191012746,137600,0.0,1.0
1999-12-02,33.88,34.0,33.25,33.44,24.0614951287,150500,0.0,1.0
1999-12-03,33.56,33.88,32.62,32.88,23.6585514304,128700,0.0,1.0
1999-12-06,32.88,32.88,32.0,32.06,23.0685267293,172300,0.0,1.0
1999-12-07,31.94,31.94,30.81,31.12,22.3921569499,219600,0.0,1.0
1999-12-08,31.25,31.31,30.5,30.75,22.1259262921,153800,0.0,1.0
1999-12-09,30.75,30.81,28.88,29.94,21.5430970142,319300,0.0,1.0
1999-12-10,30.06,30.56,29.5,30.12,21.6726146315,195600,0.0,1.0
1999-12-13,30.62,30.81,29.88,30.19,21.7229825938,117700,0.0,1.0
1999-12-14,30.31,30.69,30.19,30.5,21.9460407125,170400,0.0,1.0
1999-12-15,30.5,31.25,30.5,31.0,22.3058118717,179500,0.0,1.0
1999-12-16,31.25,31.38,30.75,30.94,22.2626393326,145900,0.0,1.0
1999-12-17,30.69,31.69,30.56,30.94,22.2626393326,246300,0.0,1.0
1999-12-20,30.75,31.0,29.81,29.94,21.5430970142,143400,0.0,1.0
1999-12-21,29.88,30.06,29.31,30.06,21.6294420924,217000,0.0,1.0
1999-12-22,29.94,30.31,29.25,29.69,21.3632114345,187700,0.0,1.0
1999-12-23,29.81,30.81,29.56,30.81,22.1690988312,256300,0.0,1.0
1999-12-27,30.94,31.25,30.69,31.12,22.3921569499,153900,0.0,1.0
1999-12-28,31.06,31.94,31.0,31.88,22.9390091119,152200,0.0,1.0
1999-12-29,31.69,31.75,31.19,31.5,22.6655830309,99700,0.0,1.0
1999-12-30,31.62,31.88,31.31,31.75,22.8454686105,121000,0.0,1.0
1999-12-31,31.88,31.88,31.12,31.31,22.5288699904,51700,0.0,1.0
2000-01-03,31.12,31.25,29.69,31.25,22.4856974513,172200,0.0,1.0
2000-01-04,31.12,31.56,30.44,30.56,21.9892132516,138700,0.0,1.0
2000-01-05,30.75,33.0,30.75,32.44,23.3419528103,167400,0.0,1.0
2000-01-06,32.19,32.75,32.19,32.44,23.3419528103,240400,0.0,1.0
2000-01-07,32.62,33.75,32.62,33.44,24.0614951287,161100,0.0,1.0
2000-01-10,33.38,34.38,33.38,34.38,24.737864908,237600,0.0,1.0
2000-01-11,34.25,34.25,33.75,33.88,24.3780937488,171500,0.0,1.0
2000-01-12,33.81,34.44,33.75,34.0,24.464438827,160600,0.0,1.0
2000-01-13,33.88,35.25,33.88,35.06,25.2271536846,191500,0.0,1.0
2000-01-14,35.31,35.81,35.19,35.25,25.3638667251,167800,0.0,1.0
2000-01-18,35.5,36.19,34.69,35.81,25.7668104234,112900,0.0,1.0
2000-01-19,35.69,36.12,35.38,35.5,25.5437523047,74900,0.0,1.0
2000-01-20,35.62,35.69,34.31,34.62,24.9105550645,106700,0.0,1.0
2000-01-21,34.56,34.62,33.38,33.5,24.1046676678,123100,0.0,1.0
2000-01-24,33.44,33.44,32.0,32.31,23.2484123089,179500,0.0,1.0
2000-01-25,32.31,33.06,32.31,32.94,23.7017239695,110900,0.0,1.0
2000-01-26,33.0,33.06,31.88,32.19,23.1620672307,98000,0.0,1.0
2000-01-27,32.0,32.81,32.0,32.12,23.1116992684,179500,0.0,1.0
2000-01-28,32.12,32.25,31.69,32.0,23.0253541902,189100,0.0,1.0
2000-01-31,31.88,32.0,31.25,31.75,22.8454686105,80700,0.0,1.0
2000-02-01,31.75,31.81,31.06,31.19,22.4425249122,177400,0.0,1.0
2000-02-02,30.69,30.69,28.94,30.12,21.6726146315,504700,0.0,1.0
2000-02-03,30.5,30.94,30.25,30.62,22.0323857907,175100,0.0,1.0
2000-02-04,30.75,30.81,29.88,30.0,21.5862695533,82900,0.0,1.0
2000-02-07,30.12,30.31,29.25,29.56,21.2696709332,162200,0.0,1.0
2000-02-08,29.5,29.94,29.25,29.38,21.1401533158,95200,0.0,1.0
2000-02-09,29.88,29.94,29.06,29.38,21.1401533158,90200,0.0,1.0
2000-02-10,29.62,30.19,29.31,29.56,21.2696709332,141000,0.0,1.0
2000-02-11,29.44,29.69,28.44,28.62,20.5933011538,97700,0.0,1.0
2000-02-14,28.81,29.88,28.69,29.5,21.226498394,159400,0.0,1.0
2000-02-15,29.5,29.56,28.5,28.62,20.5933011538,80200,0.0,1.0
2000-02-16,28.5,29.44,28.38,28.81,20.7300141943,123900,0.0,1.0
2000-02-17,29.06,29.19,28.25,28.56,20.5501286147,131800,0.0,1.0
2000-02-18,28.56,28.62,28.19,28.5,20.5069560756,216900,0.0,1.0
2000-02-22,28.75,29.0,28.06,28.25,20.327070496,155900,0.0,1.0
2000-02-23,27.94,28.31,27.06,27.75,20.0608398382,235300,0.13,1.0
2000-02-24,27.62,27.62,26.12,26.94,19.4752801888,135400,0.0,1.0
2000-02-25,26.81,27.81,26.44,27.19,19.6560084757,107800,0.0,1.0
2000-02-28,27.44,27.75,26.62,27.12,19.6054045554,119000,0.0,1.0
2000-02-29,27.06,28.25,27.06,28.25,20.4222964118,188200,0.0,1.0
2000-03-01,28.0,30.19,28.0,29.44,21.2825630571,223500,0.0,1.0
2000-03-02,29.44,29.75,28.62,28.75,20.7837529855,110100,0.0,1.0
2000-03-03,29.12,29.19,28.38,28.44,20.5596499098,126600,0.0,1.0
2000-03-06,28.19,28.38,27.62,27.88,20.1548185473,147500,0.0,1.0
2000-03-07,27.75,27.75,27.44,27.56,19.9234863402,137400,0.0,1.0
2000-03-08,27.62,28.31,27.56,27.88,20.1548185473,65600,0.0,1.0
2000-03-09,27.75,28.94,27.75,28.62,20.6897742763,63600,0.0,1.0
2000-03-10,28.56,29.0,28.12,28.75,20.7837529855,100700,0.0,1.0
2000-03-13,28.88,29.19,27.62,28.62,20.6897742763,224100,0.0,1.0
2000-03-14,28.62,28.69,27.75,27.88,20.1548185473,105700,0.0,1.0
2000-03-15,27.94,27.94,27.38,27.75,20.0608398382,183300,0.0,1.0
2000-03-16,27.88,29.38,27.88,29.38,21.2391882683,326100,0.0,1.0
2000-03-17,29.12,30.19,29.06,29.81,21.5500409217,142700,0.0,1.0
2000-03-20,29.94,30.25,29.88,30.12,21.7741439973,126000,0.0,1.0
2000-03-21,30.06,30.06,29.38,29.69,21.463291344,86300,0.0,1.0
2000-03-22,29.94,30.06,29.38,30.0,21.6873944196,136900,0.0,1.0
2000-03-23,30.25,31.19,30.19,30.94,22.3669327781,126000,0.0,1.0
2000-03-24,30.81,30.81,29.94,30.19,21.8247479176,173000,0.0,1.0
2000-03-27,29.0,29.62,29.0,29.44,21.2825630571,197100,0.0,1.0
2000-03-28,29.62,29.88,28.88,29.69,21.463291344,154000,0.0,1.0
2000-03-29,29.75,29.75,28.88,29.44,21.2825630571,75000,0.0,1.0
2000-03-30,29.56,31.69,29.56,31.44,22.7283893518,198000,0.0,1.0
2000-03-31,31.5,35.5,31.5,35.38,25.5766671522,397900,0.0,1.0
2000-04-03,35.0,35.0,32.94,33.81,24.4416935109,200400,0.0,1.0
2000-04-04,33.44,34.62,33.25,33.69,24.3549439333,166800,0.0,1.0
2000-04-05,33.44,34.44,33.44,34.19,24.7164005069,114700,0.0,1.0
2000-04-06,34.31,35.19,34.31,34.94,25.2585853674,75000,0.0,1.0
2000-04-07,34.81,35.5,34.5,34.56,24.9838783714,50600,0.0,1.0
2000-04-10,34.44,35.25,33.81,34.75,25.1212318694,93900,0.0,1.0
2000-04-11,35.0,35.19,34.38,34.56,24.9838783714,50800,0.0,1.0
2000-04-12,34.69,35.19,34.12,34.56,24.9838783714,73100,0.0,1.0
2000-04-13,35.0,36.88,35.0,36.06,26.0682480924,173800,0.0,1.0
2000-04-14,35.81,35.81,34.0,34.25,24.7597752958,119000,0.0,1.0
2000-04-17,34.0,34.94,33.5,34.94,25.2585853674,117300,0.0,1.0
2000-04-18,34.94,35.5,34.94,35.06,25.3453349451,84900,0.0,1.0
2000-04-19,35.19,35.19,34.25,34.38,24.8537540049,79600,0.0,1.0
2000-04-20,34.0,34.31,33.12,33.5,24.2175904353,129100,0.0,1.0
2000-04-24,33.5,33.69,33.0,33.62,24.3043400129,88600,0.0,1.0
2000-04-25,34.0,34.69,33.88,34.25,24.7597752958,104000,0.0,1.0
2000-04-26,34.12,34.75,33.62,33.81,24.4416935109,88500,0.0,1.0
2000-04-27,33.94,34.0,32.94,33.94,24.5356722201,55900,0.0,1.0
2000-04-28,34.06,34.94,33.62,34.56,24.9838783714,98700,0.0,1.0
2000-05-01,34.5,35.5,34.5,35.0,25.3019601562,274600,0.0,1.0
2000-05-02,35.0,35.06,34.62,35.0,25.3019601562,102200,0.0,1.0
2000-05-03,34.75,34.88,33.5,33.69,24.3549439333,103700,0.0,1.0
2000-05-04,33.81,35.12,33.81,35.12,25.3887097339,103300,0.0,1.0
2000-05-05,35.0,35.75,34.62,35.62,25.7501663076,42500,0.0,1.0
2000-05-08,35.5,35.75,34.62,34.81,25.1646066583,42300,0.0,1.0
2000-05-09,34.81,34.81,33.62,34.31,24.8031500846,73100,0.0,1.0
2000-05-10,34.06,34.38,33.56,33.88,24.4922974312,133900,0.0,1.0
2000-05-11,34.0,34.88,33.88,34.38,24.8537540049,142800,0.0,1.0
2000-05-12,34.12,34.5,33.88,34.44,24.8971287937,61200,0.0,1.0
2000-05-15,34.44,34.44,33.62,33.75,24.3983187221,50100,0.0,1.0
2000-05-16,33.75,34.25,33.69,34.25,24.7597752958,88700,0.0,1.0
2000-05-17,34.25,34.25,33.56,33.69,24.3549439333,88200,0.0,1.0
2000-05-18,33.81,34.5,33.81,34.19,24.7164005069,147900,0.0,1.0
2000-05-19,34.06,34.06,33.25,33.62,24.3043400129,79900,0.0,1.0
2000-05-22,33.38,34.5,33.12,34.31,24.8031500846,100500,0.0,1.0
2000-05-23,34.25,34.69,33.75,33.81,24.550130483,75400,0.15,1.0
2000-05-24,34.06,34.75,33.19,33.69,24.4629960359,109500,0.0,1.0
2000-05-25,33.88,35.12,33.81,35.06,25.4577809741,104700,0.0,1.0
2000-05-26,35.06,35.12,34.62,34.81,25.2762508759,75300,0.0,1.0
2000-05-30,34.81,36.25,34.81,36.0,26.1403341434,121400,0.0,1.0
2000-05-31,36.06,36.06,35.44,35.44,25.7337067234,64400,0.0,1.0
2000-06-01,35.5,36.62,35.25,36.56,26.5469615634,116200,0.0,1.0
2000-06-02,36.69,37.12,36.56,36.62,26.590528787,94600,0.0,1.0
2000-06-05,36.5,37.19,36.44,36.75,26.6849244381,68500,0.0,1.0
2000-06-06,36.75,37.31,36.56,36.62,26.590528787,61400,0.0,1.0
2000-06-07,36.75,37.0,36.19,36.38,26.4162598927,85300,0.0,1.0
2000-06-08,36.38,36.38,35.12,35.62,25.8644083941,103700,0.0,1.0
2000-06-09,35.62,36.38,35.62,36.25,26.3218642416,46600,0.0,1.0
2000-06-12,36.25,36.88,35.44,35.69,25.9152368216,77600,0.0,1.0
2000-06-13,35.69,37.75,35.56,37.12,26.9535889834,87100,0.0,1.0
2000-06-14,36.88,37.62,36.88,37.5,27.2295147327,112300,0.0,1.0
2000-06-15,37.56,37.62,36.88,36.94,26.8228873127,135200,0.0,1.0
2000-06-16,36.69,37.5,36.69,36.69,26.6413572145,110700,0.0,1.0
2000-06-19,36.69,37.0,36.31,36.62,26.590528787,65500,0.0,1.0
2000-06-20,36.56,37.44,36.56,37.12,26.9535889834,98100,0.0,1.0
2000-06-21,37.38,37.94,37.25,37.31,27.0915518581,140900,0.0,1.0
2000-06-22,37.31,37.31,35.81,37.0,26.8664545363,130300,0.0,1.0
2000-06-23,37.0,37.31,37.0,37.06,26.9100217599,89100,0.0,1.0
2000-06-26,37.19,38.44,37.19,38.44,27.912067902,115700,0.0,1.0
2000-06-27,38.44,38.94,38.06,38.06,27.6361421527,133400,0.0,1.0
2000-06-28,38.38,38.56,38.19,38.44,27.912067902,251400,0.0,1.0
2000-06-29,38.44,38.62,38.19,38.62,28.0427695728,188700,0.0,1.0
2000-06-30,38.62,38.62,35.75,35.75,25.9588040452,508300,0.0,1.0
2000-07-03,36.0,37.75,36.0,37.69,27.3674776074,160700,0.0,1.0
2000-07-05,37.0,37.56,36.88,37.31,27.0915518581,105800,0.0,1.0
2000-07-06,37.25,37.69,36.38,36.44,26.4598271163,116900,0.0,1.0
2000-07-07,36.38,37.25,36.38,36.94,26.8228873127,79900,0.0,1.0
2000-07-10,36.94,37.81,36.94,37.75,27.411044831,131100,0.0,1.0
2000-07-11,37.69,37.94,37.25,37.94,27.5490077056,98200,0.0,1.0
2000-07-12,38.31,39.5,38.25,39.5,28.6817555185,226400,0.0,1.0
2000-07-13,39.5,39.5,38.44,38.5,27.9556351256,223000,0.0,1.0
2000-07-14,38.31,38.69,38.06,38.44,27.912067902,149000,0.0,1.0
2000-07-17,38.25,38.5,38.06,38.19,27.7305378038,163800,0.0,1.0
2000-07-18,38.31,38.5,37.38,37.38,27.1423802856,110200,0.0,1.0
2000-07-19,37.62,37.62,36.69,36.75,26.6849244381,119400,0.0,1.0
2000-07-20,36.62,37.25,36.56,37.25,27.0479846345,93600,0.0,1.0
2000-07-21,37.19,37.25,36.12,36.69,26.6413572145,65400,0.0,1.0
2000-07-24,36.75,36.81,35.38,35.44,25.7337067234,78800,0.0,1.0
2000-07-25,35.19,36.06,35.19,35.88,26.0531996963,132900,0.0,1.0
2000-07-26,35.94,36.44,35.44,36.38,26.4162598927,56100,0.0,1.0
2000-07-27,36.38,36.5,35.31,36.25,26.3218642416,88600,0.0,1.0
2000-07-28,36.25,36.31,35.62,36.0,26.1403341434,94600,0.0,1.0
2000-07-31,36.0,36.62,36.0,36.25,26.3218642416,99000,0.0,1.0
2000-08-01,36.25,36.25,35.62,35.75,25.9588040452,65400,0.0,1.0
2000-08-02,36.0,36.25,35.62,36.19,26.2782970181,81300,0.0,1.0
2000-08-03,36.06,36.12,35.62,36.0,26.1403341434,57000,0.0,1.0
2000-08-04,36.12,36.19,35.69,36.0,26.1403341434,235400,0.0,1.0
2000-08-07,36.12,36.25,35.75,35.75,25.9588040452,404200,0.0,1.0
2000-08-08,35.69,36.0,35.44,35.5,25.777273947,261500,0.0,1.0
2000-08-09,35.62,36.12,35.44,35.5,25.777273947,256200,0.0,1.0
2000-08-10,35.5,35.69,35.0,35.0,25.4142137506,433400,0.0,1.0
2000-08-11,35.19,36.0,35.12,35.81,26.0023712688,311800,0.0,1.0
2000-08-14,35.81,36.69,35.75,36.5,26.5033943399,196400,0.0,1.0
2000-08-15,36.56,36.56,35.69,35.69,25.9152368216,90100,0.0,1.0
2000-08-16,35.88,36.19,35.56,35.94,26.0967669199,52600,0.0,1.0
2000-08-17,36.06,36.12,35.5,35.75,25.9588040452,63100,0.0,1.0
2000-08-18,35.62,35.62,34.88,35.19,25.5521766252,38400,0.0,1.0
2000-08-21,35.31,36.0,35.31,35.81,26.0023712688,59400,0.0,1.0
2000-08-22,35.69,35.75,35.31,35.62,25.8644083941,57200,0.0,1.0
2000-08-23,35.31,35.44,34.5,34.81,25.3851689348,51100,0.15,1.0
2000-08-24,35.06,36.19,35.0,36.19,26.3915330006,99400,0.0,1.0
2000-08-25,36.44,36.62,35.81,36.0,26.2529756293,85900,0.0,1.0
2000-08-28,35.88,36.0,35.75,35.75,26.0706632985,41300,0.0,1.0
