dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,64.0,64.56,62.38,63.25,21.1750021577,1707700,0.0,1.0
1999-11-04,63.25,64.19,62.31,63.94,21.4060021812,2001400,0.0,1.0
1999-11-05,65.0,65.69,64.75,65.38,21.8880891869,1272300,0.0,1.0
1999-11-08,65.25,65.25,62.5,62.88,21.0511325799,1563600,0.0,1.0
1999-11-09,61.38,62.25,60.81,61.94,20.7364368956,1727500,0.0,1.0
1999-11-10,61.88,62.25,60.88,61.0,20.4217412114,2201900,0.0,1.0
1999-11-11,61.0,61.38,60.5,61.31,20.5255238306,1047900,0.0,1.0
1999-11-12,61.44,61.88,60.62,61.38,20.5489586156,1376700,0.0,1.0
1999-11-15,61.38,62.44,60.0,62.0,20.7565238542,2469600,0.0,1.0
1999-11-16,62.0,62.38,59.38,60.75,20.3380455507,3381100,0.0,1.0
1999-11-17,60.5,63.06,60.5,62.31,20.8937847377,2476800,0.1,1.0
1999-11-18,62.88,64.0,62.56,63.62,21.3330538439,2647200,0.0,1.0
1999-11-19,63.62,65.0,63.62,64.56,21.6482545766,1804800,0.0,1.0
1999-11-22,64.38,64.88,63.75,64.44,21.6080161852,3155400,0.0,1.0
1999-11-23,66.12,67.06,66.06,66.69,22.3624860241,3221800,0.0,1.0
1999-11-24,66.5,67.0,65.12,66.56,22.3188944334,1841100,0.0,1.0
1999-11-26,66.31,67.0,66.25,66.75,22.3826052198,292800,0.0,1.0
1999-11-29,66.94,71.5,66.69,71.0,23.8077149154,3898600,0.0,1.0
1999-11-30,70.5,70.75,69.12,70.56,23.6601741469,2574300,0.0,1.0
1999-12-01,70.38,70.38,68.5,69.31,23.2410242364,3685100,0.0,1.0
1999-12-02,68.0,68.88,66.38,68.31,22.905704308,1484900,0.0,1.0
1999-12-03,69.38,70.0,67.94,67.94,22.7816359345,1644700,0.0,1.0
1999-12-06,68.12,68.5,66.94,67.0,22.4664352019,1252300,0.0,1.0
1999-12-07,67.62,67.75,66.38,66.62,22.3390136291,1311700,0.0,1.0
1999-12-08,66.38,67.75,66.38,66.88,22.4261968105,1297500,0.0,1.0
1999-12-09,67.0,67.69,66.0,66.0,22.1311152735,2505700,0.0,1.0
1999-12-10,66.62,69.12,65.88,67.75,22.7179251482,1846300,0.0,1.0
1999-12-13,68.0,69.25,67.88,68.5,22.9694150944,2753000,0.0,1.0
1999-12-14,69.38,71.75,69.0,71.25,23.8915448975,2875200,0.0,1.0
1999-12-15,71.5,75.75,70.75,74.06,24.8337938963,3675400,0.0,1.0
1999-12-16,74.12,74.62,72.0,74.62,25.0215730562,2054300,0.0,1.0
1999-12-17,74.88,74.88,73.12,73.62,24.6862531278,2144500,0.0,1.0
1999-12-20,73.38,73.75,71.12,72.53,24.3207544058,1550700,0.0,1.0
1999-12-21,71.56,71.88,70.25,70.75,23.7238849333,1871800,0.0,1.0
1999-12-22,71.12,74.0,71.12,73.56,24.6661339321,1366100,0.0,1.0
1999-12-23,73.81,75.5,73.62,75.0,25.148994629,955700,0.0,1.0
1999-12-27,75.0,77.0,74.5,74.5,24.9813346648,1304800,0.0,1.0
1999-12-28,73.0,74.69,73.0,74.25,24.8975046827,1305900,0.0,1.0
1999-12-29,74.31,74.31,71.5,72.81,24.4146439858,779100,0.0,1.0
1999-12-30,72.81,74.25,72.12,73.81,24.7499639142,696200,0.0,1.0
1999-12-31,73.75,74.25,73.38,73.44,24.6258955407,576400,0.0,1.0
2000-01-03,72.25,72.75,70.25,72.06,24.1631540395,1435200,0.0,1.0
2000-01-04,69.5,70.69,68.62,68.94,23.1169558629,1928200,0.0,1.0
2000-01-05,68.94,69.94,67.0,67.38,22.5938567746,2165300,0.0,1.0
2000-01-06,66.0,66.25,63.69,64.19,21.5241862031,4083700,0.0,1.0
2000-01-07,64.0,67.69,63.81,67.5,22.6340951661,2201300,0.0,1.0
2000-01-10,66.5,67.5,65.56,66.19,22.1948260599,1279800,0.0,1.0
2000-01-11,66.06,68.5,66.0,68.19,22.8654659166,1895200,0.0,1.0
2000-01-12,68.31,68.75,67.12,67.44,22.6139759704,1595700,0.0,1.0
