dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,26.25,26.31,24.88,25.06,2.45421386756,2177600,0.0,1.0
1999-11-04,25.56,26.13,25.25,25.44,2.49142860299,2381700,0.0,1.0
1999-11-05,25.63,26.31,25.13,25.25,2.47282123527,1310600,0.0,1.0
1999-11-08,24.5,25.0,23.25,23.38,2.29311323659,2435800,0.035,1.0
1999-11-09,23.25,23.81,22.5,23.5,2.30488285115,4420200,0.0,1.0
1999-11-10,23.5,24.56,22.5,22.88,2.24407317593,3215500,0.0,1.0
1999-11-11,23.0,23.5,22.44,23.5,2.30488285115,4448400,0.0,1.0
1999-11-12,24.25,24.25,23.25,23.31,2.2862476281,3203000,0.0,1.0
1999-11-15,23.88,24.88,23.88,24.63,2.41571338825,2554300,0.0,1.0
1999-11-16,24.63,25.63,23.81,25.3,2.48142706954,5510900,0.0,1.0
1999-11-17,24.0,24.0,22.0,22.94,2.24995798321,3769800,0.0,1.0
1999-11-18,23.19,23.5,22.88,23.38,2.29311323659,2505700,0.0,1.0
1999-11-19,23.38,23.88,23.0,23.25,2.28036282082,2450300,0.0,1.0
1999-11-22,23.38,23.5,23.0,23.31,2.2862476281,2870800,0.0,1.0
1999-11-23,23.31,23.38,21.25,22.0,2.15776266916,6825900,0.0,1.0
1999-11-24,21.81,24.0,21.5,23.81,2.33528768876,3145900,0.0,1.0
1999-11-26,23.81,24.63,23.81,24.63,2.41571338825,907600,0.0,1.0
1999-11-29,24.63,25.38,24.63,24.88,2.44023341858,2107000,0.0,1.0
1999-11-30,24.88,26.63,24.88,26.19,2.56871837752,2806200,0.0,1.0
1999-12-01,25.5,25.81,23.81,23.88,2.34215329726,3384100,0.0,1.0
1999-12-02,20.0,21.25,19.0,20.63,2.02339290295,17131700,0.0,1.0
1999-12-03,20.5,20.63,19.19,19.75,1.93708239618,10566200,0.0,1.0
1999-12-06,19.0,20.13,19.0,19.94,1.95571761923,3516100,0.0,1.0
1999-12-07,19.94,19.94,19.25,19.56,1.91844717313,4790700,0.0,1.0
1999-12-08,19.38,19.56,18.88,19.13,1.87627272096,2641900,0.0,1.0
1999-12-09,19.06,19.31,19.0,19.0,1.86352230519,1946700,0.0,1.0
1999-12-10,19.13,19.69,19.06,19.31,1.8939271428,1195700,0.0,1.0
1999-12-13,19.63,20.0,19.38,20.0,1.96160242651,2239800,0.0,1.0
1999-12-14,20.25,21.06,20.0,20.38,1.99887287262,2575000,0.0,1.0
1999-12-15,20.13,20.75,19.88,20.5,2.01064248717,1923100,0.0,1.0
1999-12-16,20.31,20.44,19.5,19.5,1.91256236585,2356600,0.0,1.0
1999-12-17,19.44,19.44,19.44,19.44,1.90667755857,2507800,0.0,1.0
1999-12-20,19.38,19.44,18.0,18.19,1.78407740691,3477500,0.0,1.0
1999-12-21,18.19,18.63,17.06,17.38,1.70463250864,5182000,0.0,1.0
1999-12-22,17.13,19.0,16.5,18.63,1.8272326603,7179000,0.0,1.0
1999-12-23,18.13,19.56,18.13,19.44,1.90667755857,2235700,0.0,1.0
1999-12-27,19.69,20.19,19.63,19.94,1.95571761923,2426100,0.0,1.0
1999-12-28,19.94,20.25,19.75,19.75,1.93708239618,1266000,0.0,1.0
1999-12-29,20.13,20.13,19.75,19.88,1.94983281195,1119600,0.0,1.0
1999-12-30,20.0,20.31,19.88,20.25,1.98612245684,824300,0.0,1.0
1999-12-31,20.13,20.69,20.0,20.44,2.0047576799,473700,0.0,1.0
2000-01-03,20.38,20.5,20.06,20.31,1.99200726412,1810500,0.0,1.0
2000-01-04,20.06,20.25,18.63,19.25,1.88804233552,2277100,0.0,1.0
2000-01-05,19.25,19.44,18.69,18.69,1.83311746758,3002800,0.0,1.0
2000-01-06,20.0,20.75,19.69,19.81,1.94296720346,3374000,0.0,1.0
2000-01-07,19.88,20.81,19.5,20.31,1.99200726412,2177500,0.0,1.0
2000-01-10,20.19,20.31,19.94,20.0,1.96160242651,1904100,0.0,1.0
2000-01-11,20.0,20.19,19.63,19.69,1.9311975889,2447300,0.0,1.0
2000-01-12,19.69,19.75,19.5,19.5,1.91256236585,2047200,0.0,1.0
