dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,36.0,37.94,36.0,37.25,10.9883809761,1146500,0.0,1.0
1999-11-02,36.75,37.0,35.56,35.56,10.4898477184,604500,0.0,1.0
1999-11-03,35.88,36.75,34.5,35.0,10.3246532661,637200,0.0,1.0
1999-11-04,35.63,36.19,35.38,36.19,10.6756914772,275300,0.0,1.0
1999-11-05,36.38,37.63,36.31,37.38,11.0267296882,614500,0.0,1.0
1999-11-08,37.63,37.75,36.75,37.75,11.1358760228,581300,0.0,1.0
1999-11-09,37.88,38.06,36.69,36.75,10.8408859294,187500,0.0,1.0
1999-11-10,36.88,36.94,35.5,36.06,10.637342765,539100,0.0,1.0
1999-11-11,36.0,36.25,35.63,36.06,10.637342765,85400,0.0,1.0
1999-11-12,35.88,36.94,35.88,36.63,10.8054871182,330400,0.0,1.0
1999-11-15,37.0,37.31,36.56,37.0,10.9146334528,355100,0.0,1.0
1999-11-16,37.19,39.5,37.06,39.25,11.5783611627,484800,0.0,1.0
1999-11-17,39.0,39.44,37.63,38.13,11.2479722582,332500,0.0,1.0
1999-11-18,38.44,38.5,36.69,37.5,11.0621284994,394300,0.0,1.0
1999-11-19,37.44,39.63,37.44,39.44,11.6344092805,323900,0.0,1.0
1999-11-22,39.25,40.25,38.38,40.25,11.873351256,1285000,0.0,1.0
1999-11-23,40.16,40.19,38.0,38.88,11.4692148282,546000,0.0,1.0
1999-11-24,38.56,38.69,37.38,37.44,11.0444290938,374000,0.0,1.0
1999-11-26,37.44,38.13,36.81,36.88,10.8792346416,103200,0.0,1.0
1999-11-29,36.63,36.81,34.5,35.38,10.4367495016,511600,0.0,1.0
1999-11-30,35.5,36.56,35.31,36.0,10.6196433594,415700,0.0,1.0
1999-12-01,35.75,36.06,35.13,35.63,10.5104970249,438400,0.0,1.0
1999-12-02,35.63,37.25,35.63,36.5,10.7671384061,162200,0.0,1.0
1999-12-03,37.0,38.63,36.5,37.69,11.1181766172,652800,0.0,1.0
1999-12-06,37.19,37.69,36.63,36.63,10.8054871182,219000,0.0,1.0
1999-12-07,36.88,39.13,36.31,38.88,11.4692148282,484000,0.0,1.0
1999-12-08,38.88,38.88,36.75,37.44,11.0444290938,348000,0.0,1.0
1999-12-09,38.13,38.25,36.31,36.33,10.7169900902,301500,0.0,1.0
1999-12-10,36.97,37.0,36.38,36.38,10.7317395949,154600,0.0,1.0
1999-12-13,36.38,37.0,36.13,36.13,10.6579920716,153400,0.0,1.0
1999-12-14,36.69,36.69,34.88,34.88,10.2892544549,378300,0.0,1.0
1999-12-15,34.94,35.38,33.63,34.47,10.1683085167,449800,0.0,1.0
1999-12-16,34.0,34.88,32.63,33.63,9.92051683828,412800,0.0,1.0
1999-12-17,33.75,35.13,33.38,34.5,10.1771582195,732700,0.0,1.0
1999-12-20,36.56,36.56,34.5,34.88,10.2892544549,304700,0.0,1.0
1999-12-21,34.75,36.0,34.56,35.25,10.3984007895,697900,0.0,1.0
1999-12-22,35.44,35.56,34.88,35.25,10.3984007895,213800,0.0,1.0
1999-12-23,35.5,35.63,34.88,35.38,10.4750982137,216700,0.13,1.0
1999-12-27,35.88,36.38,35.25,35.88,10.623135215,356400,0.0,1.0
1999-12-28,35.69,35.88,35.25,35.5,10.510627094,164400,0.0,1.0
1999-12-29,35.31,37.0,35.31,37.0,10.954738098,126800,0.0,1.0
1999-12-30,36.75,37.38,36.0,36.0,10.6586640954,174400,0.0,1.0
1999-12-31,36.81,37.0,36.13,36.94,10.9369736579,89600,0.0,1.0
2000-01-03,37.06,37.25,34.62,35.12,10.398118973,374400,0.0,1.0
2000-01-04,34.69,35.13,34.0,34.06,10.0842805302,538100,0.0,1.0
2000-01-05,33.75,34.94,33.5,34.13,10.1050057104,525200,0.0,1.0
2000-01-06,33.94,35.0,33.38,35.0,10.3625900927,239100,0.0,1.0
2000-01-07,35.22,35.5,34.5,34.75,10.2885715921,233100,0.0,1.0
2000-01-10,35.31,35.75,34.88,35.0,10.3625900927,203800,0.0,1.0
2000-01-11,35.0,35.56,34.56,35.0,10.3625900927,201200,0.0,1.0
2000-01-12,35.56,36.5,35.19,36.5,10.8067010967,358600,0.0,1.0
2000-01-13,36.63,39.69,36.59,38.5,11.398849102,881700,0.0,1.0
2000-01-14,38.75,39.13,38.38,39.06,11.5646505435,509600,0.0,1.0
2000-01-18,38.81,38.88,37.19,37.56,11.1205395395,336800,0.0,1.0
2000-01-19,37.69,39.25,37.63,38.13,11.289301721,185900,0.0,1.0
2000-01-20,38.56,38.63,37.75,38.13,11.289301721,189900,0.0,1.0
2000-01-21,38.88,40.19,38.38,39.94,11.8251956658,533600,0.0,1.0
2000-01-24,40.13,41.88,39.25,39.5,11.6949231046,565500,0.0,1.0
2000-01-25,39.44,42.5,38.5,42.38,12.5476162323,509900,0.0,1.0
2000-01-26,42.38,42.63,39.63,42.0,12.4351081113,492000,0.0,1.0
