dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,33.0,33.0,31.63,32.0,18.137277398,976200,0.0,1.0
1999-11-04,31.94,33.63,31.75,33.06,18.7380747118,821200,0.0,1.0
1999-11-05,35.0,36.25,34.75,36.06,20.4384444679,2723000,0.0,1.0
1999-11-08,36.0,36.25,35.75,35.81,20.2967469882,1480300,0.0,1.0
1999-11-09,35.75,35.81,34.38,35.06,19.8716545492,646700,0.0,1.0
1999-11-10,34.25,34.94,33.31,34.31,19.4465621102,1155000,0.0,1.0
1999-11-11,33.81,33.88,32.75,33.56,19.0214696712,432400,0.0,1.0
1999-11-12,33.56,34.44,33.38,34.25,19.4125547151,784700,0.0,1.0
1999-11-15,34.31,34.63,33.56,33.63,19.0611449655,391900,0.0,1.0
1999-11-16,33.88,34.94,33.81,34.75,19.6959496744,529900,0.0,1.0
1999-11-17,34.38,34.44,33.5,33.69,19.0951523606,687000,0.0,1.0
1999-11-18,33.69,33.88,32.75,32.88,18.6360525265,483900,0.0,1.0
1999-11-19,32.94,33.31,32.63,32.75,18.5623698371,323600,0.0,1.0
1999-11-22,32.5,33.0,31.13,31.38,17.7858676485,888800,0.0,1.0
1999-11-23,31.63,31.81,30.75,31.13,17.6441701688,653700,0.0,1.0
1999-11-24,31.25,31.31,30.75,30.88,17.5024726891,366900,0.0,1.0
1999-11-26,30.94,31.44,30.75,31.25,17.712184959,224100,0.0,1.0
1999-11-29,31.5,31.5,29.75,30.19,17.1113876452,423800,0.0,1.0
1999-11-30,30.0,31.0,30.0,30.19,17.1113876452,918400,0.0,1.0
1999-12-01,30.44,31.25,30.25,30.94,17.5364800842,588300,0.0,1.0
1999-12-02,31.0,31.5,31.0,31.5,17.8538824387,482300,0.0,1.0
1999-12-03,32.0,32.94,31.63,31.75,17.9955799184,727500,0.0,1.0
1999-12-06,31.88,31.88,30.75,31.0,17.5704874793,423900,0.0,1.0
1999-12-07,30.38,31.19,30.38,30.5,17.28709252,454200,0.0,1.0
1999-12-08,30.5,31.19,30.38,30.75,17.4287899997,538800,0.0,1.0
1999-12-09,30.81,30.88,30.19,30.69,17.3947826046,501600,0.0,1.0
1999-12-10,30.69,31.75,30.69,31.5,17.8538824387,363000,0.0,1.0
1999-12-13,31.5,32.19,31.13,31.73,17.98424412,734400,0.0,1.0
1999-12-14,31.5,32.13,31.31,32.13,18.2109600875,680300,0.0,1.0
1999-12-15,31.94,32.63,31.94,32.25,18.2789748777,792000,0.0,1.0
1999-12-16,32.0,32.94,32.0,32.5,18.4206723574,627800,0.0,1.0
1999-12-17,33.06,33.13,32.81,33.06,18.7380747118,953900,0.0,1.0
1999-12-20,32.75,32.88,32.0,32.06,18.1712847932,739500,0.0,1.0
1999-12-21,32.5,33.19,32.5,33.0,18.7040673167,952600,0.0,1.0
1999-12-22,32.88,33.38,32.88,33.19,18.8117574013,457700,0.0,1.0
1999-12-23,33.5,33.94,33.5,33.75,19.1291597557,219600,0.0,1.0
1999-12-27,34.0,34.19,33.5,33.5,18.9874622761,496800,0.0,1.0
1999-12-28,33.5,33.75,33.13,33.38,18.9194474858,398600,0.0,1.0
1999-12-29,33.19,33.5,33.0,33.19,18.9591227801,218100,0.26,1.0
1999-12-30,33.75,34.06,33.25,33.44,19.1019302732,245700,0.0,1.0
1999-12-31,33.19,33.75,33.13,33.69,19.2447377663,101100,0.0,1.0
2000-01-03,33.25,33.25,33.0,33.0,18.8505890854,336400,0.0,1.0
2000-01-04,32.5,33.0,32.19,32.56,18.5992478976,494400,0.0,1.0
2000-01-05,32.56,33.31,32.56,32.88,18.7820414887,736000,0.0,1.0
2000-01-06,32.31,33.38,31.81,32.94,18.8163152871,660400,0.0,1.0
2000-01-07,33.44,34.75,33.31,34.25,19.5646265508,594700,0.0,1.0
2000-01-10,34.75,34.75,33.13,33.63,19.2104639679,389900,0.0,1.0
2000-01-11,33.38,33.75,32.88,33.25,18.9933965785,812900,0.0,1.0
2000-01-12,33.0,33.63,32.75,33.31,19.0276703768,561500,0.0,1.0
2000-01-13,33.31,34.19,33.31,34.0,19.4218190577,589600,0.0,1.0
2000-01-14,33.94,34.69,33.63,34.0,19.4218190577,599300,0.0,1.0
2000-01-18,33.75,33.75,32.5,32.75,18.7077815923,945900,0.0,1.0
2000-01-19,32.5,33.25,32.38,32.81,18.7420553907,988100,0.0,1.0
2000-01-20,32.75,32.81,32.25,32.63,18.6392339957,943400,0.0,1.0
2000-01-21,32.0,32.06,31.0,31.5,17.993744127,1000300,0.0,1.0
2000-01-24,31.63,32.44,31.31,32.13,18.3536190095,586500,0.0,1.0
2000-01-25,32.13,32.81,31.25,31.38,17.9251965303,609700,0.0,1.0
2000-01-26,31.44,32.44,31.19,32.38,18.4964265026,503300,0.0,1.0
2000-01-27,32.0,32.38,29.81,30.56,17.456787953,1316500,0.0,1.0
2000-01-28,30.06,30.19,29.31,30.0,17.1368991685,814900,0.0,1.0
2000-01-31,29.81,30.19,29.13,30.19,17.2454328633,612200,0.0,1.0
