dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,50.25,50.31,46.75,48.94,13.4635104797,2650100,0.0,1.0
1999-11-04,48.94,49.25,46.88,47.75,13.1361386474,1286800,0.0,1.0
1999-11-05,47.13,48.69,47.13,48.5,13.3424654325,1576250,0.0,1.0
1999-11-08,48.63,48.63,47.88,48.38,13.3094531469,623850,0.0,1.0
1999-11-09,47.88,47.94,46.63,47.88,13.1719019568,780700,0.0,1.0
1999-11-10,46.75,47.38,46.5,46.81,12.8775424102,1007700,0.0,1.0
1999-11-11,47.13,47.81,47.0,47.31,13.0150936002,887400,0.0,1.0
1999-11-12,47.56,48.13,46.88,47.56,13.1306365998,420400,0.17,1.0
1999-11-15,47.75,49.88,47.63,49.38,13.6331126009,778200,0.0,1.0
1999-11-16,50.0,53.0,50.0,52.69,14.5469563172,1649100,0.0,1.0
1999-11-17,52.5,52.94,51.81,52.0,14.3564571739,923600,0.0,1.0
1999-11-18,51.75,52.13,51.19,51.5,14.2184143165,1376650,0.0,1.0
1999-11-19,50.75,51.0,48.56,49.0,13.5282000293,1424500,0.0,1.0
1999-11-22,49.0,50.38,48.75,49.0,13.5282000293,1051550,0.0,1.0
1999-11-23,49.5,49.5,46.06,47.06,12.9925937424,2103600,0.0,1.0
1999-11-24,46.81,48.0,45.75,47.25,13.0450500282,1275650,0.0,1.0
1999-11-26,47.5,47.88,47.25,47.25,13.0450500282,352550,0.0,1.0
1999-11-29,46.63,47.44,46.0,47.25,13.0450500282,852100,0.0,1.0
1999-11-30,47.25,48.88,47.25,48.44,13.3735920289,1109850,0.0,1.0
1999-12-01,48.25,49.25,47.0,47.38,13.0809411712,2144550,0.0,1.0
1999-12-02,46.0,46.5,45.19,45.63,12.5977911701,2092550,0.0,1.0
1999-12-03,46.13,48.38,46.06,48.25,13.3211357431,1820900,0.0,1.0
1999-12-06,47.25,48.5,47.19,47.63,13.1499625999,1941700,0.0,1.0
1999-12-07,47.63,47.63,45.5,46.16,12.744116599,856600,0.0,1.0
1999-12-08,45.63,46.56,45.06,46.25,12.7689643133,579300,0.0,1.0
1999-12-09,46.13,46.25,44.88,45.63,12.5977911701,720500,0.0,1.0
1999-12-10,46.75,47.69,45.38,46.81,12.9235723137,1305550,0.0,1.0
1999-12-13,46.56,46.94,46.06,46.75,12.9070071708,706500,0.0,1.0
1999-12-14,46.88,47.69,46.75,47.56,13.1306365998,1334100,0.0,1.0
1999-12-15,47.63,49.25,47.63,49.19,13.5806563151,1553200,0.0,1.0
1999-12-16,49.19,50.31,48.94,49.88,13.7711554584,1439000,0.0,1.0
