dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,76.56,76.81,73.5,73.5,28.413227386,344300,0.0,1.0
1999-11-02,73.75,75.38,73.19,74.31,28.726352749,747200,0.0,1.0
1999-11-03,73.81,74.94,71.88,74.69,28.8732510675,623400,0.0,1.0
1999-11-04,74.19,74.81,72.56,72.94,28.1967456535,497500,0.0,1.0
1999-11-05,73.5,73.94,70.88,72.38,27.9802639211,589300,0.0,1.0
1999-11-08,72.44,73.38,72.19,72.56,28.0498473351,385300,0.0,1.0
1999-11-09,72.63,72.63,69.56,69.81,26.9867673989,742200,0.0,1.0
1999-11-10,69.63,70.81,67.75,68.44,26.4571603034,620900,0.0,1.0
1999-11-11,67.0,69.94,65.88,69.38,26.8205403543,1294500,0.0,1.0
1999-11-12,70.0,70.88,68.31,68.94,26.6504475645,427700,0.0,1.0
1999-11-15,68.69,72.25,68.5,71.63,27.6903330294,469400,0.0,1.0
1999-11-16,71.88,73.88,71.88,73.56,28.4364218573,340300,0.0,1.0
1999-11-17,73.19,74.75,73.19,73.5,28.413227386,455000,0.0,1.0
1999-11-18,74.0,75.75,73.75,74.94,28.969894698,373300,0.0,1.0
1999-11-19,74.69,74.69,73.69,74.38,28.7534129656,536500,0.0,1.0
1999-11-22,74.13,74.13,73.0,73.38,28.3668384433,584300,0.0,1.0
1999-11-23,73.63,73.94,73.38,73.38,28.3668384433,401700,0.0,1.0
1999-11-24,73.5,73.63,72.69,73.25,28.3165837554,586700,0.0,1.0
1999-11-26,73.13,73.19,72.56,72.63,28.0769075516,108800,0.0,1.0
1999-11-29,72.0,72.38,71.25,71.38,27.5936893988,519900,0.0,1.0
1999-11-30,69.5,71.63,69.5,71.5,27.6400783415,1025100,0.0,1.0
1999-12-01,71.38,73.44,71.38,72.38,27.9802639211,385900,0.0,1.0
1999-12-02,72.75,73.13,71.44,71.88,27.7869766599,373200,0.0,1.0
1999-12-03,71.63,73.75,71.63,72.31,27.9532037045,584700,0.0,1.0
1999-12-06,71.63,72.94,71.5,72.25,27.9300092332,352600,0.0,1.0
