dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,55.06,55.06,52.5,52.94,5.50902140077,2002800,0.0,1.0
1999-11-04,52.75,53.5,51.44,52.0,5.4112034915,1290100,0.0,1.0
1999-11-05,52.5,53.06,52.44,52.56,5.46947799064,724600,0.0,1.0
1999-11-08,52.75,55.25,52.56,54.94,5.71714461198,1308200,0.0,1.0
1999-11-09,54.94,54.94,52.62,53.31,5.54752419484,780500,0.0,1.0
1999-11-10,53.0,54.38,52.81,53.19,5.53503680217,812700,0.0,1.0
1999-11-11,53.19,53.81,52.25,52.69,5.48300599936,950800,0.0,1.0
1999-11-12,52.44,53.62,52.31,53.25,5.5412804985,604100,0.0,1.0
1999-11-15,53.25,54.94,53.25,54.56,5.67760120185,814700,0.0,1.0
1999-11-16,54.75,55.62,54.69,55.06,5.72963200465,901400,0.0,1.0
1999-11-17,55.38,57.19,55.06,56.38,5.86699332405,1361900,0.0,1.0
1999-11-18,56.0,58.5,55.31,58.5,6.08760392793,1793800,0.0,1.0
1999-11-19,57.5,57.62,55.38,55.69,5.79519081618,868500,0.0,1.0
1999-11-22,55.75,56.06,54.38,55.0,5.72338830831,647100,0.0,1.0
1999-11-23,56.0,57.25,54.94,55.69,5.79519081618,697800,0.0,1.0
1999-11-24,54.25,54.5,52.94,52.94,5.50902140077,832500,0.0,1.0
1999-11-26,52.94,52.94,51.81,51.81,5.39143178643,320800,0.0,1.0
1999-11-29,51.75,51.75,50.31,50.31,5.23533937802,800000,0.0,1.0
1999-11-30,50.31,52.25,49.75,51.94,5.40495979516,1112000,0.0,1.0
1999-12-01,51.38,53.62,51.38,52.81,5.49549339204,864900,0.0,1.0
1999-12-02,52.56,55.0,52.44,54.56,5.67760120185,735100,0.0,1.0
1999-12-03,54.62,56.38,53.75,54.06,5.62557039904,753600,0.0,1.0
1999-12-06,53.88,54.44,53.25,54.06,5.62557039904,399600,0.0,1.0
1999-12-07,54.06,54.12,51.62,52.44,5.45699059796,713400,0.0,1.0
1999-12-08,52.25,53.06,51.81,52.56,5.46947799064,597000,0.0,1.0
1999-12-09,53.5,53.94,50.19,50.5,5.25511108309,571300,0.0,1.0
1999-12-10,50.62,51.81,49.44,50.94,5.30089818955,718500,0.0,1.0
1999-12-13,50.88,51.12,48.94,50.25,5.22909568169,591600,0.0,1.0
1999-12-14,50.75,52.06,50.31,52.0,5.4112034915,746100,0.0,1.0
1999-12-15,51.56,52.88,50.25,52.88,5.50277770443,582500,0.0,1.0
1999-12-16,51.88,52.69,51.44,51.5,5.35917268869,1156300,0.0,1.0
1999-12-17,51.75,52.06,50.5,50.75,5.28112648449,1113600,0.0,1.0
1999-12-20,50.56,50.56,49.06,49.62,5.16353687016,886200,0.0,1.0
1999-12-21,49.38,50.0,49.38,49.62,5.16353687016,479000,0.0,1.0
1999-12-22,49.56,51.44,49.31,50.25,5.22909568169,809800,0.0,1.0
1999-12-23,50.94,51.25,50.62,50.95,5.30193880561,522700,0.0,1.0
1999-12-27,51.12,52.19,51.06,51.81,5.39143178643,663100,0.0,1.0
