dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,53.75,53.88,52.5,52.75,8.7105476997,594200,0.0,1.0
1999-11-04,52.94,52.94,52.5,52.69,8.70063996772,611800,0.0,1.0
1999-11-05,53.0,53.19,51.81,52.06,8.59660878192,728900,0.0,1.0
1999-11-08,52.06,53.31,52.06,53.31,8.80301986485,375300,0.0,1.0
1999-11-09,55.0,55.0,52.94,53.13,8.77329666891,607000,0.0,1.0
1999-11-10,53.06,53.44,51.63,52.19,8.61807553455,566800,0.0,1.0
1999-11-11,52.19,52.44,51.0,51.69,8.53551110137,464700,0.0,1.0
1999-11-12,51.94,52.5,51.69,52.5,8.66926548311,582700,0.0,1.0
1999-11-15,52.25,53.0,52.19,52.63,8.69073223574,649500,0.0,1.0
1999-11-16,52.56,53.19,52.06,53.06,8.76173764827,464700,0.0,1.0
1999-11-17,53.06,53.06,51.56,51.63,8.52560336939,896600,0.0,1.0
1999-11-18,51.63,52.0,51.38,51.44,8.49422888479,528900,0.0,1.0
1999-11-19,51.38,51.5,50.0,50.06,8.26635104923,464100,0.0,1.0
1999-11-22,49.75,49.75,48.63,48.75,8.05003223432,1041300,0.0,1.0
1999-11-23,48.88,49.56,48.44,49.19,8.12268893551,556500,0.0,1.0
1999-11-24,49.13,49.25,48.56,48.81,8.0599399663,528400,0.0,1.0
1999-11-26,48.69,48.94,48.38,48.69,8.04012450234,153400,0.0,1.0
1999-11-29,48.56,48.63,47.25,47.38,7.82380568743,567700,0.0,1.0
1999-11-30,47.44,47.69,47.06,47.06,7.7709644502,825100,0.0,1.0
1999-12-01,47.0,47.19,46.69,46.69,7.70986676965,674000,0.0,1.0
1999-12-02,46.94,47.0,46.13,46.19,7.62730233648,706400,0.0,1.0
1999-12-03,46.0,46.81,45.75,46.75,7.71977450163,918700,0.0,1.0
1999-12-06,46.31,46.81,46.0,46.81,7.76270800688,554800,0.2,1.0
1999-12-07,46.63,47.0,45.25,45.31,7.51395641512,719300,0.0,1.0
1999-12-08,45.75,46.44,45.5,46.06,7.638332211,742100,0.0,1.0
1999-12-09,46.06,46.06,44.63,44.94,7.45259768915,701500,0.0,1.0
1999-12-10,44.81,44.88,44.5,44.56,7.38958061924,485600,0.0,1.0
1999-12-13,44.38,44.5,44.0,44.3,7.34646367667,727400,0.0,1.0
1999-12-14,43.63,44.25,43.38,43.69,7.24530469602,757900,0.0,1.0
1999-12-15,43.88,43.94,42.88,43.63,7.23535463235,1633600,0.0,1.0
1999-12-16,43.75,43.94,43.38,43.81,7.26520482336,860300,0.0,1.0
1999-12-17,44.31,44.31,44.31,44.31,7.34812202061,907200,0.0,1.0
1999-12-20,45.0,45.13,42.5,42.63,7.06952023784,999300,0.0,1.0
1999-12-21,42.63,42.63,39.0,40.63,6.73785144883,2038600,0.0,1.0
1999-12-22,40.5,40.63,40.0,40.63,6.73785144883,1246200,0.0,1.0
1999-12-23,41.13,42.44,41.13,41.94,6.95509450563,797200,0.0,1.0
1999-12-27,41.81,42.25,41.75,42.0,6.9650445693,957000,0.0,1.0
1999-12-28,42.25,43.69,42.06,42.88,7.11097883647,907300,0.0,1.0
1999-12-29,43.19,43.63,43.19,43.5,7.21379616106,649100,0.0,1.0
1999-12-30,43.63,43.63,42.56,43.06,7.14082902748,569600,0.0,1.0
1999-12-31,43.06,43.88,42.56,43.69,7.24530469602,345800,0.0,1.0
2000-01-03,43.06,43.06,43.06,43.06,7.14082902748,1025300,0.0,1.0
2000-01-04,43.06,43.38,42.63,43.0,7.13087896381,1216300,0.0,1.0
2000-01-05,43.0,43.75,42.94,43.25,7.17233756243,894900,0.0,1.0
2000-01-06,43.0,46.0,43.0,45.63,7.56702342136,1554000,0.0,1.0
2000-01-07,45.63,45.69,44.63,45.31,7.51395641512,814000,0.0,1.0
2000-01-10,46.38,46.75,45.5,46.38,7.69139921724,1077900,0.0,1.0
2000-01-11,46.25,47.19,46.25,46.75,7.75275794321,596000,0.0,1.0
2000-01-12,46.5,46.81,45.63,45.81,7.59687361237,574700,0.0,1.0
2000-01-13,45.81,47.63,45.38,46.63,7.73285781587,773100,0.0,1.0
2000-01-14,46.75,46.94,45.69,46.06,7.638332211,608900,0.0,1.0
2000-01-18,45.56,45.88,44.25,44.38,7.35973042823,741900,0.0,1.0
2000-01-19,43.13,43.69,42.25,43.63,7.23535463235,1442900,0.0,1.0
2000-01-20,44.25,44.81,40.88,42.0,6.9650445693,2017700,0.0,1.0
2000-01-21,42.56,44.19,42.5,43.75,7.25525475969,1276300,0.0,1.0
2000-01-24,43.81,44.25,42.38,42.44,7.03801170288,751000,0.0,1.0
2000-01-25,42.44,42.69,40.0,40.94,6.78926011112,1264200,0.0,1.0
2000-01-26,41.0,41.81,39.94,41.81,6.93353603434,962300,0.0,1.0
2000-01-27,42.0,42.0,40.06,40.25,6.67483437891,917600,0.0,1.0
2000-01-28,40.31,41.31,39.75,40.63,6.73785144883,897600,0.0,1.0
2000-01-31,40.63,41.13,39.81,40.25,6.67483437891,920600,0.0,1.0
2000-02-01,40.0,40.38,39.5,40.31,6.68478444258,703300,0.0,1.0
2000-02-02,40.12,40.25,38.62,38.75,6.42608278715,1055100,0.0,1.0
2000-02-03,39.25,39.56,39.0,39.31,6.51895004808,900200,0.0,1.0
2000-02-04,39.75,40.88,39.75,40.31,6.68478444258,1159300,0.0,1.0
2000-02-07,40.25,40.5,39.5,39.69,6.58196711799,727800,0.0,1.0
2000-02-08,39.94,40.0,38.63,38.75,6.42608278715,918800,0.0,1.0
2000-02-09,39.25,40.63,38.81,38.94,6.45759132211,1216400,0.0,1.0
2000-02-10,38.94,38.94,35.88,37.06,6.14582266044,2084900,0.0,1.0
2000-02-11,37.13,37.38,36.63,36.75,6.09441399814,891400,0.0,1.0
2000-02-14,37.25,38.0,36.88,38.0,6.30170699127,1094400,0.0,1.0
2000-02-15,38.5,38.81,37.75,38.81,6.43603285082,1812700,0.0,1.0
2000-02-16,39.0,39.38,37.0,37.38,6.19888966668,1283600,0.0,1.0
2000-02-17,37.5,38.0,36.75,37.88,6.28180686393,773400,0.0,1.0
2000-02-18,38.0,38.25,37.75,37.75,6.26024839264,851700,0.0,1.0
2000-02-22,37.94,39.38,37.88,38.81,6.43603285082,778300,0.0,1.0
2000-02-23,38.81,39.38,38.75,39.31,6.51895004808,1010700,0.0,1.0
2000-02-24,39.5,39.56,36.25,37.25,6.17733119539,1776200,0.0,1.0
2000-02-25,37.25,37.5,36.56,37.44,6.20883973035,759500,0.0,1.0
2000-02-28,37.44,38.75,36.81,38.5,6.38462418853,800800,0.0,1.0
2000-02-29,38.44,38.81,37.94,38.0,6.30170699127,854300,0.0,1.0
2000-03-01,38.13,38.63,38.0,38.25,6.3431655899,1653000,0.0,1.0
2000-03-02,38.19,38.19,37.38,37.81,6.27019845632,898300,0.0,1.0
2000-03-03,37.75,40.0,37.56,39.38,6.53055845569,1407900,0.0,1.0
2000-03-06,39.13,39.13,37.31,37.75,6.26024839264,772500,0.0,1.0
2000-03-07,37.25,37.5,35.69,36.0,5.97003820226,1314100,0.0,1.0
2000-03-08,36.5,37.06,36.25,36.31,6.02144686455,1179500,0.0,1.0
2000-03-09,36.5,36.5,34.56,35.94,5.96008813859,1568900,0.0,1.0
2000-03-10,35.69,36.25,34.88,35.06,5.81415387142,1628300,0.0,1.0
2000-03-13,34.94,35.25,34.25,35.25,5.87882928528,895500,0.2,1.0
2000-03-14,35.5,35.5,34.88,35.25,5.87882928528,864300,0.0,1.0
2000-03-15,35.13,37.38,35.13,37.38,6.23406067188,976300,0.0,1.0
2000-03-16,37.81,39.81,37.19,39.81,6.63932464814,1750800,0.0,1.0
2000-03-17,40.0,40.63,39.75,40.25,6.71270577964,1136700,0.0,1.0
2000-03-20,40.44,40.69,37.69,38.25,6.3791551819,1008100,0.0,1.0
2000-03-21,37.75,40.13,37.75,40.0,6.67101195493,1209400,0.0,1.0
2000-03-22,40.25,40.44,38.31,38.63,6.44252979547,987400,0.0,1.0
2000-03-23,38.0,38.75,37.63,38.69,6.4525363134,745500,0.0,1.0
2000-03-24,38.56,38.88,37.75,38.12,6.35747439304,719500,0.0,1.0
2000-03-27,38.0,38.88,38.0,38.69,6.4525363134,558200,0.0,1.0
2000-03-28,38.38,38.69,37.0,37.19,6.20237336509,825100,0.0,1.0
2000-03-29,37.19,37.88,37.0,37.88,6.31744832131,780600,0.0,1.0
2000-03-30,38.0,38.0,37.0,37.19,6.20237336509,710100,0.0,1.0
2000-03-31,37.44,39.13,37.25,39.13,6.52591744491,973300,0.0,1.0
2000-04-03,39.13,39.13,38.63,38.75,6.46254283133,1120000,0.0,1.0
2000-04-04,38.88,39.31,37.56,38.69,6.4525363134,911100,0.0,1.0
2000-04-05,38.75,41.0,38.69,41.0,6.8377872538,1186200,0.0,1.0
2000-04-06,41.0,42.38,40.88,41.25,6.87948107852,1458900,0.0,1.0
2000-04-07,41.13,41.13,39.69,40.75,6.79609342908,808900,0.0,1.0
2000-04-10,40.5,42.31,40.44,41.63,6.94285569209,773300,0.0,1.0
2000-04-11,41.63,43.25,41.63,43.13,7.1930186404,896700,0.0,1.0
2000-04-12,43.13,44.06,42.44,43.81,7.30642584363,1380400,0.0,1.0
2000-04-13,43.69,43.75,42.06,42.81,7.13965054476,856800,0.0,1.0
2000-04-14,42.69,42.69,40.75,41.06,6.84779377173,879400,0.0,1.0
2000-04-17,41.06,41.63,39.81,39.81,6.63932464814,1112000,0.0,1.0
2000-04-18,39.88,40.63,39.81,40.5,6.75439960436,621200,0.0,1.0
2000-04-19,40.75,41.56,40.0,40.31,6.72271229758,771900,0.0,1.0
2000-04-20,40.63,41.31,40.06,41.31,6.88948759645,858000,0.0,1.0
2000-04-24,41.25,42.88,41.25,42.06,7.0145690706,658800,0.0,1.0
2000-04-25,42.0,44.88,42.0,43.81,7.30642584363,1442000,0.0,1.0
2000-04-26,45.13,46.31,44.81,45.44,7.5782695808,1585400,0.0,1.0
2000-04-27,45.0,45.25,42.75,42.88,7.15132481568,1092700,0.0,1.0
2000-04-28,43.19,43.19,41.25,42.13,7.02624334153,947700,0.0,1.0
2000-05-01,41.88,43.38,41.69,42.94,7.16133133361,1144100,0.0,1.0
2000-05-02,42.38,42.88,41.31,41.75,6.96286872795,814900,0.0,1.0
2000-05-03,41.25,42.56,40.81,41.5,6.92117490324,550800,0.0,1.0
2000-05-04,41.75,41.75,40.56,40.56,6.76440612229,653200,0.0,1.0
2000-05-05,40.63,42.5,40.63,42.31,7.05626289532,495600,0.0,1.0
