dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-10,65.0,70.31,64.5,68.25,39.4440044933,80793700,0.0,1.0
1999-11-11,68.75,76.94,68.75,75.0,43.3450598828,28309000,0.0,1.0
1999-11-12,76.0,76.63,69.25,70.5,40.7443562898,14768100,0.0,1.0
1999-11-15,70.5,70.88,67.31,69.0,39.8774550922,8675100,0.0,1.0
1999-11-16,67.88,68.0,65.0,66.0,38.1436526969,6978600,0.0,1.0
1999-11-17,65.56,68.19,65.13,67.69,39.1203613795,5806900,0.0,1.0
1999-11-18,67.94,68.94,66.13,66.31,38.3228122777,4718700,0.0,1.0
1999-11-19,66.31,66.31,64.25,65.0,37.5657185651,5091100,0.0,1.0
1999-11-22,64.06,64.25,61.0,63.13,36.4849817387,4785400,0.0,1.0
1999-11-23,63.38,67.0,63.25,66.19,38.2534601819,2832200,0.0,1.0
1999-11-24,66.0,68.19,65.94,67.69,39.2937416191,2179400,0.3,1.0
1999-11-26,68.44,69.44,68.19,69.13,40.1296551651,1322500,0.0,1.0
1999-11-29,70.0,70.25,67.0,68.13,39.549159647,1987000,0.0,1.0
1999-11-30,67.38,67.63,66.06,66.06,38.3475339246,1686100,0.0,1.0
1999-12-01,66.25,67.38,65.63,65.88,38.2430447313,1405700,0.0,1.0
1999-12-02,66.0,67.06,65.88,67.06,38.9280294427,1391000,0.0,1.0
1999-12-03,67.44,67.69,66.31,66.44,38.5681222215,1753500,0.0,1.0
1999-12-06,66.5,66.5,65.38,66.25,38.457828073,1398900,0.0,1.0
1999-12-07,65.94,68.0,65.88,68.0,39.4736952297,1793100,0.0,1.0
1999-12-08,68.0,68.38,66.75,68.38,39.6942835266,1774000,0.0,1.0
1999-12-09,68.38,68.75,66.63,67.5,39.1834474706,1713600,0.0,1.0
1999-12-10,66.38,67.0,65.38,66.13,38.3881686109,1248600,0.0,1.0
1999-12-13,66.38,66.94,64.88,66.0,38.3127041935,1417800,0.0,1.0
1999-12-14,66.0,66.0,64.75,65.0,37.7322086754,1886600,0.0,1.0
1999-12-15,65.0,65.06,63.69,63.75,37.0065892778,1602800,0.0,1.0
1999-12-16,63.75,64.06,63.25,64.0,37.1517131573,1364600,0.0,1.0
1999-12-17,64.75,67.62,64.69,66.62,38.6726114147,1980800,0.0,1.0
1999-12-20,67.69,68.5,66.94,68.5,39.7639429887,1501300,0.0,1.0
1999-12-21,68.25,69.0,67.5,69.0,40.0541907478,1265200,0.0,1.0
1999-12-22,68.94,68.94,66.06,67.0,38.8931997116,1264700,0.0,1.0
1999-12-23,66.5,67.88,65.63,67.75,39.3285713502,1180600,0.0,1.0
1999-12-27,68.5,69.69,67.5,69.69,40.4547326552,1478800,0.0,1.0
1999-12-28,69.5,69.69,68.06,69.0,40.0541907478,1051400,0.0,1.0
1999-12-29,69.0,69.38,67.56,68.0,39.4736952297,904700,0.0,1.0
1999-12-30,69.25,69.5,68.0,68.0,39.4736952297,926700,0.0,1.0
1999-12-31,68.88,69.5,68.38,69.0,40.0541907478,649300,0.0,1.0
2000-01-03,69.69,69.75,67.0,67.06,38.9280294427,1273200,0.0,1.0
2000-01-04,67.0,67.0,64.63,64.94,37.6973789443,1385800,0.0,1.0
2000-01-05,64.88,66.5,64.75,65.94,38.2778744624,1401700,0.0,1.0
2000-01-06,65.88,68.13,65.0,68.0,39.4736952297,1959100,0.0,1.0
2000-01-07,67.63,67.63,65.75,66.38,38.5332924904,996000,0.0,1.0
2000-01-10,66.88,67.44,66.44,67.06,38.9280294427,1191700,0.0,1.0
2000-01-11,67.13,67.44,66.31,66.38,38.5332924904,1020000,0.0,1.0
2000-01-12,66.13,67.5,65.44,67.38,39.1137880085,1097700,0.0,1.0
2000-01-13,67.63,68.5,67.38,68.31,39.6536488403,1071200,0.0,1.0
2000-01-14,68.88,69.25,68.31,69.06,40.0890204788,1160000,0.0,1.0
2000-01-18,69.0,69.0,67.38,68.69,39.8742371372,980500,0.0,1.0
2000-01-19,68.5,68.56,67.44,68.25,39.6188191092,1087300,0.0,1.0
2000-01-20,68.13,69.13,68.13,68.88,39.9845312856,1972000,0.0,1.0
2000-01-21,68.88,68.88,66.69,67.25,39.0383235911,1270100,0.0,1.0
2000-01-24,67.88,68.25,66.0,66.0,38.3127041935,831400,0.0,1.0
2000-01-25,65.63,66.63,64.75,65.88,38.2430447313,1263000,0.0,1.0
2000-01-26,65.25,65.63,64.5,65.13,37.8076730928,933400,0.0,1.0
2000-01-27,65.31,65.38,64.0,65.13,37.8076730928,1128400,0.0,1.0
2000-01-28,65.13,65.88,64.0,64.94,37.6973789443,1324700,0.0,1.0
2000-01-31,63.0,64.0,59.0,60.0,34.829731085,5745800,0.0,1.0
2000-02-01,59.69,61.5,58.31,61.38,35.6308149,4761000,0.0,1.0
2000-02-02,59.75,59.94,57.19,58.25,33.8138639284,4740600,0.0,1.0
2000-02-03,59.25,59.5,57.38,57.63,33.4539567072,1951900,0.0,1.0
2000-02-04,58.19,58.19,56.06,56.38,32.7283373095,1745200,0.0,1.0
2000-02-07,56.63,56.81,55.5,55.75,32.3626251332,1480200,0.0,1.0
2000-02-08,56.25,59.38,55.75,59.38,34.4698238638,2055100,0.0,1.0
2000-02-09,59.5,59.63,58.0,58.0,33.6687400488,1209400,0.0,1.0
2000-02-10,58.06,58.5,56.5,57.06,33.1230742618,995700,0.0,1.0
2000-02-11,56.81,57.0,55.13,55.13,32.0027179119,1013900,0.0,1.0
2000-02-14,55.31,55.5,54.13,54.38,31.5673462734,2052800,0.0,1.0
2000-02-15,54.44,55.0,53.56,54.94,31.8924237635,1182900,0.0,1.0
2000-02-16,55.19,56.44,54.5,56.0,32.5077490127,1530000,0.0,1.0
2000-02-17,56.5,58.25,56.13,58.0,33.6687400488,1036000,0.0,1.0
2000-02-18,58.0,59.44,55.25,56.94,33.0534147997,1529200,0.0,1.0
2000-02-22,56.94,56.94,54.56,55.0,31.9272534946,1226000,0.0,1.0
2000-02-23,55.06,56.25,54.06,54.94,31.8924237635,855700,0.0,1.0
2000-02-24,55.0,55.0,53.81,54.06,31.4802719457,1049300,0.17,1.0
2000-02-25,54.94,55.75,54.06,55.5,32.3188141507,961700,0.0,1.0
2000-02-28,55.56,55.63,54.5,55.0,32.0276536628,565600,0.0,1.0
2000-02-29,55.0,55.31,54.5,54.63,31.8121949018,750900,0.0,1.0
2000-03-01,54.63,54.69,51.88,52.5,30.5718512236,1471000,0.0,1.0
2000-03-02,52.13,53.63,52.06,53.31,31.0435312139,1136600,0.0,1.0
2000-03-03,53.31,53.5,52.56,52.69,30.682492209,1030700,0.0,1.0
2000-03-06,54.38,54.38,52.5,52.75,30.7174314675,1431500,0.0,1.0
2000-03-07,52.75,52.81,49.0,50.63,29.4829109991,2319100,0.0,1.0
2000-03-08,52.75,54.5,51.31,54.31,31.6258521896,2275300,0.0,1.0
2000-03-09,54.5,54.5,52.44,53.0,30.8630117114,1199700,0.0,1.0
2000-03-10,53.75,54.38,53.06,53.44,31.1192329407,776700,0.0,1.0
2000-03-13,52.25,54.19,52.13,52.75,30.7174314675,671700,0.0,1.0
2000-03-14,52.5,53.5,52.31,52.56,30.6067904821,1072500,0.0,1.0
2000-03-15,52.94,55.38,51.63,54.94,31.9927144043,2274800,0.0,1.0
2000-03-16,55.88,57.63,55.06,56.25,32.7555548824,1635300,0.0,1.0
2000-03-17,57.06,57.06,55.5,55.5,32.3188141507,622400,0.0,1.0
2000-03-20,56.5,56.88,55.25,56.56,32.9360743849,843400,0.0,1.0
2000-03-21,56.31,58.38,55.25,58.19,33.8852575753,889000,0.0,1.0
2000-03-22,58.19,59.06,56.81,56.88,33.1224170971,763100,0.0,1.0
2000-03-23,56.81,59.94,56.0,59.63,34.7237997802,1472900,0.0,1.0
2000-03-24,60.0,64.13,59.81,63.75,37.1229622001,2148200,0.0,1.0
2000-03-27,63.0,64.0,62.63,63.19,36.7968624537,960400,0.0,1.0
2000-03-28,62.5,63.0,60.06,60.25,35.0848387852,639300,0.0,1.0
2000-03-29,61.25,61.25,58.31,59.06,34.3918768241,869700,0.0,1.0
2000-03-30,58.81,60.13,58.31,58.56,34.1007163363,682400,0.0,1.0
2000-03-31,59.56,63.0,58.19,62.99,36.6803982586,727100,0.0,1.0
2000-04-03,62.0,62.0,59.0,59.38,34.5782195363,830000,0.0,1.0
2000-04-04,59.38,59.75,55.38,57.81,33.6639756045,1309000,0.0,1.0
2000-04-05,56.81,58.25,56.81,58.19,33.8852575753,478000,0.0,1.0
2000-04-06,58.31,60.19,58.31,59.88,34.8693800242,800700,0.0,1.0
2000-04-07,59.88,61.44,59.13,60.88,35.4517009999,778200,0.0,1.0
2000-04-10,61.13,63.94,61.06,62.94,36.6512822098,1275600,0.0,1.0
2000-04-11,63.31,63.31,62.13,63.19,36.7968624537,616700,0.0,1.0
2000-04-12,62.81,62.88,61.25,61.5,35.8127400048,608700,0.0,1.0
2000-04-13,61.5,61.5,59.44,60.25,35.0848387852,566300,0.0,1.0
2000-04-14,58.5,58.75,55.0,55.0,32.0276536628,859800,0.0,1.0
2000-04-17,57.0,59.5,55.0,58.0,33.7746165899,1152900,0.0,1.0
2000-04-18,58.0,61.19,58.0,60.69,35.3410600145,714900,0.0,1.0
2000-04-19,60.19,60.5,58.75,59.06,34.3918768241,510200,0.0,1.0
2000-04-20,61.0,63.88,60.63,63.5,36.9773819562,1730600,0.0,1.0
2000-04-24,63.0,63.25,62.0,62.63,36.4707627073,1071000,0.0,1.0
2000-04-25,64.31,66.44,63.81,66.44,38.6894056247,1644600,0.0,1.0
2000-04-26,66.5,66.94,64.94,66.19,38.5438253808,1239300,0.0,1.0
2000-04-27,65.5,66.56,65.19,65.94,38.3982451368,689400,0.0,1.0
2000-04-28,66.69,66.75,65.5,66.5,38.7243448832,1011200,0.0,1.0
2000-05-01,66.63,66.94,64.25,64.25,37.4141226879,904600,0.0,1.0
2000-05-02,64.06,64.44,63.25,63.81,37.1579014586,1565300,0.0,1.0
2000-05-03,64.06,64.06,62.31,62.38,36.3251824634,566400,0.0,1.0
2000-05-04,62.13,62.13,60.0,60.94,35.4866402584,669000,0.0,1.0
2000-05-05,59.75,60.88,59.0,59.88,34.8693800242,834300,0.0,1.0
2000-05-08,59.0,61.75,58.31,61.06,35.5565187755,1726400,0.0,1.0
2000-05-09,61.5,63.38,60.81,62.5,36.3950609805,859200,0.0,1.0
2000-05-10,62.0,62.38,60.63,60.81,35.4109385316,880400,0.0,1.0
2000-05-11,60.88,61.69,60.88,61.25,35.6671597609,934200,0.0,1.0
2000-05-12,61.5,62.63,61.38,61.56,35.8476792633,603600,0.0,1.0
2000-05-15,61.56,64.0,60.69,63.31,36.8667409708,1110200,0.0,1.0
2000-05-16,64.0,64.0,61.88,62.0,36.1039004926,526500,0.0,1.0
2000-05-17,61.75,62.88,61.19,62.31,36.2844199951,466300,0.0,1.0
2000-05-18,62.25,62.25,61.38,62.13,36.1796022195,626500,0.0,1.0
2000-05-19,61.88,62.19,60.5,61.88,36.0340219755,754800,0.0,1.0
2000-05-22,61.63,61.88,59.88,61.44,35.7778007462,701700,0.0,1.0
2000-05-23,61.19,62.25,61.13,61.88,36.0340219755,669500,0.0,1.0
2000-05-24,61.0,61.38,59.13,59.63,34.7237997802,592700,0.0,1.0
2000-05-25,59.44,60.25,58.0,58.88,34.3860536144,795300,0.17,1.0
2000-05-26,59.0,59.31,56.75,57.19,33.3990897793,1003100,0.0,1.0
2000-05-30,57.0,59.31,57.0,59.06,34.4911740228,602100,0.0,1.0
2000-05-31,59.94,60.38,59.63,60.0,35.0401361559,794000,0.0,1.0
2000-06-01,60.81,62.06,60.63,61.5,35.9161395598,1261000,0.0,1.0
2000-06-02,62.19,62.44,60.94,61.0,35.6241384252,745100,0.0,1.0
2000-06-05,60.88,62.5,60.81,61.56,35.951179696,812100,0.0,1.0
2000-06-06,61.56,61.88,60.75,61.75,36.0621401271,585000,0.0,1.0
2000-06-07,61.75,62.19,61.44,62.06,36.2431808306,729800,0.0,1.0
2000-06-08,62.0,62.13,60.25,60.25,35.1861367232,606300,0.0,1.0
2000-06-09,60.25,60.25,59.31,59.31,34.6371745901,505500,0.0,1.0
2000-06-12,59.0,59.88,57.5,59.34,34.6546946582,1105100,0.0,1.0
2000-06-13,59.5,62.06,59.25,61.31,35.8051791287,958400,0.0,1.0
2000-06-14,61.19,61.88,60.88,61.25,35.7701389925,898600,0.0,1.0
2000-06-15,61.5,62.5,61.44,62.38,36.4300615568,1076100,0.0,1.0
