dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,30.25,31.0,30.19,30.56,4.07353577151,292900,0.0,1.0
1999-11-02,30.25,31.5,30.06,31.0,4.13218615566,214200,0.0,1.0
1999-11-03,31.0,31.13,30.38,31.06,4.14018393531,244200,0.0,1.0
1999-11-04,30.94,31.0,30.25,30.94,4.124188376,251100,0.0,1.0
1999-11-05,31.25,31.94,29.94,30.75,4.09886207376,235500,0.0,1.0
1999-11-08,31.0,31.56,30.81,31.5,4.19883431946,349600,0.0,1.0
1999-11-09,31.5,32.63,31.25,32.44,4.3241328674,689100,0.0,1.0
1999-11-10,32.19,32.19,30.25,30.56,4.07353577151,282000,0.0,1.0
1999-11-11,30.69,30.88,30.0,30.0,3.99888982806,227700,0.0,1.0
1999-11-12,30.19,30.19,28.69,30.0,3.99888982806,279800,0.0,1.0
1999-11-15,30.0,30.0,29.06,29.31,3.90691536201,196900,0.0,1.0
1999-11-16,29.5,29.94,28.41,29.56,3.94023944391,338500,0.0,1.0
1999-11-17,29.69,30.75,29.56,30.0,3.99888982806,322700,0.0,1.0
1999-11-18,30.0,30.06,29.25,29.81,3.97356352581,269200,0.0,1.0
1999-11-19,29.44,30.06,29.31,29.63,3.94957018684,233900,0.0,1.0
1999-11-22,29.75,29.75,28.75,29.13,3.88292202304,264100,0.0,1.0
1999-11-23,29.0,29.63,28.94,29.06,3.87359128011,278700,0.0,1.0
1999-11-24,29.13,30.25,29.13,30.19,4.0242161303,320200,0.0,1.0
1999-11-26,29.88,30.5,29.88,30.0,3.99888982806,123700,0.0,1.0
1999-11-29,30.0,30.25,29.69,30.0,3.99888982806,280600,0.0,1.0
1999-11-30,30.0,30.5,29.63,29.88,3.98289426874,378300,0.0,1.0
1999-12-01,30.13,31.0,29.94,30.81,4.10685985341,398000,0.0,1.0
1999-12-02,30.56,31.06,29.75,30.13,4.01621835064,205700,0.0,1.0
