dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2006-01-03,25.6,27.4,25.6,26.2,18.5502345726,6604700,0.0,1.0
2006-01-04,26.27,26.27,25.841,26.0,18.4086297286,8838900,0.0,1.0
2006-01-05,26.0,26.44,25.83,26.36,18.6635184479,8040500,0.0,1.0
2006-01-06,26.5,27.3,26.46,27.23,19.2794995196,7449100,0.0,1.0
2006-01-09,27.0,27.21,26.85,27.03,19.1378946755,7858700,0.0,1.0
2006-01-10,27.1,27.17,26.43,26.56,18.8051232919,9081400,0.0,1.0
2006-01-11,26.66,26.75,26.05,26.18,18.5360740882,7058500,0.0,1.0
2006-01-12,25.86,26.15,25.49,25.99,18.4015494864,7687400,0.0,1.0
2006-01-13,25.95,26.0,25.48,25.48,18.040457134,4859000,0.0,1.0
2006-01-17,25.15,25.66,25.01,25.06,17.7430869614,6226600,0.0,1.0
2006-01-18,25.0,25.67,24.83,25.0799,17.7571766434,5524200,0.0,1.0
2006-01-19,25.64,25.71,25.34,25.57,18.1041793138,5021500,0.0,1.0
2006-01-20,25.35,25.72,24.92,24.98,17.6864450238,5064900,0.0,1.0
2006-01-23,25.3,25.9,25.05,25.82,18.2811853689,6361700,0.0,1.0
2006-01-24,26.0,27.0,25.8,26.9,19.0458515269,8567200,0.0,1.0
2006-01-25,27.0,27.0,26.09,26.4,18.6918394167,5665700,0.0,1.0
2006-01-26,26.55,27.1099,26.48,26.81,18.982129347,7545800,0.0,1.0
2006-01-27,26.75,27.35,26.43,26.8,18.9750491048,7927600,0.0,1.0
2006-01-30,26.85,27.45,26.7,27.27,19.3078204884,5639100,0.0,1.0
2006-01-31,27.17,27.17,26.03,26.13,18.5006728772,6437100,0.0,1.0
2006-02-01,26.01,26.56,25.96,26.14,18.5077531194,4373800,0.0,1.0
2006-02-02,26.12,26.3,25.47,25.65,18.1608212514,6802800,0.0,1.0
2006-02-03,25.6,26.02,25.38,25.66,18.1679014936,5098800,0.0,1.0
2006-02-06,25.66,26.08,25.64,25.84,18.2953458533,3450100,0.0,1.0
2006-02-07,25.95,26.14,25.53,25.53,18.075858345,3316100,0.0,1.0
2006-02-08,25.53,26.07,25.53,26.02,18.422790213,3761800,0.0,1.0
2006-02-09,25.8,26.0,25.54,25.63,18.146660767,3224200,0.0,1.0
2006-02-10,25.58,25.65,25.29,25.46,18.0262966496,3893600,0.0,1.0
2006-02-13,25.25,25.63,25.15,25.54,18.0829385872,2694100,0.0,1.0
2006-02-14,25.45,25.83,25.28,25.6,18.1254200404,4273900,0.0,1.0
2006-02-15,25.72,25.81,25.55,25.61,18.1325002826,1980500,0.0,1.0
2006-02-16,25.55,25.58,25.1,25.15,17.8068091413,4152200,0.0,1.0
2006-02-17,25.05,25.95,25.03,25.85,18.3024260955,5314900,0.0,1.0
2006-02-21,26.0,26.02,25.16,25.3,17.9130127743,4538400,0.0,1.0
2006-02-22,25.45,25.52,25.17,25.23,17.8634510789,7170900,0.0,1.0
2006-02-23,25.23,25.55,24.86,25.2,17.8422103523,5938000,0.0,1.0
2006-02-24,25.04,25.27,24.53,24.53,17.3678341247,7852800,0.0,1.0
2006-02-27,24.53,25.05,24.53,24.83,17.5802413908,7664900,0.0,1.0
2006-02-28,24.66,24.75,24.38,24.46,17.3182724293,4925700,0.0,1.0
2006-03-01,24.5,24.74,24.2101,24.65,17.4527970311,4254300,0.0,1.0
2006-03-02,24.24,24.29,23.91,24.06,17.0350627411,7836000,0.0,1.0
2006-03-03,24.06,24.31,23.85,23.98,16.9784208035,4084500,0.0,1.0
2006-03-06,24.0,24.45,23.9,23.98,16.9784208035,4668300,0.0,1.0
2006-03-07,23.99,24.44,23.98,24.36,17.2474700072,4726300,0.0,1.0
2006-03-08,24.36,24.42,24.02,24.14,17.0917046787,4121000,0.0,1.0
2006-03-09,24.1,24.2,23.92,23.96,16.9642603191,3096700,0.0,1.0
2006-03-10,24.14,24.23,23.88,23.95,16.9571800769,3338400,0.0,1.0
2006-03-13,24.05,24.27,24.01,24.02,17.0067417723,3354100,0.0,1.0
2006-03-14,24.02,24.12,23.95,23.96,16.9642603191,3357900,0.0,1.0
2006-03-15,24.05,24.45,23.89,24.34,17.2333095228,3220000,0.0,1.0
2006-03-16,24.5,24.5,24.15,24.22,17.1483466164,3201700,0.0,1.0
2006-03-17,24.35,24.75,24.16,24.62,17.4315563045,4400600,0.0,1.0
2006-03-20,24.48,24.6,24.26,24.4,17.275790976,2767300,0.0,1.0
2006-03-21,24.56,24.8,24.55,24.78,17.5448401798,6324000,0.0,1.0
2006-03-22,24.82,25.09,24.75,25.08,17.7572474459,7171100,0.0,1.0
2006-03-23,25.0,25.0,24.85,24.89,17.622722844,3627800,0.0,1.0
2006-03-24,24.75,25.06,24.73,25.03,17.7218462348,4078400,0.0,1.0
2006-03-27,24.85,25.04,24.55,24.78,17.5448401798,4405400,0.0,1.0
2006-03-28,24.7,24.77,24.22,24.42,17.2899514604,4651700,0.0,1.0
2006-03-29,24.4,24.54,24.23,24.44,17.3041119448,5782200,0.0,1.0
2006-03-30,24.55,24.69,24.2,24.24,17.1625071008,5328800,0.0,1.0
2006-03-31,24.23,24.38,23.97,23.98,16.9784208035,5858800,0.0,1.0
2006-04-04,24.6,24.8,24.49,24.77,17.5377599376,3517400,0.0,1.0
2006-04-05,24.91,25.0,24.67,24.9,17.6298030862,5342400,0.0,1.0
2006-04-06,24.9,25.5,24.76,25.47,18.0333768918,7115300,0.0,1.0
2006-04-07,25.16,25.46,24.99,25.14,17.7997288991,4109600,0.0,1.0
2006-04-10,25.1,25.16,24.87,24.89,17.622722844,5367400,0.0,1.0
2006-04-11,25.0,25.0,24.43,24.6,17.4173958201,3142700,0.0,1.0
2006-04-12,24.65,24.8,24.53,24.53,17.3678341247,2068500,0.0,1.0
2006-04-13,24.44,24.9,24.43,24.85,17.5944018752,1795200,0.0,1.0
2006-04-17,24.95,24.95,24.51,24.71,17.4952784843,2332400,0.0,1.0
2006-04-18,24.8,24.91,24.17,24.8,17.5590006642,4769700,0.0,1.0
2006-04-19,24.78,24.82,24.38,24.56,17.3890748513,3298800,0.0,1.0
2006-04-20,24.58,24.71,24.43,24.53,17.3678341247,3763700,0.0,1.0
2006-04-21,24.7,24.84,24.5,24.81,17.5660809064,3112000,0.0,1.0
2006-04-24,24.72,24.93,24.7,24.81,17.5660809064,1945300,0.0,1.0
2006-04-25,24.9,25.37,24.65,25.37,17.9625744698,4043200,0.0,1.0
2006-04-26,25.4,25.58,25.03,25.15,17.8068091413,5890800,0.0,1.0
2006-04-27,25.19,25.6,25.13,25.5,18.0546176184,3953800,0.0,1.0
2006-04-28,25.5,25.57,25.34,25.47,18.0333768918,4909200,0.0,1.0
2006-05-01,25.47,26.01,25.47,25.78,18.2528644001,4888100,0.0,1.0
2006-05-02,25.85,25.9,25.5,25.55,18.0900188294,5829500,0.0,1.0
2006-05-03,25.56,25.8,25.53,25.75,18.2316236735,3965700,0.0,1.0
2006-05-04,25.75,26.15,25.7,26.04,18.4369506974,2686500,0.0,1.0
2006-05-05,26.08,26.44,26.05,26.38,18.6776789323,2628400,0.0,1.0
2006-05-08,26.5,26.81,26.46,26.6,18.8334442608,5269900,0.0,1.0
2006-05-09,26.72,26.8,26.61,26.67,18.8830059562,4092200,0.0,1.0
2006-05-10,26.77,26.77,26.25,26.3,18.6210369947,4106500,0.0,1.0
2006-05-11,26.3,26.35,25.89,25.92,18.3519877909,3531900,0.0,1.0
2006-05-12,25.55,26.05,25.43,25.66,18.1679014936,3566600,0.0,1.0
2006-05-15,25.55,25.8,25.25,25.66,18.1679014936,2980600,0.0,1.0
2006-05-16,25.79,26.43,25.77,26.33,18.6422777213,5039800,0.0,1.0
2006-05-17,26.25,26.51,25.77,25.8,18.2670248845,5144600,0.0,1.0
2006-05-18,25.01,25.86,25.01,25.35,17.9484139853,3166800,0.0,1.0
2006-05-19,25.5,25.5,24.99,25.21,17.8492905945,6574600,0.0,1.0
2006-05-22,25.21,25.55,25.1,25.26,17.8846918055,3999000,0.0,1.0
2006-05-23,25.2,25.2,24.82,24.85,17.5944018752,3795600,0.0,1.0
2006-05-24,25.0,25.6,24.92,25.4,17.9838151964,3725400,0.0,1.0
2006-05-25,25.5,26.33,25.5,26.3,18.6210369947,8439500,0.0,1.0
2006-05-26,26.38,26.5,26.04,26.2,18.5502345726,3751000,0.0,1.0
2006-05-30,26.0,26.09,25.5,25.51,18.0616978606,6300800,0.0,1.0
2006-05-31,25.51,25.93,25.47,25.73,18.2174631891,5084700,0.0,1.0
2006-06-01,25.91,26.67,25.7,26.64,18.9892095892,4256500,0.18,1.0
2006-06-02,26.88,26.88,26.3,26.43,18.839519874,2583800,0.0,1.0
2006-06-05,26.43,26.85,26.23,26.56,18.9321849358,5399000,0.0,1.0
2006-06-06,26.56,26.88,26.01,26.28,18.7325986488,2981800,0.0,1.0
2006-06-07,26.45,26.8,26.26,26.68,19.0177219159,7633300,0.0,1.0
2006-06-08,26.76,26.97,26.49,26.55,18.9250568541,7894000,0.0,1.0
2006-06-09,26.35,26.5,25.85,25.91,18.4688596268,3628000,0.0,1.0
2006-06-12,26.24,26.4,25.74,25.75,18.3548103199,3460900,0.0,1.0
2006-06-13,25.8,26.08,25.73,25.79,18.3833226466,4249500,0.0,1.0
2006-06-14,26.05,26.26,25.74,25.83,18.4118349733,3977200,0.0,1.0
2006-06-15,25.82,26.28,25.58,26.27,18.7254705672,2639700,0.0,1.0
2006-06-16,26.17,26.26,25.63,25.99,18.5258842802,3507800,0.0,1.0
2006-06-19,26.05,26.11,25.92,25.96,18.5045000351,3017400,0.0,1.0
2006-06-20,26.04,26.16,25.7885,25.79,18.3833226466,3463500,0.0,1.0
2006-06-21,25.77,26.1,25.72,26.04,18.5615246886,3018300,0.0,1.0
2006-06-22,26.04,26.15,25.83,25.95,18.4973719535,2376700,0.0,1.0
2006-06-23,25.85,26.61,25.82,26.5,18.8894164457,5966600,0.0,1.0
2006-06-26,26.48,26.6,26.34,26.5,18.8894164457,3795100,0.0,1.0
2006-06-27,26.6,26.73,26.27,26.52,18.9036726091,3740300,0.0,1.0
2006-06-28,26.72,26.72,26.34,26.63,18.9820815076,6188200,0.0,1.0
2006-06-29,26.95,26.99,26.73,26.92,19.1887958762,4982900,0.0,1.0
2006-06-30,27.01,27.24,27.01,27.05,19.281460938,5371700,0.0,1.0
2006-07-03,27.05,27.2,27.0,27.11,19.3242294281,1490100,0.0,1.0
2006-07-05,27.05,27.06,26.61,26.74,19.060490406,4392000,0.0,1.0
2006-07-07,26.9,27.41,26.8,27.39,19.5238157151,5297000,0.0,1.0
2006-07-10,27.47,27.63,27.2,27.37,19.5095595517,2992800,0.0,1.0
2006-07-11,27.38,27.52,27.3,27.43,19.5523280418,3370500,0.0,1.0
2006-07-12,27.48,27.64,26.73,27.54,19.6307369402,2541600,0.0,1.0
2006-07-13,27.54,27.6,26.82,26.95,19.2101801212,3961100,0.0,1.0
2006-07-14,26.85,26.86,26.37,26.52,18.9036726091,7256300,0.0,1.0
2006-07-17,26.5,26.73,26.35,26.63,18.9820815076,1811400,0.0,1.0
2006-07-18,26.63,26.83,26.4,26.5,18.8894164457,1559200,0.0,1.0
2006-07-19,26.6,26.9,26.41,26.55,18.9250568541,2862400,0.0,1.0
2006-07-20,26.45,26.58,26.34,26.38,18.8038794656,2488500,0.0,1.0
2006-07-21,26.38,26.52,26.11,26.23,18.6969582404,2872000,0.0,1.0
2006-07-24,26.4,26.63,26.18,26.52,18.9036726091,2019700,0.0,1.0
2006-07-25,26.55,27.0,26.52,26.87,19.1531554678,2629300,0.0,1.0
2006-07-26,26.81,26.92,26.62,26.65,18.9963376709,2081300,0.0,1.0
2006-07-27,26.75,26.95,26.67,26.83,19.1246431411,1588600,0.0,1.0
2006-07-28,26.87,27.27,26.7001,27.25,19.4240225716,1943600,0.0,1.0
2006-07-31,27.25,27.44,27.01,27.43,19.5523280418,2996700,0.0,1.0
2006-08-01,27.25,27.27,26.7,26.83,19.1246431411,3034000,0.0,1.0
2006-08-02,26.83,27.31,26.8,27.15,19.3527417548,1859100,0.0,1.0
2006-08-03,26.75,26.76,25.53,26.36,18.7896233023,9992600,0.0,1.0
2006-08-04,26.36,26.7,25.8,25.8,18.3904507283,6634900,0.0,1.0
2006-08-07,25.98,26.33,25.96,26.15,18.639933587,4763600,0.0,1.0
2006-08-08,26.3,26.42,26.12,26.25,18.7112144038,3682100,0.0,1.0
2006-08-09,26.35,26.41,26.19,26.25,18.7112144038,6035400,0.0,1.0
2006-08-10,26.18,26.56,26.18,26.5,18.8894164457,5248500,0.0,1.0
2006-08-11,26.18,26.58,26.17,26.37,18.7967513839,3136400,0.0,1.0
2006-08-14,26.4,27.35,26.34,27.26,19.4311506532,8282900,0.0,1.0
2006-08-15,27.47,27.68,27.29,27.64,19.702017757,3785500,0.0,1.0
2006-08-16,27.75,27.83,27.43,27.56,19.6449931036,2713100,0.0,1.0
2006-08-17,27.45,27.73,27.3,27.45,19.5665842051,2546600,0.0,1.0
2006-08-18,27.46,27.61,27.26,27.52,19.6164807769,2590700,0.0,1.0
2006-08-21,27.5,27.74,27.47,27.71,19.7519143287,1918000,0.0,1.0
2006-08-22,27.72,28.19,27.6,28.18,20.0869341676,5114000,0.0,1.0
2006-08-23,28.18,28.45,27.91,28.34,20.2009834744,3666200,0.0,1.0
2006-08-24,28.34,28.5,28.21,28.28,20.1582149844,2620000,0.0,1.0
2006-08-25,28.15,28.6,28.03,28.46,20.2865204546,2333200,0.0,1.0
2006-08-28,28.75,29.19,28.59,28.74,20.4861067415,5429900,0.0,1.0
2006-08-29,28.78,29.0,28.59,28.93,20.764101927,4279400,0.2,1.0
2006-08-30,28.92,28.97,28.5,28.81,20.6779736093,2049700,0.0,1.0
2006-08-31,28.81,28.87,28.55,28.55,20.4913622542,2451300,0.0,1.0
2006-09-01,28.82,28.99,28.72,28.86,20.7138604083,2415600,0.0,1.0
2006-09-05,29.0,29.0,28.54,28.6,20.5272490533,3151500,0.0,1.0
2006-09-06,28.32,28.63,28.13,28.3,20.311928259,4308800,0.0,1.0
2006-09-07,28.4,28.61,28.08,28.13,20.1899131423,3242900,0.0,1.0
2006-09-08,28.02,28.49,28.0,28.46,20.4267660159,2641100,0.0,1.0
2006-09-11,28.47,29.3,28.35,29.26,21.0009548007,2747900,0.0,1.0
2006-09-12,29.49,29.78,29.12,29.35,21.0655510389,4097600,0.0,1.0
2006-09-13,29.2,29.36,28.14,28.77,20.64926417,3596400,0.0,1.0
2006-09-14,28.78,28.9,28.4,28.54,20.4841848944,2751400,0.0,1.0
2006-09-15,28.65,28.95,28.37,28.58,20.5128943337,3403300,0.0,1.0
2006-09-18,28.65,28.7,28.48,28.67,20.5774905719,1670600,0.0,1.0
2006-09-19,28.88,29.07,28.48,28.64,20.5559584925,3635800,0.0,1.0
2006-09-20,28.85,28.95,28.47,28.56,20.498539614,3333600,0.0,1.0
2006-09-21,28.56,28.82,28.06,28.25,20.27604146,2575500,0.0,1.0
2006-09-22,28.28,28.42,28.11,28.23,20.2616867403,1764900,0.0,1.0
2006-09-25,28.35,28.76,28.09,28.65,20.5631358523,3125400,0.0,1.0
2006-09-26,28.66,28.78,28.18,28.76,20.6420868102,3241500,0.0,1.0
2006-09-27,28.77,28.8,28.38,28.45,20.4195886561,4310600,0.0,1.0
2006-09-28,28.45,28.57,28.19,28.21,20.2473320207,4102800,0.0,1.0
2006-09-29,28.1,28.5,28.1,28.17,20.2186225815,2775400,0.0,1.0
2006-10-02,28.42,28.54,28.33,28.33,20.3334603384,3314600,0.0,1.0
2006-10-03,28.34,28.72,28.29,28.42,20.3980565767,2526000,0.0,1.0
2006-10-04,28.49,28.63,28.15,28.47,20.4339433758,2557500,0.0,1.0
2006-10-05,28.25,28.69,28.22,28.65,20.5631358523,2997500,0.0,1.0
2006-10-06,28.64,28.74,28.27,28.47,20.4339433758,2516900,0.0,1.0
2006-10-09,28.35,28.58,28.14,28.56,20.498539614,2036700,0.0,1.0
2006-10-10,28.56,28.56,28.23,28.37,20.3621697777,2515800,0.0,1.0
2006-10-11,28.4,28.88,28.4,28.61,20.5344264131,3458600,0.0,1.0
2006-10-12,28.69,28.69,28.26,28.32,20.3262829786,2730900,0.0,1.0
2006-10-13,28.5,28.6,28.12,28.15,20.2042678619,3523500,0.0,1.0
2006-10-16,28.0,28.38,27.67,28.12,20.1827357824,4190700,0.0,1.0
2006-10-17,27.33,28.29,27.33,28.11,20.1755584226,2648400,0.0,1.0
2006-10-18,28.23,28.41,28.07,28.19,20.2329773011,1806400,0.0,1.0
2006-10-19,28.0,28.24,27.97,28.19,20.2329773011,2889200,0.0,1.0
2006-10-20,28.29,28.36,27.84,27.93,20.0463659461,4334100,0.0,1.0
2006-10-23,27.95,28.36,27.85,28.16,20.2114452217,2504800,0.0,1.0
2006-10-24,28.08,28.35,28.0,28.34,20.3406376982,3570000,0.0,1.0
2006-10-25,28.4,28.84,28.33,28.61,20.5344264131,2451700,0.0,1.0
2006-10-26,28.82,29.3,28.71,29.1,20.8861170437,4241500,0.0,1.0
2006-10-27,29.0,29.14,28.73,28.97,20.7928113662,2177000,0.0,1.0
2006-10-30,29.0,29.1,28.81,29.0,20.8143434456,1920700,0.0,1.0
2006-10-31,29.05,29.18,28.8,28.94,20.7712792868,2975900,0.0,1.0
2006-11-01,29.0,29.05,28.58,28.81,20.6779736093,3383100,0.0,1.0
2006-11-02,28.58,28.96,28.48,28.73,20.6205547308,3626900,0.0,1.0
2006-11-03,28.74,28.9,28.39,28.51,20.462652815,2918300,0.0,1.0
2006-11-06,28.76,29.24,28.51,29.15,20.9220038428,4919600,0.0,1.0
2006-11-07,29.09,29.45,28.82,29.4,21.101437838,3809900,0.0,1.0
2006-11-08,29.4,29.72,29.3,29.6,21.2449850342,3323100,0.0,1.0
2006-11-09,29.7,29.88,29.43,29.79,21.3813548705,2245600,0.0,1.0
2006-11-10,29.79,30.07,29.62,29.87,21.438773749,3641600,0.0,1.0
2006-11-13,29.8,30.05,29.67,30.01,21.5392567863,1657900,0.0,1.0
2006-11-14,30.02,30.11,29.5,29.58,21.2306303145,2335000,0.0,1.0
2006-11-15,29.78,29.86,29.56,29.64,21.2736944734,1902700,0.0,1.0
2006-11-16,29.85,30.03,29.607,29.78,21.3741775107,2059600,0.0,1.0
2006-11-17,29.65,29.94,29.55,29.8,21.3885322303,1843600,0.0,1.0
2006-11-20,29.14,30.05,29.14,29.78,21.3741775107,1953600,0.0,1.0
2006-11-21,29.6,29.7,29.42,29.63,21.2665171136,2677900,0.0,1.0
2006-11-22,29.75,30.97,29.75,30.56,21.9340115758,5301900,0.0,1.0
2006-11-24,30.5,30.52,30.29,30.29,21.740222861,849200,0.0,1.0
2006-11-28,29.8405,30.25,29.66,30.05,21.7115134217,5911600,0.2,1.0
2006-11-29,30.05,30.25,29.96,30.03,21.6970631632,4166900,0.0,1.0
2006-11-30,30.03,30.1,29.73,29.75,21.494759544,3377500,0.0,1.0
2006-12-01,29.85,30.04,29.45,29.75,21.494759544,3426100,0.0,1.0
2006-12-04,30.0,30.53,29.98,30.2,21.8198903606,3673300,0.0,1.0
2006-12-05,30.2,31.0,30.15,30.95,22.361775055,3629100,0.0,1.0
2006-12-06,30.98,31.05,30.56,30.72,22.195597082,2194000,0.0,1.0
2006-12-07,30.84,31.0,30.7,30.94,22.3545499257,2331300,0.0,1.0
2006-12-08,30.85,31.01,30.64,30.93,22.3473247965,2395300,0.0,1.0
2006-12-11,30.98,31.33,30.94,31.32,22.6291048376,3193400,0.0,1.0
2006-12-12,31.33,31.45,30.95,31.3,22.614654579,2950100,0.0,1.0
2006-12-13,31.5,31.55,31.07,31.39,22.6796807424,2726700,0.0,1.0
2006-12-14,31.44,31.79,31.29,31.6,22.8314084568,2955200,0.0,1.0
2006-12-15,31.77,32.01,31.25,31.99,23.1131884979,4417700,0.0,1.0
2006-12-18,31.99,32.04,31.77,31.99,23.1131884979,4714300,0.0,1.0
2006-12-19,31.7,31.88,31.62,31.71,22.9108848786,2293700,0.0,1.0
2006-12-20,31.73,32.0,31.59,31.74,22.9325602664,2463400,0.0,1.0
2006-12-21,31.7,31.83,31.47,31.67,22.8819843616,2659800,0.0,1.0
2006-12-22,31.55,31.6,31.18,31.19,22.5351781572,2604700,0.0,1.0
2006-12-26,31.15,31.63,31.15,31.41,22.6941310009,1678500,0.0,1.0
2006-12-27,31.66,31.95,31.49,31.54,22.7880576812,1666700,0.0,1.0
2006-12-28,31.5,31.71,31.48,31.5,22.7591571642,1829800,0.0,1.0
2006-12-29,31.45,31.64,31.07,31.18,22.5279530279,1851200,0.0,1.0
2007-01-03,31.15,31.97,31.1,31.6,22.8314084568,3188900,0.0,1.0
2007-01-04,31.4,31.63,30.83,31.33,22.6363299668,4001000,0.0,1.0
2007-01-05,31.4,31.4,30.77,30.89,22.3184242794,6480300,0.0,1.0
2007-01-08,30.83,31.05,30.57,31.05,22.4340263476,3138400,0.0,1.0
2007-01-09,31.2,31.33,30.74,30.89,22.3184242794,3249500,0.0,1.0
2007-01-10,30.75,31.2,30.71,31.16,22.5135027694,2747200,0.0,1.0
2007-01-11,31.15,31.4,31.09,31.2,22.5424032865,2577900,0.0,1.0
2007-01-12,31.24,31.68,31.22,31.62,22.8458587153,3285600,0.0,1.0
2007-01-16,31.71,31.75,31.21,31.48,22.7447069057,4259100,0.0,1.0
2007-01-17,31.45,31.62,31.34,31.41,22.6941310009,2874400,0.0,1.0
2007-01-18,31.66,31.91,31.4285,31.47,22.7374817764,3616700,0.0,1.0
2007-01-19,31.47,31.53,31.2,31.51,22.7663822935,2144700,0.0,1.0
2007-01-22,31.51,31.64,31.23,31.34,22.6435550961,3429400,0.0,1.0
2007-01-23,31.4,31.68,31.29,31.6,22.8314084568,2625800,0.0,1.0
2007-01-24,31.49,31.55,31.25,31.34,22.6435550961,2323600,0.0,1.0
2007-01-25,31.2,31.36,30.68,30.71,22.1883719528,2751800,0.0,1.0
2007-01-26,31.0,31.12,30.5,30.62,22.1233457895,3793600,0.0,1.0
2007-01-29,30.8,31.01,30.62,30.8,22.2533981161,2094000,0.0,1.0
2007-01-30,30.75,31.05,30.6,31.02,22.4123509598,2132400,0.0,1.0
2007-01-31,31.05,31.35,30.92,31.17,22.5207278987,1978300,0.0,1.0
2007-02-01,31.65,31.65,31.09,31.44,22.7158063887,3031500,0.0,1.0
2007-02-02,31.44,31.6,31.28,31.35,22.6507802253,3389800,0.0,1.0
2007-02-05,31.3,31.61,31.09,31.56,22.8025079398,2078800,0.0,1.0
2007-02-06,31.75,31.76,31.41,31.59,22.8241833275,1763100,0.0,1.0
2007-02-07,31.62,31.83,31.5,31.79,22.9686859127,1957200,0.0,1.0
2007-02-08,31.79,32.11,31.77,32.09,23.1854397905,2520800,0.0,1.0
2007-02-09,32.04,32.22,31.53,31.68,22.8892094909,2256100,0.0,1.0
2007-02-12,31.9,32.0,31.28,31.31,22.6218797083,2147120,0.0,1.0
2007-02-13,31.45,31.93,31.31,31.88,23.033712076,2220041,0.0,1.0
2007-02-14,31.98,32.27,31.95,31.99,23.1131884979,2877554,0.0,1.0
2007-02-15,32.05,32.15,31.74,31.88,23.033712076,2284200,0.0,1.0
2007-02-16,31.75,31.93,31.61,31.81,22.9831361712,2299400,0.0,1.0
2007-02-20,31.87,32.01,31.6,31.95,23.0842879808,1561300,0.0,1.0
2007-02-21,31.876,32.0,31.66,31.7,22.9036597494,4648200,0.0,1.0
2007-02-22,31.75,31.81,31.35,31.55,22.7952828105,2669400,0.0,1.0
2007-02-23,31.52,31.53,31.12,31.32,22.6291048376,2343300,0.0,1.0
2007-02-26,31.32,31.56,31.29,31.4,22.6869058716,2122585,0.0,1.0
2007-02-27,31.7,31.8,28.45,30.24,21.8487908776,7213300,0.0,1.0
2007-02-28,30.6,30.89,30.24,30.37,21.942717558,7972800,0.0,1.0
2007-03-01,30.35,30.35,29.58,29.97,21.6537123877,7036867,0.0,1.0
2007-03-02,29.9,30.0,29.5,29.54,21.3430318295,3820000,0.0,1.0
2007-03-05,29.32,29.73,29.01,29.62,21.5597857073,5192700,0.22,1.0
2007-03-06,29.71,31.05,29.71,30.94,22.5205864208,10011797,0.0,1.0
2007-03-07,30.8,31.08,30.49,30.58,22.2585498626,5314000,0.0,1.0
2007-03-08,30.83,30.95,30.45,30.48,22.1857619297,4469100,0.0,1.0
2007-03-09,30.61,30.88,30.49,30.67,22.3240590021,3071000,0.0,1.0
2007-03-12,30.85,31.33,30.7,31.29,22.7753441857,5663300,0.0,1.0
2007-03-13,31.16,31.21,30.53,30.56,22.243992276,4123800,0.0,1.0
2007-03-14,30.7,30.92,30.233,30.5,22.2003195163,3907400,0.0,1.0
2007-03-15,30.34,30.47,30.01,30.04,21.8654950252,5647052,0.0,1.0
2007-03-16,30.04,30.21,29.86,30.21,21.9892345111,8272175,0.0,1.0
