dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,18.5,18.69,18.44,18.69,2.62674603637,611650,0.0,1.0
1999-11-04,18.75,18.94,18.69,18.75,2.63517860792,525325,0.0,1.0
1999-11-05,18.75,18.88,17.69,17.94,2.53258232078,417350,0.08,1.0
1999-11-08,18.0,18.44,18.0,18.38,2.59469693734,158500,0.0,1.0
1999-11-09,18.5,18.69,18.31,18.5,2.61163728732,232250,0.0,1.0
1999-11-10,19.44,19.69,19.0,19.44,2.74433669543,923550,0.0,1.0
1999-11-11,19.56,20.0,19.44,20.0,2.82339166196,396675,0.0,1.0
1999-11-12,20.0,20.0,19.63,19.75,2.78809926619,71200,0.0,1.0
1999-11-15,19.75,20.13,19.69,20.06,2.83186183695,242625,0.0,1.0
1999-11-16,20.19,20.56,20.19,20.19,2.85021388275,237050,0.0,1.0
1999-11-17,21.0,21.94,21.0,21.75,3.07043843238,806050,0.0,1.0
1999-11-18,21.75,23.0,21.63,22.88,3.22996006128,1000350,0.0,1.0
1999-11-19,22.81,23.31,22.56,23.13,3.26525245706,574875,0.0,1.0
1999-11-22,23.0,23.0,22.75,22.75,3.21160801548,274575,0.0,1.0
1999-11-23,22.81,22.81,20.94,21.38,3.01820568664,566575,0.0,1.0
1999-11-24,21.56,21.56,20.63,20.88,2.94762089509,394150,0.0,1.0
1999-11-26,20.69,20.94,20.63,20.81,2.93773902427,88275,0.0,1.0
1999-11-29,20.88,20.88,19.38,20.44,2.88550627853,418225,0.0,1.0
1999-11-30,20.5,20.75,19.88,20.75,2.92926884929,133450,0.0,1.0
1999-12-01,20.56,20.88,20.06,20.88,2.94762089509,203250,0.0,1.0
1999-12-02,20.88,21.38,20.88,21.06,2.97303142005,96700,0.0,1.0
1999-12-03,21.19,21.22,20.63,20.69,2.9207986743,114200,0.0,1.0
1999-12-06,20.69,20.69,19.94,20.06,2.83186183695,181050,0.0,1.0
1999-12-07,20.06,20.06,19.5,19.88,2.80645131199,260700,0.0,1.0
1999-12-08,19.81,20.25,19.5,20.13,2.84174370777,119900,0.0,1.0
1999-12-09,20.13,20.25,19.38,19.56,2.7612770454,130275,0.0,1.0
1999-12-10,19.69,19.69,19.25,19.31,2.72598464962,269000,0.0,1.0
1999-12-13,19.31,19.81,19.19,19.44,2.74433669543,193075,0.0,1.0
1999-12-14,19.38,19.56,19.0,19.06,2.69069225385,193850,0.0,1.0
1999-12-15,19.63,20.13,19.5,19.81,2.79656944117,265500,0.0,1.0
1999-12-16,19.69,19.75,19.38,19.75,2.78809926619,90125,0.0,1.0
1999-12-17,19.75,20.0,19.5,19.56,2.7612770454,180925,0.0,1.0
1999-12-20,19.75,19.75,19.06,19.19,2.70904429965,198550,0.0,1.0
1999-12-21,19.06,19.44,19.0,19.31,2.72598464962,214625,0.0,1.0
1999-12-22,19.25,19.63,19.25,19.56,2.7612770454,122725,0.0,1.0
1999-12-23,19.63,20.19,19.63,19.88,2.80645131199,116600,0.0,1.0
1999-12-27,20.0,20.0,19.13,19.13,2.70057412467,115300,0.0,1.0
1999-12-28,19.31,20.0,19.31,19.63,2.77115891622,99425,0.0,1.0
1999-12-29,19.75,20.19,19.69,20.13,2.84174370777,217150,0.0,1.0
1999-12-30,20.13,20.13,19.44,19.56,2.7612770454,110050,0.0,1.0
1999-12-31,19.69,19.88,19.44,19.88,2.80645131199,71000,0.0,1.0
2000-01-03,19.88,20.13,18.69,19.13,2.70057412467,241650,0.0,1.0
2000-01-04,19.06,19.06,18.5,18.94,2.67375190388,294050,0.0,1.0
2000-01-05,19.13,19.81,19.0,19.81,2.79656944117,216500,0.0,1.0
2000-01-06,19.63,20.5,19.25,20.25,2.85868405774,316275,0.0,1.0
2000-01-07,20.25,20.31,19.75,20.0,2.82339166196,141125,0.0,1.0
2000-01-10,20.13,20.13,19.25,19.94,2.81492148698,294500,0.0,1.0
2000-01-11,19.63,19.69,19.31,19.63,2.77115891622,228425,0.0,1.0
2000-01-12,19.63,20.13,19.5,19.75,2.78809926619,306975,0.0,1.0
2000-01-13,19.88,20.44,19.75,19.94,2.81492148698,166375,0.0,1.0
2000-01-14,20.13,20.38,20.13,20.13,2.84174370777,211125,0.0,1.0
2000-01-18,20.25,21.38,20.13,21.38,3.01820568664,234000,0.0,1.0
2000-01-19,21.25,21.56,21.19,21.38,3.01820568664,149875,0.0,1.0
2000-01-20,21.5,22.25,21.38,22.19,3.13255304895,190550,0.0,1.0
2000-01-21,22.19,22.88,22.13,22.75,3.21160801548,759225,0.0,1.0
2000-01-24,22.75,22.75,21.25,21.31,3.00832381582,321950,0.0,1.0
