dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-11-16,15.64,16.15,15.34,15.86,15.630374687,26574200,0.0,1.0
2020-11-17,15.39,17.93,15.3,16.34,16.1034251189,60532936,0.0,1.0
2020-11-18,16.46,16.99,15.95,16.19,15.9555968589,31517441,0.0,1.0
2020-11-19,16.0,18.2,15.99,18.11,17.8477985865,35794059,0.0,1.0
2020-11-20,18.4,18.42,17.0,17.13,16.881987288,38015407,0.0,1.0
2020-11-23,17.2355,17.25,16.5,16.77,16.5271994641,20717971,0.0,1.0
2020-11-24,16.735,17.0,16.29,16.9,16.6553172894,22966745,0.0,1.0
2020-11-25,16.68,17.31,16.55,17.07,16.822855984,15353777,0.0,1.0
2020-11-27,17.1,17.37,16.9,17.05,16.8031455494,11024657,0.0,1.0
2020-11-30,17.03,17.16,16.8,16.82,16.5764755508,21166326,0.0,1.0
2020-12-01,16.88,17.15,16.74,17.01,16.76372468,15032761,0.0,1.0
2020-12-02,16.9342,17.27,16.84,17.125,16.8770596793,22173216,0.0,1.0
2020-12-03,17.1358,17.47,16.94,17.37,17.118512504,16848384,0.0,1.0
2020-12-04,17.33,17.7,17.25,17.6,17.3451825026,15946922,0.0,1.0
2020-12-07,17.61,18.0,17.52,17.57,17.3156168506,10008659,0.0,1.0
2020-12-08,17.41,17.93,17.405,17.84,17.5817077185,9303086,0.0,1.0
2020-12-09,17.85,17.975,17.5,17.52,17.2663407639,12701883,0.0,1.0
2020-12-10,17.32,17.85,17.3,17.69,17.4338794585,9422490,0.0,1.0
2020-12-11,17.5,17.75,17.08,17.34,17.088946852,15842674,0.0,1.0
2020-12-14,17.34,17.53,17.08,17.33,17.0790916346,16694055,0.0,1.0
2020-12-15,17.4,17.87,17.2,17.73,17.4733003279,13189112,0.0,1.0
2020-12-16,17.62,18.27,17.56,17.86,17.6014181532,17203789,0.0,1.0
2020-12-17,17.75,17.89,17.55,17.72,17.4634451105,14484983,0.0,1.0
2020-12-18,17.7,17.8,17.515,17.75,17.4930107625,18226276,0.0,1.0
2020-12-21,17.4,17.55,17.25,17.39,17.1382229386,14799820,0.0,1.0
2020-12-22,17.43,17.84,17.27,17.74,17.4831555452,11415468,0.0,1.0
2020-12-23,17.7467,18.04,17.66,17.88,17.6211285878,6303385,0.0,1.0
2020-12-24,17.8,17.92,17.67,17.77,17.5127211972,1946680,0.0,1.0
2020-12-28,17.8561,17.88,17.62,17.74,17.4831555452,4929334,0.0,1.0
2020-12-29,17.6607,17.8,17.52,17.75,17.4930107625,4811911,0.0,1.0
2020-12-30,17.61,18.18,17.58,18.13,17.8675090211,10332307,0.0,1.0
2020-12-31,18.22,18.86,18.03,18.74,18.4686772783,14375983,0.0,1.0
2021-01-04,18.66,18.77,18.21,18.54,18.2715729317,12215605,0.0,1.0
2021-01-05,18.49,18.605,17.81,18.1,17.8379433691,12217787,0.0,1.0
2021-01-06,18.17,18.675,18.1,18.49,18.222296845,8625061,0.0,1.0
2021-01-07,18.52,18.69,18.36,18.52,18.251862497,7195092,0.0,1.0
2021-01-08,18.42,18.6,18.03,18.3,18.0350477157,6893458,0.0,1.0
2021-01-11,18.2,18.66,18.12,18.47,18.2025864104,6961189,0.0,1.0
2021-01-12,18.45,18.67,18.2,18.24,17.9759164118,7677583,0.0,1.0
2021-01-13,18.27,18.71,18.2,18.4,18.1335998891,9185867,0.0,1.0
2021-01-14,18.3373,18.355,16.75,17.31,17.0593812,44993158,0.0,1.0
2021-01-15,17.11,17.2,16.7318,17.05,16.8031455494,19765045,0.0,1.0
2021-01-19,17.26,17.56,17.08,17.44,17.1874990253,10847169,0.0,1.0
2021-01-20,17.45,17.71,17.31,17.69,17.4338794585,9953076,0.0,1.0
2021-01-21,17.36,17.62,16.8,17.31,17.0593812,13895074,0.0,1.0
2021-01-22,17.244,17.52,17.1,17.43,17.1776438079,5726564,0.0,1.0
2021-01-25,17.26,17.4,17.125,17.23,16.9805394613,9460056,0.0,1.0
2021-01-26,17.2,17.36,17.08,17.09,16.8425664187,5968669,0.0,1.0
2021-01-27,17.0,17.17,16.61,16.86,16.6158964201,14517707,0.0,1.0
2021-01-28,16.9,17.445,16.84,17.19,16.941118592,9215227,0.0,1.0
2021-01-29,17.25,17.58,16.9,16.99,16.7440142454,8256088,0.0,1.0
2021-02-01,17.15,17.58,17.03,17.445,17.1924266339,8954928,0.0,1.0
2021-02-02,17.57,17.75,17.36,17.38,17.1283677213,9185721,0.0,1.0
2021-02-03,17.3,18.38,17.3,18.09,17.8280881518,15935468,0.0,1.0
2021-02-04,18.11,18.28,17.71,18.0,17.7393911958,7266619,0.0,1.0
2021-02-05,18.02,18.075,17.64,17.895,17.6359114138,7864581,0.0,1.0
2021-02-08,17.99,18.04,17.715,18.0,17.7393911958,7331816,0.0,1.0
2021-02-09,17.85,18.55,17.84,18.47,18.2025864104,6552614,0.0,1.0
2021-02-10,18.53,18.67,18.21,18.39,18.1237446717,7284584,0.0,1.0
2021-02-11,18.22,18.44,18.07,18.24,17.9759164118,5498144,0.0,1.0
2021-02-12,18.1,18.4,18.03,18.24,17.9759164118,4469254,0.0,1.0
2021-02-16,18.35,18.39,18.09,18.335,18.0695409764,5009322,0.0,1.0
2021-02-17,18.2804,18.545,18.17,18.52,18.251862497,4675977,0.0,1.0
2021-02-18,18.61,18.68,18.25,18.27,18.0054820637,6811975,0.0,1.0
2021-02-19,18.22,18.48,18.16,18.21,17.9463507598,10868936,0.0,1.0
2021-02-22,16.547,16.8,15.49,15.5,15.2755868631,39258346,0.0,1.0
2021-02-23,15.74,15.77,14.93,15.22,14.9996407778,21414370,0.0,1.0
2021-02-24,15.33,15.47,14.94,15.3,15.0784825164,15465558,0.0,1.0
2021-02-25,15.29,15.38,14.855,15.05,14.8321020832,16256947,0.0,1.0
2021-02-26,14.93,15.0,14.56,14.85,14.6349977365,15691014,0.0,1.0
2021-03-01,15.049,15.3,14.615,14.72,14.5068799112,11913861,0.0,1.0
2021-03-02,14.55,14.7,14.135,14.29,14.083105566,16236590,0.0,1.0
2021-03-03,14.17,14.24,13.5308,13.88,13.6790416554,24164102,0.0,1.0
2021-03-04,13.6707,13.8,13.31,13.59,13.3932403528,18720691,0.0,1.0
2021-03-05,13.69,13.99,13.36,13.91,13.7086073074,13295277,0.0,1.0
2021-03-08,13.76,14.05,13.68,13.83,13.6297655688,11899589,0.0,1.0
2021-03-09,13.93,14.215,13.71,13.91,13.7086073074,10908802,0.0,1.0
2021-03-10,14.05,14.23,13.83,14.06,13.8564355674,8696611,0.0,1.0
2021-03-11,14.13,14.22,13.92,14.1,13.8958564367,8355305,0.0,1.0
2021-03-12,14.07,14.385,13.9882,14.36,14.1520920873,7784448,0.0,1.0
2021-03-15,14.27,14.685,14.23,14.67,14.4576038246,9915013,0.0,1.0
2021-03-16,14.67,14.73,14.4435,14.53,14.319630782,10558616,0.0,1.0
2021-03-17,14.43,15.1,14.42,15.08,14.8616677352,10784529,0.0,1.0
2021-03-18,14.97,15.03,14.5,14.59,14.3787620859,9877532,0.0,1.0
2021-03-19,14.66,14.88,14.5273,14.78,14.5660112152,11373733,0.0,1.0
2021-03-22,14.91,14.935,14.6301,14.79,14.5758664326,7738991,0.0,1.0
2021-03-23,14.75,14.75,14.115,14.17,13.964842958,8881196,0.0,1.0
2021-03-24,14.15,14.22,13.9413,14.01,13.8071594807,9597144,0.0,1.0
2021-03-25,14.15,14.15,13.9232,14.02,13.8170146981,10229296,0.0,1.0
