dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,18.5,18.69,18.5,18.62,8.69920765329,2000,0.0,1.0
1999-11-02,18.69,19.44,18.38,18.38,8.58708037957,40600,0.0,1.0
1999-11-03,18.56,18.62,17.88,18.19,8.49831295453,47700,0.0,1.0
1999-11-04,18.12,18.12,16.81,17.0,7.94234855564,37800,0.0,1.0
1999-11-05,17.0,17.0,16.69,16.75,7.82554931217,225400,0.0,1.0
1999-11-08,16.75,17.19,16.69,17.19,8.03111598067,21100,0.0,1.0
1999-11-09,17.25,17.62,17.06,17.19,8.03111598067,14900,0.0,1.0
1999-11-10,17.38,17.69,17.06,17.44,8.14791522414,14300,0.0,1.0
1999-11-11,17.44,17.44,17.06,17.25,8.0591477991,15200,0.0,1.0
1999-11-12,17.25,17.25,16.81,17.06,7.97038037407,69800,0.0,1.0
1999-11-15,17.12,17.38,16.75,17.38,8.12455537544,56100,0.01,1.0
1999-11-16,17.38,17.69,17.06,17.31,8.09183277036,16000,0.0,1.0
1999-11-17,17.56,17.56,17.0,17.25,8.06378482315,84400,0.0,1.0
1999-11-18,17.25,17.44,17.19,17.44,8.15260332265,20200,0.0,1.0
1999-11-19,17.44,18.0,17.25,17.69,8.26946976937,29600,0.0,1.0
1999-11-22,17.69,17.69,17.19,17.56,8.20869921708,66000,0.0,1.0
1999-11-23,17.69,17.69,16.88,17.12,8.00301427086,104800,0.0,1.0
1999-11-24,17.12,17.5,17.06,17.44,8.15260332265,79200,0.0,1.0
1999-11-26,17.44,18.12,17.25,18.0,8.41438416329,39600,0.0,1.0
1999-11-29,17.88,19.38,17.69,19.38,9.05948694914,66000,0.0,1.0
1999-11-30,19.12,19.12,18.12,18.12,8.47048005771,87100,0.0,1.0
1999-12-01,17.94,18.25,17.19,18.06,8.4424321105,71200,0.0,1.0
1999-12-02,17.88,18.12,17.19,17.62,8.23674716429,95400,0.0,1.0
1999-12-03,17.44,17.81,17.38,17.56,8.20869921708,115100,0.0,1.0
1999-12-06,17.38,17.62,17.12,17.62,8.23674716429,151300,0.0,1.0
1999-12-07,17.62,17.75,17.31,17.44,8.15260332265,278000,0.0,1.0
1999-12-08,17.31,17.62,17.25,17.62,8.23674716429,131400,0.0,1.0
1999-12-09,17.62,18.38,16.88,17.0,7.94691837644,268300,0.0,1.0
1999-12-10,17.0,17.44,16.88,17.25,8.06378482315,86000,0.0,1.0
1999-12-13,17.25,17.56,17.25,17.44,8.15260332265,112600,0.0,1.0
1999-12-14,17.56,17.62,16.69,16.69,7.80200398252,136200,0.0,1.0
1999-12-15,16.81,16.94,16.5,16.5,7.71318548302,216400,0.0,1.0
1999-12-16,16.5,16.88,16.19,16.62,7.76928137744,130500,0.0,1.0
1999-12-17,16.5,18.38,16.44,18.38,8.59202116229,117600,0.0,1.0
1999-12-20,18.12,18.12,17.12,17.19,8.03573687594,69200,0.0,1.0
1999-12-21,16.81,17.38,16.75,17.25,8.06378482315,122900,0.0,1.0
1999-12-22,17.0,17.06,16.62,16.62,7.76928137744,51600,0.0,1.0
1999-12-23,16.69,17.0,16.69,16.75,7.83005192973,65100,0.0,1.0
1999-12-27,16.94,16.94,16.69,16.88,7.89082248202,121800,0.0,1.0
1999-12-28,17.0,17.0,16.75,16.81,7.85809987694,66200,0.0,1.0
1999-12-29,16.81,16.88,16.56,16.69,7.80200398252,112900,0.0,1.0
1999-12-30,16.81,16.88,16.69,16.69,7.80200398252,67600,0.0,1.0
1999-12-31,16.81,17.75,16.81,17.75,8.29751771658,32100,0.0,1.0
2000-01-03,17.56,17.56,16.69,17.19,8.03573687594,90700,0.0,1.0
2000-01-04,17.0,17.0,16.62,16.94,7.91887042923,96700,0.0,1.0
2000-01-05,16.75,16.88,16.5,16.88,7.89082248202,152400,0.0,1.0
2000-01-06,16.81,16.81,15.88,16.19,7.56827108909,99500,0.0,1.0
2000-01-07,16.19,16.19,15.5,15.56,7.27376764338,115700,0.0,1.0
2000-01-10,15.88,16.0,15.25,15.75,7.36258614288,168500,0.0,1.0
2000-01-11,15.62,15.62,15.06,15.31,7.15690119666,159000,0.0,1.0
2000-01-12,15.31,15.31,14.38,14.5,6.77825390932,109800,0.0,1.0
2000-01-13,14.62,14.69,14.5,14.62,6.83434980374,47800,0.0,1.0
2000-01-14,14.88,14.88,13.5,13.81,6.45570251639,377500,0.0,1.0
2000-01-18,13.69,13.75,13.38,13.75,6.42765456918,215900,0.0,1.0
2000-01-19,13.75,14.19,13.75,14.0,6.54452101589,130900,0.0,1.0
2000-01-20,14.06,14.56,13.88,14.0,6.54452101589,262900,0.0,1.0
2000-01-21,13.81,14.0,13.75,13.81,6.45570251639,383800,0.0,1.0
2000-01-24,13.88,14.0,13.5,13.56,6.33883606968,129100,0.0,1.0
2000-01-25,13.38,13.38,12.12,12.44,5.81527438841,327000,0.0,1.0
2000-01-26,12.38,12.38,11.56,11.75,5.49272299548,260600,0.0,1.0
2000-01-27,11.75,11.94,11.56,11.56,5.40390449598,136200,0.0,1.0
2000-01-28,11.56,11.62,11.25,11.31,5.28703804927,49200,0.0,1.0
2000-01-31,11.19,11.38,11.06,11.12,5.19821954977,151700,0.0,1.0
2000-02-01,11.25,11.31,10.88,11.12,5.19821954977,145100,0.0,1.0
2000-02-02,11.31,11.56,11.25,11.44,5.34780860156,91300,0.0,1.0
2000-02-03,11.44,11.62,11.44,11.5,5.37585654877,98100,0.0,1.0
2000-02-04,11.56,11.69,11.5,11.56,5.40390449598,205700,0.0,1.0
2000-02-07,11.62,12.12,11.5,11.75,5.49272299548,61500,0.0,1.0
2000-02-08,12.06,12.06,11.56,11.62,5.43195244319,85400,0.0,1.0
2000-02-09,11.75,12.19,11.5,11.88,5.55349354777,138100,0.0,1.0
2000-02-10,12.0,12.75,11.88,12.62,5.89941823004,65200,0.0,1.0
2000-02-11,12.5,13.06,12.19,12.88,6.02563399249,69200,0.01,1.0
2000-02-14,12.88,12.88,12.12,12.44,5.81978935299,97000,0.0,1.0
2000-02-15,12.0,12.06,11.56,11.56,5.408100074,115700,0.0,1.0
2000-02-16,11.69,11.75,11.12,11.38,5.3238909033,188400,0.0,1.0
2000-02-17,11.5,12.12,11.31,11.5,5.38003035044,148400,0.0,1.0
2000-02-18,11.5,11.56,11.25,11.25,5.26307316891,184000,0.0,1.0
2000-02-22,11.19,11.25,11.12,11.19,5.23500344534,64800,0.0,1.0
2000-02-23,11.31,11.38,10.81,10.94,5.11804626381,84100,0.0,1.0
2000-02-24,10.88,10.94,10.5,10.5,4.91220162431,123900,0.0,1.0
2000-02-25,10.44,10.44,9.0,9.5,4.44437289819,553400,0.0,1.0
2000-02-28,9.5,9.69,9.19,9.31,4.35548544022,327600,0.0,1.0
2000-02-29,9.44,9.5,9.31,9.5,4.44437289819,303600,0.0,1.0
2000-03-01,9.62,9.94,9.62,9.75,4.56133007972,203100,0.0,1.0
2000-03-02,9.88,9.88,9.62,9.75,4.56133007972,153900,0.0,1.0
2000-03-03,9.69,9.75,9.56,9.62,4.50051234532,114900,0.0,1.0
2000-03-06,9.5,9.5,8.75,8.81,4.12157107716,282500,0.0,1.0
2000-03-07,8.81,8.88,8.44,8.88,4.15431908799,441700,0.0,1.0
2000-03-08,8.75,9.06,8.69,8.88,4.15431908799,269000,0.0,1.0
2000-03-09,8.88,9.25,8.88,9.25,4.32741571666,551600,0.0,1.0
2000-03-10,9.0,9.25,9.0,9.12,4.26659798226,198900,0.0,1.0
2000-03-13,9.0,9.62,9.0,9.31,4.35548544022,118500,0.0,1.0
2000-03-14,9.69,10.5,9.56,9.94,4.65021753768,250500,0.0,1.0
2000-03-15,10.38,11.06,10.31,10.94,5.11804626381,225200,0.0,1.0
2000-03-16,10.94,11.5,10.69,11.5,5.38003035044,98300,0.0,1.0
2000-03-17,11.25,11.5,10.94,11.0,5.14611598737,56400,0.0,1.0
2000-03-20,11.0,11.0,10.56,10.69,5.00108908228,48900,0.0,1.0
2000-03-21,10.81,10.81,10.25,10.5,4.91220162431,81100,0.0,1.0
2000-03-22,10.31,12.0,10.06,10.5,4.91220162431,341300,0.0,1.0
2000-03-23,10.5,10.62,10.19,10.19,4.76717471921,250000,0.0,1.0
2000-03-24,10.25,10.62,10.19,10.31,4.82331416635,183600,0.0,1.0
2000-03-27,10.31,10.5,10.25,10.38,4.85606217718,55000,0.0,1.0
2000-03-28,10.38,10.5,10.25,10.25,4.79524444278,72000,0.0,1.0
2000-03-29,10.25,10.56,10.25,10.31,4.82331416635,46400,0.0,1.0
2000-03-30,10.44,10.88,10.31,10.62,4.96834107145,75100,0.0,1.0
2000-03-31,10.75,11.69,10.56,10.62,4.96834107145,187200,0.0,1.0
2000-04-03,10.56,11.38,10.56,11.25,5.26307316891,73900,0.0,1.0
2000-04-04,11.12,11.12,10.75,10.88,5.08997654024,97600,0.0,1.0
2000-04-05,10.94,10.94,10.75,10.94,5.11804626381,65800,0.0,1.0
2000-04-06,11.0,11.56,11.0,11.0,5.14611598737,42400,0.0,1.0
2000-04-07,11.44,11.44,11.25,11.31,5.29114289247,77700,0.0,1.0
2000-04-10,11.19,11.19,10.62,10.62,4.96834107145,164000,0.0,1.0
2000-04-11,10.62,10.88,10.62,10.81,5.05722852941,117900,0.0,1.0
2000-04-12,10.81,11.75,10.69,11.44,5.35196062687,140100,0.0,1.0
2000-04-13,11.19,11.38,11.0,11.06,5.17418571094,89400,0.0,1.0
2000-04-14,11.0,11.31,10.81,11.19,5.23500344534,135400,0.0,1.0
2000-04-17,11.06,11.56,10.88,11.56,5.408100074,64100,0.0,1.0
2000-04-18,11.5,12.25,11.5,12.25,5.73090189503,88500,0.0,1.0
2000-04-19,12.19,12.19,11.75,12.0,5.6139447135,200900,0.0,1.0
2000-04-20,12.0,12.0,10.62,10.69,5.00108908228,175400,0.0,1.0
2000-04-24,10.62,11.06,10.12,10.88,5.08997654024,157300,0.0,1.0
2000-04-25,11.12,11.62,11.12,11.56,5.408100074,109300,0.0,1.0
2000-04-26,11.44,11.44,11.12,11.31,5.29114289247,24600,0.0,1.0
2000-04-27,10.62,10.94,10.62,10.94,5.11804626381,132700,0.0,1.0
2000-04-28,10.75,11.31,10.62,11.31,5.29114289247,132900,0.0,1.0
2000-05-01,11.19,11.88,11.19,11.88,5.55780526636,37000,0.0,1.0
2000-05-02,11.75,11.88,11.62,11.69,5.4689178084,85400,0.0,1.0
2000-05-03,11.69,11.88,11.69,11.88,5.55780526636,37900,0.0,1.0
2000-05-04,11.88,12.5,11.88,12.5,5.84785907656,73700,0.0,1.0
2000-05-05,12.56,12.75,12.5,12.56,5.87592880013,26600,0.0,1.0
2000-05-08,12.44,12.44,11.75,12.0,5.6139447135,68900,0.0,1.0
2000-05-09,11.88,12.12,11.25,12.0,5.6139447135,51600,0.0,1.0
2000-05-10,11.88,12.12,11.69,12.06,5.64201443707,86700,0.0,1.0
2000-05-11,12.0,12.62,11.94,12.12,5.6747624479,78300,0.01,1.0
2000-05-12,12.12,12.19,11.62,11.62,5.44065508618,64700,0.0,1.0
2000-05-15,11.62,12.0,11.25,12.0,5.61857668108,108600,0.0,1.0
2000-05-16,12.0,12.38,11.88,11.94,5.59048379768,28300,0.0,1.0
2000-05-17,11.94,12.0,11.0,11.0,5.15036195766,70700,0.0,1.0
2000-05-18,11.12,11.31,11.0,11.12,5.20654772447,61000,0.0,1.0
2000-05-19,11.0,11.25,11.0,11.25,5.26741563852,18300,0.0,1.0
2000-05-22,11.19,11.25,10.94,11.06,5.17845484107,64100,0.0,1.0
2000-05-23,11.06,11.19,10.94,10.94,5.12226907426,46900,0.0,1.0
2000-05-24,10.94,11.19,10.94,11.12,5.20654772447,55900,0.0,1.0
2000-05-25,11.12,11.12,11.0,11.0,5.15036195766,36700,0.0,1.0
2000-05-26,11.0,11.19,11.0,11.19,5.23932275511,71100,0.0,1.0
2000-05-30,11.31,11.31,11.06,11.19,5.23932275511,36600,0.0,1.0
2000-05-31,11.06,11.25,11.06,11.08,5.18781913553,47600,0.0,1.0
2000-06-01,11.38,11.44,11.27,11.27,5.27677993299,22300,0.0,1.0
2000-06-02,11.5,11.5,11.36,11.44,5.35637643597,82600,0.0,1.0
2000-06-05,11.38,11.44,11.25,11.28,5.28146208022,262000,0.0,1.0
2000-06-06,11.19,11.38,11.19,11.25,5.26741563852,78900,0.0,1.0
2000-06-07,11.12,11.38,11.12,11.38,5.32828355256,28100,0.0,1.0
2000-06-08,11.38,11.38,11.06,11.25,5.26741563852,47600,0.0,1.0
2000-06-09,11.31,11.62,11.31,11.56,5.41256220278,58700,0.0,1.0
2000-06-12,11.5,11.56,11.42,11.5,5.38446931937,43800,0.0,1.0
2000-06-13,11.5,11.56,11.44,11.44,5.35637643597,51600,0.0,1.0
2000-06-14,11.38,11.56,10.94,11.0,5.15036195766,55800,0.0,1.0
2000-06-15,11.0,11.12,10.75,10.88,5.09417619085,41800,0.0,1.0
2000-06-16,11.0,11.25,10.88,10.94,5.12226907426,81500,0.0,1.0
2000-06-19,10.94,11.0,10.75,10.94,5.12226907426,44200,0.0,1.0
2000-06-20,10.94,10.94,10.5,10.5,4.91625459595,34100,0.0,1.0
2000-06-21,10.5,10.69,10.38,10.44,4.88816171254,29700,0.0,1.0
2000-06-22,10.44,10.56,10.38,10.56,4.94434747935,43900,0.0,1.0
2000-06-23,10.44,10.5,9.75,9.88,4.62596146743,130300,0.0,1.0
2000-06-26,9.94,10.0,9.75,9.75,4.56509355338,47700,0.0,1.0
2000-06-27,9.69,10.06,9.69,9.75,4.56509355338,57400,0.0,1.0
2000-06-28,9.56,9.69,9.5,9.56,4.47613275593,58700,0.0,1.0
2000-06-29,9.5,9.56,9.44,9.5,4.44803987253,76700,0.0,1.0
2000-06-30,9.44,10.38,9.25,10.38,4.86006882914,190400,0.0,1.0
2000-07-03,10.25,10.25,10.03,10.12,4.73833300105,20700,0.0,1.0
2000-07-05,10.25,10.31,9.88,9.88,4.62596146743,29800,0.0,1.0
2000-07-06,9.88,10.0,9.69,10.0,4.68214723424,27400,0.0,1.0
2000-07-07,10.0,10.12,9.91,10.12,4.73833300105,28500,0.0,1.0
2000-07-10,10.0,10.06,10.0,10.06,4.71024011764,45300,0.0,1.0
2000-07-11,10.06,10.19,10.0,10.0,4.68214723424,26300,0.0,1.0
2000-07-12,10.0,10.69,10.0,10.69,5.0052153934,77100,0.0,1.0
2000-07-13,10.62,10.88,10.62,10.81,5.06140116021,26500,0.0,1.0
2000-07-14,10.94,10.94,10.19,10.44,4.88816171254,82500,0.0,1.0
2000-07-17,10.44,10.56,10.38,10.44,4.88816171254,23100,0.0,1.0
2000-07-18,10.31,10.69,10.31,10.69,5.0052153934,35300,0.0,1.0
2000-07-19,10.56,10.62,10.31,10.5,4.91625459595,14500,0.0,1.0
2000-07-20,9.88,10.06,9.88,9.94,4.65405435083,21300,0.0,1.0
2000-07-21,9.94,10.12,9.75,10.12,4.73833300105,39800,0.0,1.0
2000-07-24,10.19,10.19,9.56,9.56,4.47613275593,165700,0.0,1.0
