dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,22.81,22.81,22.5,22.69,5.53894083919,117400,0.0,1.0
1999-11-04,22.63,22.75,22.44,22.56,5.50720605254,237700,0.0,1.0
1999-11-05,22.56,22.81,22.5,22.69,5.53894083919,205900,0.0,1.0
1999-11-08,22.56,22.69,22.13,22.19,5.41688396746,2450700,0.0,1.0
1999-11-09,22.0,22.06,21.63,21.69,5.39003145567,611000,0.39,1.0
1999-11-10,21.63,21.69,21.19,21.38,5.31299550587,241300,0.0,1.0
1999-11-11,21.38,21.38,21.06,21.13,5.2508697399,194300,0.0,1.0
1999-11-12,21.31,21.31,21.13,21.25,5.28069010756,162600,0.0,1.0
1999-11-15,21.13,21.25,20.75,21.0,5.21856434159,387400,0.0,1.0
1999-11-16,21.0,21.0,20.56,20.81,5.17134875946,362400,0.0,1.0
1999-11-17,20.75,20.75,20.5,20.56,5.10922299348,235500,0.0,1.0
1999-11-18,20.69,20.94,20.44,20.44,5.07940262582,354800,0.0,1.0
1999-11-19,20.5,20.81,20.38,20.44,5.07940262582,428900,0.0,1.0
1999-11-22,20.44,20.44,20.06,20.13,5.00236667601,304700,0.0,1.0
1999-11-23,20.25,20.25,19.75,19.81,4.92284569557,488200,0.0,1.0
1999-11-24,20.06,20.19,19.88,19.94,4.95515109388,303400,0.0,1.0
1999-11-26,20.0,20.13,20.0,20.0,4.97006127771,123700,0.0,1.0
1999-11-29,20.0,20.0,19.13,19.31,4.79859416363,557100,0.0,1.0
1999-11-30,19.44,19.94,19.31,19.88,4.94024091004,601700,0.0,1.0
1999-12-01,19.94,19.94,19.56,19.81,4.92284569557,388100,0.0,1.0
1999-12-02,19.88,20.0,19.63,19.94,4.95515109388,311500,0.0,1.0
1999-12-03,19.63,20.06,19.63,19.88,4.94024091004,262300,0.0,1.0
1999-12-06,19.88,19.94,19.5,19.88,4.94024091004,316900,0.0,1.0
1999-12-07,19.69,19.94,19.63,19.81,4.92284569557,298000,0.0,1.0
1999-12-08,19.75,19.81,19.5,19.75,4.90793551174,439800,0.0,1.0
1999-12-09,19.69,19.75,19.13,19.5,4.84580974577,369800,0.0,1.0
1999-12-10,19.56,19.63,19.13,19.25,4.78368397979,308600,0.0,1.0
1999-12-13,19.19,19.31,19.06,19.31,4.79859416363,440900,0.0,1.0
1999-12-14,19.31,19.5,19.25,19.38,4.8159893781,361800,0.0,1.0
1999-12-15,19.5,19.69,19.25,19.63,4.87811514407,338100,0.0,1.0
1999-12-16,19.63,19.75,19.5,19.63,4.87811514407,313600,0.0,1.0
1999-12-17,19.62,19.75,19.44,19.62,4.87563011343,682100,0.0,1.0
1999-12-20,19.69,19.75,19.06,19.38,4.8159893781,328400,0.0,1.0
1999-12-21,19.63,19.81,19.38,19.81,4.92284569557,333000,0.0,1.0
1999-12-22,19.69,19.75,19.56,19.75,4.90793551174,292300,0.0,1.0
1999-12-23,19.75,20.0,19.75,19.94,4.95515109388,311400,0.0,1.0
1999-12-27,19.94,20.0,19.56,19.56,4.8607199296,249500,0.0,1.0
1999-12-28,19.75,19.81,19.5,19.75,4.90793551174,228800,0.0,1.0
1999-12-29,19.63,19.69,19.38,19.63,4.87811514407,200000,0.0,1.0
1999-12-30,19.56,19.69,19.31,19.38,4.8159893781,305500,0.0,1.0
1999-12-31,19.19,19.44,19.13,19.25,4.78368397979,153700,0.0,1.0
2000-01-03,19.5,19.5,19.06,19.06,4.73646839766,296400,0.0,1.0
2000-01-04,19.0,19.25,18.94,19.19,4.76877379596,267900,0.0,1.0
2000-01-05,19.25,20.25,19.19,20.13,5.00236667601,354200,0.0,1.0
2000-01-06,20.31,20.31,19.88,20.0,4.97006127771,340200,0.0,1.0
2000-01-07,20.06,20.31,20.0,20.25,5.03218704368,188100,0.0,1.0
2000-01-10,20.5,20.5,20.13,20.25,5.03218704368,455700,0.0,1.0
2000-01-11,20.38,20.38,20.0,20.0,4.97006127771,475300,0.0,1.0
2000-01-12,20.13,20.44,20.13,20.38,5.06449244198,314200,0.0,1.0
2000-01-13,20.5,20.5,20.13,20.19,5.01727685985,242600,0.0,1.0
2000-01-14,20.31,20.31,19.88,19.88,4.94024091004,314400,0.0,1.0
2000-01-18,19.88,19.94,19.31,19.5,4.84580974577,302600,0.0,1.0
2000-01-19,19.63,20.0,19.5,20.0,4.97006127771,191000,0.0,1.0
2000-01-20,19.88,20.0,19.75,19.88,4.94024091004,237600,0.0,1.0
2000-01-21,19.94,20.44,19.88,20.31,5.04709722751,310400,0.0,1.0
2000-01-24,20.38,20.63,20.31,20.31,5.04709722751,440400,0.0,1.0
2000-01-25,20.31,20.44,20.06,20.19,5.01727685985,376200,0.0,1.0
2000-01-26,20.13,20.31,20.06,20.13,5.00236667601,234300,0.0,1.0
2000-01-27,20.19,20.25,19.81,20.0,4.97006127771,283300,0.0,1.0
2000-01-28,20.25,20.25,19.56,19.81,4.92284569557,426100,0.0,1.0
2000-01-31,19.88,19.94,19.75,19.75,4.90793551174,393400,0.0,1.0
2000-02-01,19.88,20.0,19.69,19.88,4.94024091004,233700,0.0,1.0
2000-02-02,20.13,20.31,20.0,20.19,5.01727685985,250600,0.0,1.0
2000-02-03,20.25,21.19,20.19,20.94,5.20365415776,397900,0.0,1.0
