dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,70.25,71.94,70.13,71.06,40.3332754529,480200,0.0,1.0
1999-11-02,71.13,73.56,71.0,71.56,40.6170727752,519100,0.0,1.0
1999-11-03,70.06,70.13,67.81,68.06,38.6304915188,1083700,0.0,1.0
1999-11-04,68.38,69.44,67.63,68.5,38.8802331624,386200,0.0,1.0
1999-11-05,70.0,70.38,69.5,70.0,39.7316251295,668700,0.0,1.0
1999-11-08,69.88,69.94,68.56,68.94,39.1299748061,383000,0.0,1.0
1999-11-09,69.63,70.44,69.13,70.38,39.9473110945,312800,0.0,1.0
1999-11-10,70.13,70.38,68.63,68.69,38.9880761449,251000,0.0,1.0
1999-11-11,68.44,68.94,67.75,67.94,38.5623801614,348100,0.0,1.0
1999-11-12,68.19,68.63,66.69,67.88,38.5283244827,265700,0.0,1.0
1999-11-15,67.13,67.38,66.13,66.94,37.9947855167,504100,0.0,1.0
1999-11-16,67.19,68.94,66.88,67.38,38.2445271604,232400,0.0,1.0
1999-11-17,66.75,67.13,64.88,65.44,37.1433935496,358000,0.0,1.0
1999-11-18,65.69,67.25,65.63,66.81,37.9209982129,586300,0.0,1.0
1999-11-19,67.06,67.06,64.5,65.0,36.893651906,449900,0.0,1.0
1999-11-22,65.0,65.88,64.31,64.38,36.5417432262,311500,0.0,1.0
1999-11-23,64.25,64.25,63.25,63.5,36.0422599389,262800,0.0,1.0
1999-11-24,63.5,63.5,62.38,62.63,35.548452598,225900,0.0,1.0
1999-11-26,62.63,63.56,62.56,63.31,35.9344169564,165000,0.0,1.0
1999-11-29,62.69,64.56,62.38,63.44,36.2011864394,213500,0.34,1.0
1999-11-30,63.19,63.25,61.0,61.0,34.8088331148,283800,0.0,1.0
1999-12-01,61.44,62.69,60.88,61.13,34.8830158739,358900,0.0,1.0
1999-12-02,61.31,62.81,61.31,62.19,35.4878906789,230300,0.0,1.0
1999-12-03,62.75,63.88,61.63,61.81,35.2710487677,243400,0.0,1.0
1999-12-06,61.81,62.25,61.31,61.88,35.3109933302,409800,0.0,1.0
1999-12-07,61.88,62.94,61.56,61.63,35.1683341781,256900,0.0,1.0
1999-12-08,61.44,61.94,59.81,60.19,34.346617462,461100,0.0,1.0
1999-12-09,60.25,62.81,60.25,61.19,34.9172540704,328300,0.0,1.0
1999-12-10,61.19,61.63,58.88,59.44,33.9186400057,339400,0.0,1.0
1999-12-13,59.44,59.44,56.88,57.94,33.062685093,418800,0.0,1.0
1999-12-14,57.94,60.63,56.75,59.88,34.1697201134,557800,0.0,1.0
1999-12-15,60.0,61.44,60.0,61.19,34.9172540704,488800,0.0,1.0
1999-12-16,61.25,61.44,60.75,61.31,34.9857304634,369700,0.0,1.0
1999-12-17,61.38,63.25,61.38,61.94,35.3452315268,530000,0.0,1.0
1999-12-20,62.0,62.94,61.75,62.13,35.4536524824,316400,0.0,1.0
1999-12-21,62.25,64.0,62.25,63.44,36.2011864394,311500,0.0,1.0
1999-12-22,63.19,63.25,61.44,62.81,35.8416853761,210700,0.0,1.0
1999-12-23,63.0,63.81,62.56,62.94,35.9158681352,156700,0.0,1.0
1999-12-27,62.94,63.88,62.56,63.31,36.1270036803,166300,0.0,1.0
1999-12-28,63.31,63.63,62.81,62.81,35.8416853761,194600,0.0,1.0
1999-12-29,63.56,64.44,63.56,63.75,36.378083788,157300,0.0,1.0
1999-12-30,63.63,65.81,63.5,64.94,37.0571413521,126000,0.0,1.0
1999-12-31,64.69,65.38,64.06,65.06,37.1256177451,136600,0.0,1.0
2000-01-03,64.31,64.44,61.69,61.81,35.2710487677,294400,0.0,1.0
2000-01-04,61.56,62.19,58.94,59.44,33.9186400057,472600,0.0,1.0
2000-01-05,59.44,60.5,59.31,59.94,34.2039583099,419500,0.0,1.0
2000-01-06,60.19,61.63,59.69,60.81,34.7004121592,266600,0.0,1.0
2000-01-07,60.94,61.56,60.38,61.0,34.8088331148,298400,0.0,1.0
2000-01-10,61.25,62.69,61.13,61.75,35.2368105712,212700,0.0,1.0
2000-01-11,62.0,64.56,62.0,64.0,36.5207429401,309500,0.0,1.0
2000-01-12,63.75,63.81,61.75,61.75,35.2368105712,357100,0.0,1.0
2000-01-13,62.0,62.25,61.25,61.44,35.0599132225,174500,0.0,1.0
2000-01-14,61.5,62.19,61.13,61.19,34.9172540704,239500,0.0,1.0
2000-01-18,60.0,60.31,59.25,59.31,33.8444572466,233500,0.0,1.0
2000-01-19,61.5,63.19,59.63,59.63,34.0270609613,548000,0.0,1.0
2000-01-20,59.88,60.56,59.13,59.5,33.9528782022,471900,0.0,1.0
2000-01-21,56.0,58.0,52.25,57.5,32.8116049853,2453200,0.0,1.0
2000-01-24,57.75,59.94,57.38,57.94,33.062685093,894400,0.0,1.0
2000-01-25,57.94,58.38,51.75,53.63,30.6032413106,1122600,0.0,1.0
2000-01-26,55.06,59.94,55.0,59.88,34.1697201134,920900,0.0,1.0
2000-01-27,59.63,60.25,56.44,56.69,32.3493893324,895100,0.0,1.0
2000-01-28,55.38,58.56,55.38,56.75,32.383627529,375500,0.0,1.0
2000-01-31,56.5,58.75,56.25,58.25,33.2395824416,391500,0.0,1.0
2000-02-01,58.25,60.44,58.25,59.69,34.0612991578,531500,0.0,1.0
2000-02-02,59.44,59.5,57.56,57.63,32.8857877444,468300,0.0,1.0
2000-02-03,57.56,58.25,57.06,57.56,32.8458431818,355000,0.0,1.0
2000-02-04,57.81,57.81,56.31,56.38,32.1724919838,300100,0.0,1.0
2000-02-07,56.38,57.25,55.0,55.56,31.7045699649,495300,0.0,1.0
2000-02-08,55.81,56.19,54.38,54.38,31.031218767,372300,0.0,1.0
2000-02-09,55.06,55.38,54.69,54.94,31.3507752677,355200,0.0,1.0
2000-02-10,55.0,55.44,54.13,54.38,31.031218767,288900,0.0,1.0
2000-02-11,54.94,55.38,52.63,52.75,30.1010810952,253400,0.0,1.0
2000-02-14,51.75,53.88,50.5,52.94,30.2095020508,741400,0.0,1.0
2000-02-15,53.06,54.06,51.94,52.69,30.0668428987,711000,0.0,1.0
2000-02-16,53.06,54.13,53.0,53.75,30.6717177036,493300,0.0,1.0
2000-02-17,54.0,58.44,54.0,57.0,32.5262866811,575000,0.0,1.0
