dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,18.38,18.81,17.94,18.75,8.12537245782,2878200,0.0,1.0
1999-11-02,18.81,19.0,18.38,18.56,8.04303535025,2187300,0.0,1.0
1999-11-03,18.56,18.63,17.88,18.38,7.96503177465,1604300,0.0,1.0
1999-11-04,18.31,18.31,17.88,18.0,7.80035755951,2018900,0.0,1.0
1999-11-05,18.31,18.56,18.06,18.06,7.82635875137,2174300,0.0,1.0
1999-11-08,18.25,18.56,18.19,18.38,7.96503177465,1525700,0.0,1.0
1999-11-09,18.75,18.81,17.75,17.75,7.69201926007,2361800,0.0,1.0
1999-11-10,16.94,17.5,15.5,15.56,6.742975757,10779600,0.0,1.0
1999-11-11,15.75,16.44,15.56,16.0,6.93365116401,5941900,0.0,1.0
1999-11-12,16.5,17.19,16.06,16.44,7.12432657102,3697900,0.0,1.0
1999-11-15,16.5,16.75,16.0,16.19,7.01598827158,2895300,0.0,1.0
1999-11-16,16.13,16.38,15.69,15.69,6.7993116727,2648600,0.0,1.0
1999-11-17,15.69,16.38,15.56,16.19,7.01598827158,2120300,0.0,1.0
1999-11-18,16.25,16.38,15.75,15.75,6.82531286457,2208800,0.0,1.0
1999-11-19,16.0,16.5,15.88,16.38,7.09832537915,2814000,0.0,1.0
1999-11-22,16.25,16.63,16.0,16.0,6.93365116401,3321600,0.0,1.0
1999-11-23,16.25,16.31,15.94,16.31,7.06799065531,2739400,0.0,1.0
1999-11-24,16.44,17.0,16.25,16.94,7.34100316989,3757900,0.0,1.0
1999-11-26,16.94,17.0,16.5,16.94,7.34100316989,1355200,0.0,1.0
1999-11-29,16.13,16.38,16.0,16.31,7.06799065531,2976400,0.0,1.0
1999-11-30,16.06,16.94,15.94,16.94,7.34100316989,2940100,0.0,1.0
1999-12-01,16.0,16.38,16.0,16.13,6.98998707971,2041100,0.0,1.0
1999-12-02,16.0,16.19,15.63,15.75,6.82531286457,2835000,0.0,1.0
1999-12-03,15.75,16.0,15.5,15.5,6.71697456513,3083200,0.0,1.0
1999-12-06,15.5,15.63,15.25,15.44,6.69097337327,2089900,0.0,1.0
1999-12-07,15.19,15.56,14.63,14.75,6.39195966682,4689200,0.0,1.0
1999-12-08,14.75,15.81,14.56,15.5,6.71697456513,4307000,0.0,1.0
1999-12-09,15.75,15.88,15.38,15.63,6.77331048084,3980900,0.0,1.0
1999-12-10,15.63,15.63,15.38,15.38,6.6649721814,3141300,0.0,1.0
1999-12-13,15.06,15.31,14.56,14.99,6.49596443428,2505400,0.0,1.0
1999-12-14,14.5,15.31,14.5,15.13,6.55663388196,2943600,0.0,1.0
1999-12-15,14.88,15.0,14.19,14.38,6.23161898365,3070600,0.0,1.0
1999-12-16,14.31,14.88,14.13,14.75,6.39195966682,2739600,0.0,1.0
1999-12-17,14.75,15.06,14.5,14.69,6.36595847495,3265400,0.0,1.0
