dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,36.46,36.77,35.29,35.66,12.3324735516,3178600,0.0,1.0
1999-11-04,36.22,36.59,35.29,35.66,12.3324735516,2580700,0.0,1.0
1999-11-05,35.53,36.09,34.48,34.73,12.0108470681,2316900,0.0,1.0
1999-11-08,33.74,35.97,33.67,35.53,12.2875150109,2269100,0.0,1.0
1999-11-09,35.91,36.22,34.67,34.79,12.0315971638,1524500,0.0,1.0
1999-11-10,34.54,34.98,34.11,34.48,11.9243883359,1394800,0.0,1.0
1999-11-11,34.67,35.16,34.17,34.6,11.9658885274,1197300,0.0,1.0
1999-11-12,36.09,36.15,34.79,35.66,12.3324735516,1528200,0.0,1.0
1999-11-15,35.6,36.4,35.35,35.35,12.2252647238,1739900,0.0,1.0
1999-11-16,35.35,36.22,34.85,36.22,12.5261411116,2263600,0.0,1.0
1999-11-17,36.22,36.84,35.16,35.47,12.2667649152,1870200,0.0,1.0
1999-11-18,35.72,35.84,34.17,35.72,12.3532236473,3994400,0.0,1.0
1999-11-19,35.53,35.84,34.98,35.66,12.3324735516,1867600,0.0,1.0
1999-11-22,35.41,35.6,33.86,33.92,11.730720776,1939500,0.0,1.0
1999-11-23,33.74,33.86,32.0,32.49,11.2361768282,2742600,0.0,1.0
1999-11-24,32.99,33.74,32.8,33.74,11.6684704888,2156800,0.0,1.0
1999-11-26,33.86,33.86,32.74,32.87,11.367594101,704900,0.0,1.0
1999-11-29,32.93,34.05,32.31,33.74,11.6684704888,2395900,0.0,1.0
1999-11-30,33.49,34.05,33.11,33.49,11.5820117567,1443300,0.0,1.0
1999-12-01,33.24,33.49,32.8,32.87,11.367594101,1127600,0.0,1.0
1999-12-02,33.74,33.92,33.18,33.67,11.6442620438,1869400,0.0,1.0
1999-12-03,33.98,34.48,33.24,33.43,11.561261661,1921100,0.0,1.0
1999-12-06,33.74,33.86,33.18,33.43,11.561261661,1757900,0.0,1.0
1999-12-07,33.24,33.3,30.76,31.5,10.8938002489,3812600,0.0,1.0
1999-12-08,30.9,31.47,30.16,31.03,10.7831330718,3536300,0.15,1.0
1999-12-09,31.53,32.21,30.78,31.78,11.0437631009,1881500,0.0,1.0
1999-12-10,31.53,31.59,30.16,30.78,10.6962563954,1389300,0.0,1.0
1999-12-13,30.16,31.22,29.53,30.9,10.7379572001,5055500,0.0,1.0
1999-12-14,30.78,31.4,29.91,30.47,10.5885293167,2859000,0.0,1.0
1999-12-15,30.28,30.59,29.66,29.91,10.3939255616,5018200,0.0,1.0
1999-12-16,29.78,29.91,28.35,28.91,10.0464188561,6506100,0.0,1.0
1999-12-17,29.35,29.72,28.85,28.97,10.0672692584,4309200,0.0,1.0
1999-12-20,29.04,29.28,28.35,28.82,10.0151432526,3247300,0.0,1.0
1999-12-21,28.91,29.1,28.47,28.47,9.89351590569,2711300,0.0,1.0
1999-12-22,28.79,28.97,27.91,27.98,9.72323761999,2183300,0.0,1.0
1999-12-23,28.23,30.53,28.1,30.16,10.480802238,3161000,0.0,1.0
1999-12-27,30.09,31.03,29.91,29.97,10.4147759639,2037900,0.0,1.0
1999-12-28,30.41,31.78,30.41,31.03,10.7831330718,1783400,0.0,1.0
1999-12-29,30.9,31.28,30.53,30.84,10.7171067977,984000,0.0,1.0
1999-12-30,30.59,31.03,30.16,30.66,10.6545555907,1749300,0.0,1.0
1999-12-31,29.85,31.28,29.85,30.47,10.5885293167,1058700,0.0,1.0
2000-01-03,31.0,31.81,30.63,31.0,10.7727078706,2366700,0.0,1.0
2000-01-04,29.5,31.38,29.5,30.31,10.5329282438,3364600,0.0,1.0
2000-01-05,30.5,32.25,30.5,32.0,11.1202145761,2731700,0.0,1.0
2000-01-06,32.19,33.13,32.19,32.88,11.426020477,8654600,0.0,1.0
2000-01-07,33.0,33.94,33.0,33.75,11.7283513107,2319500,0.0,1.0
2000-01-10,33.88,34.38,33.06,33.13,11.5128971533,1683300,0.0,1.0
2000-01-11,33.0,33.13,32.44,32.75,11.3808446052,1411600,0.0,1.0
