dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,55.75,56.44,55.0,55.75,37.6025423637,4081300,0.0,1.0
1999-11-04,56.5,57.0,55.88,56.0,37.7711636299,4150600,0.0,1.0
1999-11-05,57.5,58.75,57.25,58.06,39.1606028635,6239900,0.0,1.0
1999-11-08,58.5,59.19,58.31,58.5,39.457376292,4881400,0.0,1.0
1999-11-09,58.0,58.19,56.56,58.0,39.1201337596,10026300,0.0,1.0
1999-11-10,58.0,58.5,57.13,57.13,38.5333317532,6991200,0.0,1.0
1999-11-11,56.88,57.5,56.69,57.44,38.7424221233,6290200,0.0,1.0
1999-11-12,57.94,58.88,56.88,58.88,39.7136806166,5607700,0.0,1.0
1999-11-15,59.0,60.69,58.25,58.94,39.7541497205,9037800,0.0,1.0
1999-11-16,59.5,60.38,58.75,59.88,40.3881656815,6215300,0.0,1.0
1999-11-17,59.38,60.63,58.69,58.88,39.7136806166,6465700,0.0,1.0
1999-11-18,59.19,59.75,58.5,59.38,40.050923149,5723900,0.0,1.0
1999-11-19,58.38,59.06,57.75,58.13,39.207816818,4987500,0.0,1.0
1999-11-22,57.19,57.25,56.13,56.75,38.2770274286,6322600,0.0,1.0
1999-11-23,56.63,56.63,55.5,56.0,37.7711636299,6477000,0.0,1.0
1999-11-24,56.5,58.5,56.44,57.94,39.0796646557,5668800,0.0,1.0
1999-11-26,58.0,58.69,57.63,58.21,39.2617756232,2297100,0.0,1.0
1999-11-29,58.5,59.38,58.0,59.0,39.7946188244,4793000,0.0,1.0
1999-11-30,58.75,58.94,57.25,57.5,38.7828912272,4376100,0.0,1.0
1999-12-01,57.69,59.0,57.69,58.57,39.5045902465,5319400,0.0,1.0
1999-12-02,59.0,59.19,57.0,57.67,38.8975536882,5285000,0.0,1.0
1999-12-03,58.19,59.25,57.94,59.06,39.8350879283,6172000,0.0,1.0
1999-12-06,58.56,60.5,58.25,59.58,40.185820162,5449000,0.0,1.0
1999-12-07,59.81,60.13,58.0,58.0,39.1201337596,6361700,0.0,1.0
1999-12-08,58.81,59.31,58.0,58.65,39.5585490517,4600000,0.0,1.0
1999-12-09,58.5,62.25,57.63,62.25,41.9866952851,8808100,0.0,1.0
1999-12-10,62.5,64.5,61.88,63.25,42.6611803499,12595800,0.0,1.0
1999-12-13,65.5,69.19,64.75,68.0,45.8649844078,9391000,0.0,1.0
1999-12-14,67.0,68.5,66.94,67.06,45.2309684469,7505100,0.0,1.0
1999-12-15,67.0,67.06,65.13,66.01,44.556483382,7842800,0.05,1.0
1999-12-16,66.75,68.75,66.0,68.63,46.3249727997,8487000,0.0,1.0
1999-12-17,68.81,68.88,64.75,65.0,43.8747374615,14669900,0.0,1.0
1999-12-20,66.13,66.44,63.19,64.28,43.3887403696,6330600,0.0,1.0
1999-12-21,64.0,65.69,63.56,64.81,43.7464882289,4629900,0.0,1.0
1999-12-22,64.63,66.06,64.63,65.69,44.3404846745,3752700,0.0,1.0
1999-12-23,67.0,68.0,66.75,67.38,45.4812278485,3847300,0.0,1.0
1999-12-27,67.31,70.13,67.31,69.44,46.8717195281,5231600,0.0,1.0
1999-12-28,68.63,70.19,68.56,69.31,46.7839700532,3532000,0.0,1.0
1999-12-29,69.56,70.0,67.38,67.38,45.4812278485,2517600,0.0,1.0
1999-12-30,68.13,69.56,67.81,67.81,45.7714761117,2643900,0.0,1.0
1999-12-31,68.31,70.25,68.25,69.13,46.6624707802,2112700,0.0,1.0
2000-01-03,68.38,69.0,65.5,66.81,45.0964801508,8369900,0.0,1.0
2000-01-04,65.5,65.81,64.19,64.31,43.4089902484,6745100,0.0,1.0
2000-01-05,63.88,64.38,62.19,62.81,42.396496307,7018700,0.0,1.0
2000-01-06,63.0,64.56,62.69,63.69,42.9904927526,6544500,0.0,1.0
2000-01-07,64.5,68.94,64.5,68.5,46.2372233248,7976900,0.0,1.0
2000-01-10,67.25,67.5,65.63,67.25,45.3934783736,6714300,0.0,1.0
2000-01-11,67.06,67.75,65.63,66.25,44.7184824127,4943300,0.0,1.0
2000-01-12,66.19,66.75,65.06,65.06,43.9152372191,4085000,0.0,1.0
2000-01-13,66.0,66.13,65.0,65.13,43.9624869364,5021000,0.0,1.0
2000-01-14,64.0,65.94,64.0,64.5,43.537239481,6312200,0.0,1.0
2000-01-18,63.19,66.44,63.06,65.56,44.2527351996,6442200,0.0,1.0
2000-01-19,65.25,65.81,64.0,64.06,43.2402412582,4819900,0.0,1.0
2000-01-20,64.44,64.5,62.5,63.38,42.7812440048,5738100,0.0,1.0
2000-01-21,63.94,63.94,62.06,62.44,42.1467478015,6952500,0.0,1.0
2000-01-24,63.44,63.44,57.5,59.38,40.081260161,7799900,0.0,1.0
2000-01-25,59.81,61.19,59.5,61.13,41.2625030926,6403800,0.0,1.0
2000-01-26,61.13,62.06,60.0,61.94,41.809249821,4538400,0.0,1.0
2000-01-27,61.31,61.5,57.88,59.13,39.9125111707,7323300,0.0,1.0
2000-01-28,58.88,58.88,53.5,55.13,37.2125273269,14029400,0.0,1.0
2000-01-31,54.56,55.5,54.13,54.75,36.9560288618,7972700,0.0,1.0
2000-02-01,55.0,59.5,54.94,58.69,39.6155129479,8359000,0.0,1.0
2000-02-02,58.88,59.69,57.94,58.38,39.4062642,6034600,0.0,1.0
2000-02-03,58.38,58.81,56.25,58.38,39.4062642,6999000,0.0,1.0
2000-02-04,57.94,57.94,56.0,56.31,38.0090225609,6549700,0.0,1.0
2000-02-07,56.63,56.63,54.63,55.75,37.6310248227,6043700,0.0,1.0
2000-02-08,57.31,59.69,56.88,59.5,40.1622596763,8576100,0.0,1.0
2000-02-09,60.0,60.13,57.31,57.81,39.0215165023,8216600,0.0,1.0
2000-02-10,57.63,58.38,56.81,57.0,38.4747697739,4591600,0.0,1.0
2000-02-11,57.44,57.5,55.63,56.06,37.8402735706,4816700,0.0,1.0
2000-02-14,56.69,58.88,56.5,58.88,39.7437621805,5803600,0.0,1.0
2000-02-15,56.94,58.0,55.0,58.0,39.1497657349,9712100,0.0,1.0
2000-02-16,56.5,56.5,52.69,52.75,35.6060369399,13585800,0.0,1.0
2000-02-17,52.94,53.5,48.0,48.38,32.6563045906,24766700,0.0,1.0
2000-02-18,48.5,49.5,47.25,47.75,32.2310571352,19394400,0.0,1.0
2000-02-22,49.25,49.31,46.75,48.13,32.4875556003,12342600,0.0,1.0
2000-02-23,48.44,48.5,46.75,47.0,31.7248101645,12874400,0.0,1.0
