dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2006-10-02,19.2,20.08,19.17,19.76,13.4023186262,7111800,0.0,1.0
2006-10-03,19.89,20.04,19.63,20.0,13.5650998241,11416000,0.0,1.0
2006-10-04,20.0,20.05,19.5,19.78,13.415883726,10722800,0.0,1.0
2006-10-05,19.95,19.95,19.59,19.64,13.3209280272,8782400,0.0,1.0
2006-10-06,19.7,19.78,19.32,19.57,13.2734501778,6282100,0.0,1.0
2006-10-09,19.9,19.96,19.51,19.73,13.3819709764,3518000,0.0,1.0
2006-10-10,19.58,19.82,19.5,19.71,13.3684058766,6132200,0.0,1.0
2006-10-11,19.68,19.68,19.28,19.31,13.0971038801,9504800,0.0,1.0
2006-10-12,19.42,19.42,18.95,19.03,12.9071924826,8323700,0.0,1.0
2006-10-13,19.0,19.02,18.57,18.87,12.798671684,10659500,0.0,1.0
2006-10-16,19.06,19.22,18.72,18.74,12.7104985351,9966300,0.0,1.0
2006-10-17,18.5,18.68,18.36,18.58,12.6019777365,4902400,0.0,1.0
2006-10-18,18.55,19.12,18.55,19.0,12.8868448329,6600200,0.0,1.0
2006-10-19,19.4,19.75,19.2,19.5,13.2259723285,8959200,0.0,1.0
2006-10-20,19.6,20.0,19.44,19.63,13.3141454773,5712600,0.0,1.0
2006-10-23,19.66,19.88,19.14,19.58,13.2802327277,6780900,0.0,1.0
2006-10-24,20.0,21.0,19.9,19.95,13.5311870745,14763500,0.0,1.0
2006-10-25,20.06,22.2,20.05,21.85,14.8198715578,11829500,0.0,1.0
2006-10-26,21.72,23.04,21.65,22.34,15.1522165035,13490500,0.0,1.0
2006-10-27,22.1,22.34,21.52,21.95,14.8876970569,4564700,0.0,1.0
2006-10-30,21.98,22.2,21.45,22.11,14.9962178555,5795000,0.0,1.0
2006-10-31,22.36,22.78,21.81,22.05,14.955522556,4165200,0.0,1.0
2006-11-01,22.15,22.58,21.94,21.97,14.9012621567,8517800,0.0,1.0
2006-11-02,21.68,22.08,21.44,21.83,14.806306458,7359000,0.0,1.0
2006-11-03,22.08,22.29,21.34,21.54,14.6096125105,4821000,0.0,1.0
2006-11-06,22.05,22.41,21.79,22.23,15.0776084544,5462100,0.0,1.0
2006-11-07,22.13,22.94,22.13,22.5,15.2607373021,5057500,0.0,1.0
2006-11-08,22.34,22.88,22.22,22.62,15.342127901,4660200,0.0,1.0
2006-11-09,22.6,23.55,22.5,23.28,15.7897761952,8630700,0.0,1.0
2006-11-10,23.28,23.5,22.76,22.83,15.4845614492,4421300,0.0,1.0
2006-11-13,23.2,23.44,22.88,23.24,15.7626459956,5379500,0.0,1.0
2006-11-14,23.48,23.55,22.9,23.42,15.884731894,4358300,0.0,1.0
2006-11-15,23.63,23.8,23.31,23.35,15.8372540446,4149900,0.0,1.0
2006-11-16,23.5,23.8,23.1,23.12,15.6812553966,4629000,0.0,1.0
2006-11-17,22.98,23.2,22.65,22.68,15.3828232005,4082900,0.0,1.0
2006-11-20,22.68,22.82,22.21,22.51,15.267519852,3844400,0.0,1.0
2006-11-21,22.63,22.84,22.54,22.55,15.2946500516,4081200,0.0,1.0
2006-11-22,22.45,22.66,22.36,22.54,15.2878675017,2753500,0.0,1.0
2006-11-24,22.52,22.55,22.36,22.36,15.1657816033,886000,0.0,1.0
2006-11-27,22.1675,22.37,21.72,21.85,14.8198715578,4876600,0.0,1.0
2006-11-28,21.66,22.5,21.49,21.62,14.6638729098,4878100,0.0,1.0
2006-11-29,22.5,23.84,21.52,22.16,15.0301306051,5716900,0.0,1.0
2006-11-30,22.19,22.94,22.09,22.8,15.4642137994,6002400,0.0,1.0
2006-12-01,22.41,22.85,22.41,22.85,15.498126549,4519400,0.0,1.0
2006-12-04,23.05,23.75,22.9,23.5,15.9389922933,5347100,0.0,1.0
2006-12-05,23.5,24.14,23.38,24.12,16.3595103878,7449100,0.0,1.0
2006-12-06,24.1,24.1,23.35,23.45,15.9050795437,5195700,0.0,1.0
2006-12-07,23.45,24.06,23.34,23.91,16.2170768397,5155300,0.0,1.0
2006-12-08,23.84,24.1,23.74,23.85,16.1763815402,3518300,0.0,1.0
2006-12-11,23.65,23.75,23.24,23.57,15.9864701426,3447100,0.0,1.0
2006-12-12,23.45,23.65,22.95,23.29,15.7965587451,3342400,0.0,1.0
2006-12-13,23.3,23.31,22.5,22.84,15.498126549,4484900,0.01,1.0
2006-12-14,23.02,23.24,22.55,22.77,15.4506279124,5321800,0.0,1.0
2006-12-15,22.6,23.08,22.6,22.99,15.5999093416,5120800,0.0,1.0
2006-12-18,22.99,23.09,22.75,22.88,15.525268627,4316100,0.0,1.0
2006-12-19,22.88,23.03,22.55,22.55,15.3013464833,2284100,0.0,1.0
2006-12-20,22.7,22.7,22.33,22.39,15.1927781713,2778400,0.0,1.0
2006-12-21,22.31,22.5,22.14,22.22,15.0774243397,3918900,0.0,1.0
2006-12-22,22.21,22.4,21.92,21.98,14.9145718716,3743900,0.0,1.0
2006-12-26,22.22,22.25,22.0,22.12,15.0095691446,1584800,0.0,1.0
2006-12-27,22.17,22.56,22.13,22.5,15.2674188858,2409600,0.0,1.0
2006-12-28,22.41,22.5,22.2,22.35,15.1656360932,1717900,0.0,1.0
2006-12-29,22.35,22.58,22.3,22.42,15.2131347298,2157700,0.0,1.0
2007-01-03,22.9,23.34,22.42,22.71,15.4099147954,5910100,0.0,1.0
2007-01-04,22.6,23.04,22.5,22.91,15.5456251855,2834300,0.0,1.0
2007-01-05,22.9,22.97,22.3,22.33,15.1520650542,5548800,0.0,1.0
2007-01-08,22.32,22.37,21.82,21.96,14.9010008326,2829800,0.0,1.0
2007-01-09,21.95,22.34,21.85,22.25,15.0977808982,3600900,0.0,1.0
2007-01-10,22.9,23.09,22.38,22.46,15.2402768078,5745000,0.0,1.0
2007-01-11,22.56,22.77,22.24,22.64,15.3624161589,3325900,0.0,1.0
2007-01-12,22.65,22.91,22.58,22.79,15.4641989515,4191600,0.0,1.0
2007-01-16,22.95,23.0,22.16,22.2,15.0638533007,6111500,0.0,1.0
2007-01-17,22.2,22.4,21.65,21.72,14.7381483644,5909800,0.0,1.0
2007-01-18,21.8,21.98,21.54,21.6,14.6567221304,2606300,0.0,1.0
2007-01-19,21.7,21.71,21.24,21.41,14.5277972598,4957200,0.0,1.0
2007-01-22,21.16,21.56,21.01,21.03,14.2699475186,5065800,0.0,1.0
2007-01-23,21.11,21.87,21.02,21.8,14.7924325205,5165300,0.0,1.0
2007-01-24,21.26,21.86,21.26,21.4,14.5210117403,4683400,0.0,1.0
2007-01-25,21.41,21.63,20.97,21.07,14.2970895966,5218300,0.0,1.0
