dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,61.08,62.82,60.58,61.95,11.8250060235,3361000,0.0,1.0
1999-11-02,62.5,63.19,61.26,61.33,11.7066605234,3582000,0.0,1.0
1999-11-03,61.76,62.82,61.51,62.57,11.9433515237,1821400,0.0,1.0
1999-11-04,64.06,64.3,63.25,64.06,12.2277624837,1509100,0.0,1.0
1999-11-05,64.55,65.05,63.62,63.81,12.180042524,1052100,0.0,1.0
1999-11-08,64.55,64.68,61.14,62.01,11.8364588139,1519900,0.0,1.0
1999-11-09,62.07,62.94,61.45,62.32,11.8956315639,1676800,0.0,1.0
1999-11-10,61.45,61.45,59.77,60.52,11.5520478538,1563700,0.0,1.0
1999-11-11,60.52,61.33,58.28,61.02,11.6474877733,2053000,0.0,1.0
1999-11-12,61.2,61.2,59.15,60.64,11.5749534345,1224700,0.0,1.0
1999-11-15,60.39,63.19,59.59,62.69,11.9662571043,1115800,0.0,1.0
1999-11-16,62.63,62.75,61.82,62.07,11.8479116042,985800,0.0,1.0
1999-11-17,62.01,62.94,61.33,62.01,11.8364588139,884500,0.0,1.0
1999-11-18,62.38,63.5,61.95,62.57,11.9433515237,700000,0.0,1.0
1999-11-19,62.94,62.94,60.77,60.95,11.6341261846,449400,0.0,1.0
1999-11-22,60.95,60.95,58.97,60.15,11.4814223134,756200,0.0,1.0
1999-11-23,60.15,60.21,59.15,60.15,11.4814223134,1798900,0.0,1.0
1999-11-24,60.08,60.64,59.4,60.04,11.4604255311,1017900,0.0,1.0
1999-11-26,60.27,60.27,58.97,59.03,11.2676368938,240500,0.0,1.0
1999-11-29,59.03,59.15,58.16,58.9,11.2428225147,1353100,0.0,1.0
1999-11-30,59.15,61.88,59.15,60.83,11.6112206039,1380700,0.0,1.0
1999-12-01,60.64,61.14,58.97,59.77,11.4088879746,639900,0.0,1.0
1999-12-02,59.77,63.99,59.77,63.62,12.1437753546,1740900,0.0,1.0
1999-12-03,63.13,65.05,63.13,64.74,12.3575607742,889000,0.0,1.0
1999-12-06,64.24,65.98,64.18,65.17,12.439639105,958500,0.0,1.0
1999-12-07,64.93,65.48,63.31,64.86,12.3804663549,987900,0.0,1.0
1999-12-08,65.05,65.67,64.55,64.8,12.3690135645,1195000,0.0,1.0
1999-12-09,65.55,66.29,64.18,64.74,12.3575607742,1224500,0.0,1.0
1999-12-10,64.68,66.54,63.81,65.36,12.4759062744,879900,0.0,1.0
1999-12-13,65.11,65.17,61.82,62.32,11.8956315639,781000,0.0,1.0
1999-12-14,62.32,67.28,62.07,67.04,12.7965844038,1189500,0.0,1.0
1999-12-15,67.04,70.76,67.04,70.14,13.3883119046,2063000,0.0,1.0
1999-12-16,69.89,69.89,66.91,67.53,12.8901155249,1000300,0.0,1.0
1999-12-17,68.03,68.71,67.47,68.15,13.0084610251,1283700,0.0,1.0
1999-12-20,68.15,68.15,66.66,67.39,12.8633923475,851700,0.0,1.0
1999-12-21,66.91,68.03,66.85,67.84,12.949288275,1200300,0.0,1.0
1999-12-22,68.03,68.03,66.73,66.97,12.7832228151,781700,0.0,1.0
