dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,21.56,21.81,21.38,21.81,8.51133888751,234400,0.0,1.0
1999-11-02,21.75,22.13,21.75,21.88,8.53865634382,231000,0.0,1.0
1999-11-03,22.0,22.0,21.44,21.56,8.41377654355,450800,0.0,1.0
1999-11-04,21.63,21.88,21.44,21.63,8.44109399986,221500,0.0,1.0
1999-11-05,21.69,21.81,21.5,21.63,8.44109399986,320700,0.0,1.0
1999-11-08,21.44,21.63,21.31,21.44,8.36694661844,211400,0.0,1.0
1999-11-09,21.38,21.44,20.94,21.06,8.21865185562,382400,0.0,1.0
1999-11-10,21.06,21.19,20.81,20.88,8.14840696796,264100,0.0,1.0
1999-11-11,20.81,21.0,20.63,20.81,8.12108951165,696700,0.0,1.0
1999-11-12,20.69,20.88,20.38,20.63,8.050844624,325400,0.0,1.0
1999-11-15,20.5,20.63,20.38,20.63,8.050844624,265200,0.0,1.0
1999-11-16,20.81,21.06,20.75,20.94,8.17182193051,413400,0.0,1.0
1999-11-17,20.94,20.94,20.63,20.75,8.0976745491,278800,0.0,1.0
1999-11-18,20.69,20.75,20.5,20.56,8.02352716769,368000,0.0,1.0
1999-11-19,20.5,20.63,20.25,20.25,7.90254986117,264400,0.0,1.0
1999-11-22,20.5,20.5,20.13,20.25,7.90254986117,330500,0.0,1.0
1999-11-23,20.19,20.25,19.88,20.25,7.90254986117,729800,0.0,1.0
1999-11-24,20.25,20.25,20.0,20.13,7.85571993607,340600,0.0,1.0
1999-11-26,20.13,20.25,20.13,20.19,7.87913489862,152700,0.0,1.0
1999-11-29,20.25,20.25,19.94,20.13,7.85571993607,636900,0.0,1.0
1999-11-30,20.06,20.44,20.06,20.44,7.97669724258,768300,0.0,1.0
1999-12-01,20.19,20.44,20.19,20.38,7.95328228003,302700,0.0,1.0
1999-12-02,20.44,20.5,20.31,20.38,7.95328228003,359600,0.0,1.0
1999-12-03,20.44,20.88,20.38,20.56,8.02352716769,363600,0.0,1.0
1999-12-06,20.69,20.81,20.5,20.63,8.050844624,233300,0.0,1.0
1999-12-07,20.63,20.69,20.5,20.56,8.02352716769,324900,0.0,1.0
1999-12-08,20.44,20.63,20.25,20.25,7.90254986117,289700,0.0,1.0
1999-12-09,20.19,20.31,20.0,20.13,7.85571993607,291500,0.0,1.0
1999-12-10,20.13,20.31,20.0,20.0,7.8049875172,298400,0.0,1.0
1999-12-13,20.0,20.0,19.69,20.0,7.8049875172,421400,0.0,1.0
1999-12-14,20.0,20.25,19.88,20.06,7.82840247976,273500,0.0,1.0
1999-12-15,20.0,20.25,19.88,20.13,7.85571993607,374600,0.0,1.0
1999-12-16,20.19,20.31,20.13,20.19,7.87913489862,340400,0.0,1.0
1999-12-17,20.25,20.38,19.69,19.81,7.73084013579,831800,0.0,1.0
1999-12-20,20.0,20.06,19.69,19.83,7.73864512331,421700,0.0,1.0
1999-12-21,19.75,20.19,19.63,20.06,7.82840247976,374600,0.0,1.0
1999-12-22,20.06,20.06,19.88,20.0,7.8049875172,436500,0.0,1.0
1999-12-23,20.0,20.25,20.0,20.25,7.90254986117,429000,0.0,1.0
1999-12-27,20.31,20.5,20.31,20.31,7.92596482372,330600,0.0,1.0
1999-12-28,20.38,20.44,20.06,20.13,7.85571993607,472700,0.0,1.0
1999-12-29,20.13,20.13,20.0,20.06,7.82840247976,339200,0.0,1.0
1999-12-30,20.06,20.13,19.88,19.94,7.78157255465,474500,0.0,1.0
1999-12-31,19.56,19.69,19.31,19.5,7.75132822802,262900,0.3625,1.0
2000-01-03,19.62,19.62,18.94,19.0,7.55257622218,2738600,0.0,1.0
2000-01-04,19.06,19.5,19.0,19.44,7.72747798732,425200,0.0,1.0
2000-01-05,19.44,20.13,19.44,19.94,7.92622999317,500200,0.0,1.0
2000-01-06,20.13,20.13,19.81,20.0,7.95008023387,344100,0.0,1.0
2000-01-07,20.0,20.0,19.88,20.0,7.95008023387,469500,0.0,1.0
2000-01-10,20.06,20.06,19.88,20.0,7.95008023387,522000,0.0,1.0
2000-01-11,19.94,20.06,19.94,20.0,7.95008023387,557400,0.0,1.0
2000-01-12,20.0,20.56,20.0,20.44,8.12498199902,410500,0.0,1.0
2000-01-13,20.38,20.5,20.25,20.38,8.10113175831,308000,0.0,1.0
2000-01-14,20.38,20.44,20.13,20.44,8.12498199902,659100,0.0,1.0
2000-01-18,20.31,20.31,19.69,19.81,7.87455447165,843200,0.0,1.0
2000-01-19,19.75,19.88,19.69,19.81,7.87455447165,578200,0.0,1.0
2000-01-20,19.81,19.88,19.56,19.63,7.80300374954,566200,0.0,1.0
2000-01-21,19.63,19.94,19.63,19.75,7.85070423095,1021700,0.0,1.0
2000-01-24,19.75,19.81,19.63,19.69,7.82685399025,649100,0.0,1.0
2000-01-25,19.69,19.69,19.31,19.5,7.75132822802,344900,0.0,1.0
2000-01-26,19.63,19.63,19.0,19.13,7.6042517437,1137000,0.0,1.0
2000-01-27,19.25,19.5,19.19,19.31,7.6758024658,493400,0.0,1.0
2000-01-28,19.31,19.5,19.25,19.25,7.6519522251,289700,0.0,1.0
2000-01-31,19.25,19.38,19.13,19.25,7.6519522251,526700,0.0,1.0
2000-02-01,19.38,19.38,19.13,19.25,7.6519522251,446600,0.0,1.0
2000-02-02,19.38,19.44,19.06,19.06,7.57642646288,313200,0.0,1.0
2000-02-03,19.19,19.69,19.19,19.63,7.80300374954,483400,0.0,1.0
2000-02-04,19.63,19.63,19.13,19.31,7.6758024658,336400,0.0,1.0
2000-02-07,19.31,19.31,19.0,19.06,7.57642646288,348300,0.0,1.0
2000-02-08,19.06,19.19,19.0,19.06,7.57642646288,364900,0.0,1.0
2000-02-09,19.13,19.5,19.06,19.19,7.6281019844,595500,0.0,1.0
2000-02-10,19.19,19.31,18.56,18.81,7.47705045995,503600,0.0,1.0
2000-02-11,18.94,18.94,18.5,18.88,7.50487574077,554500,0.0,1.0
2000-02-14,18.81,18.94,18.63,18.75,7.45320021925,374500,0.0,1.0
2000-02-15,18.5,18.69,18.38,18.44,7.32997397563,627400,0.0,1.0
2000-02-16,18.56,18.75,18.5,18.56,7.37767445703,284800,0.0,1.0
2000-02-17,18.69,18.69,18.31,18.56,7.37767445703,202600,0.0,1.0
2000-02-18,18.44,18.5,18.13,18.19,7.2305979727,469100,0.0,1.0
2000-02-22,18.31,18.56,18.25,18.31,7.27829845411,477300,0.0,1.0
2000-02-23,18.25,18.31,18.0,18.06,7.17892245118,306300,0.0,1.0
2000-02-24,18.06,18.13,17.69,17.81,7.07954644826,367700,0.0,1.0
2000-02-25,17.88,17.88,17.38,17.56,6.98017044534,477600,0.0,1.0
2000-02-28,17.81,18.13,17.56,18.0,7.15507221048,505400,0.0,1.0
2000-02-29,17.81,17.94,17.5,17.56,6.98017044534,535900,0.0,1.0
2000-03-01,17.63,17.69,17.06,17.19,6.83309396101,512300,0.0,1.0
2000-03-02,17.06,17.25,17.0,17.06,6.78141843949,642200,0.0,1.0
2000-03-03,17.13,17.56,17.13,17.5,6.95632020464,405500,0.0,1.0
2000-03-06,17.38,17.38,16.25,16.44,6.53496595224,967400,0.0,1.0
2000-03-07,16.69,16.75,16.31,16.44,6.53496595224,1814900,0.0,1.0
2000-03-08,16.56,16.81,16.31,16.38,6.51111571154,1498300,0.0,1.0
2000-03-09,16.5,16.63,16.13,16.25,6.45944019002,1129600,0.0,1.0
2000-03-10,16.31,16.75,16.25,16.63,6.61049171446,635300,0.0,1.0
2000-03-13,16.69,16.94,16.56,16.94,6.73371795809,636700,0.0,1.0
2000-03-14,17.19,17.5,17.13,17.5,6.95632020464,873700,0.0,1.0
2000-03-15,17.5,18.63,17.5,18.63,7.40549973785,898300,0.0,1.0
2000-03-16,18.88,19.94,18.75,19.94,7.92622999317,894300,0.0,1.0
2000-03-17,19.94,20.19,19.63,19.88,7.90237975247,1242200,0.0,1.0
2000-03-20,19.88,19.94,19.38,19.5,7.75132822802,1416800,0.0,1.0
2000-03-21,19.44,19.44,18.81,19.0,7.55257622218,639000,0.0,1.0
2000-03-22,18.88,18.94,18.25,18.56,7.37767445703,367700,0.0,1.0
2000-03-23,18.56,18.88,18.56,18.81,7.47705045995,500300,0.0,1.0
2000-03-24,18.69,18.94,18.56,18.88,7.50487574077,648100,0.0,1.0
2000-03-27,18.88,19.13,18.81,18.88,7.50487574077,888400,0.0,1.0
2000-03-28,18.81,19.13,18.81,18.88,7.50487574077,269400,0.0,1.0
2000-03-29,18.88,19.19,18.81,19.13,7.6042517437,764900,0.0,1.0
2000-03-30,19.25,20.0,19.25,19.88,7.90237975247,1726400,0.0,1.0
2000-03-31,19.81,19.94,19.63,19.88,7.90237975247,566900,0.0,1.0
2000-04-03,19.88,19.94,19.5,19.75,7.85070423095,208100,0.0,1.0
2000-04-04,19.75,20.44,19.75,20.31,8.0733064775,844900,0.0,1.0
