dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,74.06,75.0,73.56,74.75,18.8420300583,3394300,0.0,1.0
1999-11-02,74.37,75.19,73.94,74.12,18.6832276645,2950100,0.0,1.0
1999-11-03,74.62,74.62,72.56,73.0,18.4009122977,3738600,0.0,1.0
1999-11-04,73.69,73.94,72.5,73.0,18.4009122977,3636000,0.0,1.0
1999-11-05,73.0,73.0,70.06,70.62,17.8009921434,7173300,0.0,1.0
1999-11-08,71.0,74.81,71.0,74.31,18.7311204499,5511800,0.0,1.0
1999-11-09,74.94,75.37,74.37,75.31,19.09409735,3166000,0.44,1.0
1999-11-10,75.62,76.19,75.31,76.0,19.2690399496,4447000,0.0,1.0
1999-11-11,76.06,76.87,75.37,76.81,19.474407349,3797200,0.0,1.0
1999-11-12,76.94,77.94,76.5,77.87,19.7431597483,3487600,0.0,1.0
1999-11-15,77.87,78.06,77.37,78.0,19.7761199483,3584900,0.0,1.0
1999-11-16,78.25,79.19,77.0,79.19,20.0778325475,4407000,0.0,1.0
1999-11-17,79.12,81.25,79.0,80.25,20.3465849468,7267200,0.0,1.0
1999-11-18,81.0,81.37,80.19,81.06,20.5519523462,4589900,0.0,1.0
1999-11-19,81.0,81.06,79.62,79.69,20.2046025471,3767900,0.0,1.0
1999-11-22,79.69,80.06,79.19,79.55,20.1691069472,3601300,0.0,1.0
1999-11-23,79.87,79.94,77.69,78.0,19.7761199483,4162000,0.0,1.0
1999-11-24,77.87,79.62,77.56,79.12,20.0600847475,4761900,0.0,1.0
1999-11-26,78.5,79.06,78.0,78.0,19.7761199483,1247800,0.0,1.0
1999-11-29,77.87,79.5,77.56,79.37,20.1234697474,4204800,0.0,1.0
1999-11-30,80.0,80.19,78.87,79.31,20.1082573474,5867900,0.0,1.0
1999-12-01,79.25,82.88,79.25,82.5,20.9170499453,6266000,0.0,1.0
1999-12-02,82.88,82.88,81.25,82.08,20.8105631456,5470000,0.0,1.0
1999-12-03,82.0,83.13,81.63,82.53,20.9246561453,5658200,0.0,1.0
1999-12-06,82.25,84.0,82.0,83.88,21.2669351444,4577200,0.0,1.0
1999-12-07,84.0,85.19,83.75,83.88,21.2669351444,7831200,0.0,1.0
1999-12-08,83.63,84.5,82.63,83.48,21.1655191446,4954700,0.0,1.0
1999-12-09,84.38,86.56,83.88,86.13,21.8374001429,6212000,0.0,1.0
1999-12-10,85.81,85.81,82.69,82.81,20.9956473451,5278500,0.0,1.0
1999-12-13,83.38,83.81,81.06,82.66,20.9576163452,6179500,0.0,1.0
1999-12-14,82.0,83.13,82.0,82.38,20.8866251454,5799000,0.0,1.0
1999-12-15,83.25,84.25,83.06,83.06,21.0590323449,6933700,0.0,1.0
1999-12-16,81.75,84.81,81.75,83.75,21.2339749444,5914900,0.0,1.0
1999-12-17,83.94,84.25,82.25,82.62,20.9474747452,10647400,0.0,1.0
1999-12-20,83.25,83.69,81.0,81.92,20.7699967457,3466300,0.0,1.0
1999-12-21,81.0,82.0,80.63,80.75,20.4733549464,3572600,0.0,1.0
1999-12-22,80.69,81.88,80.06,81.0,20.5367399463,4178200,0.0,1.0
1999-12-23,82.44,84.06,81.5,83.81,21.2491873444,3915200,0.0,1.0
1999-12-27,83.94,84.19,81.25,82.0,20.7902799456,3513200,0.0,1.0
1999-12-28,81.56,82.56,80.5,80.69,20.4581425465,4391300,0.0,1.0
1999-12-29,81.0,82.31,80.88,81.19,20.5849125461,2189400,0.0,1.0
1999-12-30,81.38,81.38,79.75,80.44,20.3947575466,2740900,0.0,1.0
1999-12-31,80.56,81.0,80.19,80.56,20.4251823466,1379300,0.0,1.0
