dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.19,41.25,40.19,40.56,4.96838868284,430100,0.0,1.0
1999-11-02,40.56,40.75,39.88,39.94,4.89244191304,528900,0.0,1.0
1999-11-03,40.0,40.0,39.0,39.25,4.80792050793,419500,0.0,1.0
1999-11-04,39.06,40.0,38.94,39.25,4.80792050793,1591900,0.0,1.0
1999-11-05,39.44,40.5,39.44,40.44,4.95368930804,451600,0.0,1.0
1999-11-08,39.94,40.75,39.88,40.56,4.96838868284,520300,0.0,1.0
1999-11-09,40.63,41.63,39.75,41.63,5.09945810815,608300,0.0,1.0
1999-11-10,42.44,44.06,42.06,43.56,5.33587305288,1042000,0.0,1.0
1999-11-11,43.5,45.0,43.5,44.19,5.41304477058,1019300,0.0,1.0
1999-11-12,44.19,44.25,42.19,43.13,5.28320029317,719400,0.0,1.0
1999-11-15,44.13,46.25,44.06,45.13,5.52818987319,1566100,0.0,1.0
1999-11-16,44.38,44.38,42.56,42.75,5.23665227297,1798500,0.0,1.0
1999-11-17,42.13,42.88,41.25,42.31,5.18275456536,599800,0.0,1.0
1999-11-18,42.38,43.25,42.06,43.13,5.28320029317,461500,0.0,1.0
1999-11-19,43.0,43.0,42.44,42.5,5.20602857546,666000,0.0,1.0
1999-11-22,42.44,42.5,41.75,41.81,5.12150717036,575500,0.0,1.0
1999-11-23,41.63,41.69,41.0,41.13,5.03821071315,724500,0.0,1.0
1999-11-24,40.94,40.94,39.75,40.13,4.91571592314,435900,0.0,1.0
1999-11-26,40.25,40.38,40.06,40.19,4.92306561054,97200,0.0,1.0
1999-11-29,40.06,40.69,40.06,40.5,4.96103899544,635900,0.0,1.0
1999-11-30,40.06,41.75,40.06,41.5,5.08353378545,611900,0.0,1.0
1999-12-01,41.31,41.38,40.56,40.69,4.98431300554,371600,0.0,1.0
1999-12-02,40.75,40.88,40.13,40.25,4.93041529794,276100,0.0,1.0
1999-12-03,40.38,41.38,40.0,40.0,4.89979160044,453000,0.0,1.0
1999-12-06,40.0,40.38,39.63,40.06,4.90714128784,419400,0.0,1.0
1999-12-07,40.06,40.63,40.0,40.25,4.93041529794,459200,0.0,1.0
1999-12-08,40.13,40.75,40.13,40.5,4.96103899544,374500,0.0,1.0
1999-12-09,40.25,40.94,40.19,40.63,4.97696331814,495900,0.0,1.0
1999-12-10,40.13,40.75,39.69,40.13,4.91571592314,551100,0.0,1.0
1999-12-13,39.25,39.25,38.81,39.06,4.78464649783,2911800,0.0,1.0
1999-12-14,38.88,39.88,38.75,39.81,4.87651759033,1465700,0.0,1.0
1999-12-15,39.63,39.88,39.31,39.5,4.83854420543,495200,0.0,1.0
1999-12-16,39.5,39.56,38.88,38.88,4.76259743562,1425900,0.0,1.0
1999-12-17,39.44,39.44,39.44,39.44,4.83119451803,2301500,0.0,1.0
1999-12-20,39.25,39.31,38.63,38.88,4.76259743562,349500,0.0,1.0
1999-12-21,38.69,38.75,37.56,37.69,4.61682863551,498100,0.0,1.0
1999-12-22,37.69,38.94,37.63,38.63,4.73197373812,463400,0.0,1.0
1999-12-23,38.63,38.69,37.88,37.94,4.64745233301,310900,0.0,1.0
1999-12-27,37.94,38.63,37.63,38.63,4.73197373812,433600,0.0,1.0
1999-12-28,38.56,39.56,38.0,38.25,4.68542571792,225200,0.0,1.0
1999-12-29,38.25,38.25,37.75,38.13,4.67072634312,433900,0.0,1.0
1999-12-30,37.88,38.63,37.75,38.44,4.70869972802,410200,0.0,1.0
1999-12-31,38.19,38.94,38.13,38.63,4.73197373812,250800,0.0,1.0
2000-01-03,38.56,38.56,37.06,37.31,4.57028061531,545200,0.0,1.0
2000-01-04,37.0,37.5,36.0,36.56,4.4784095228,595800,0.0,1.0
2000-01-05,36.75,36.88,36.56,36.81,4.5090332203,834400,0.0,1.0
2000-01-06,36.5,36.81,36.38,36.44,4.463710148,709500,0.0,1.0
2000-01-07,36.44,36.5,35.38,35.63,4.36448936809,1089800,0.0,1.0
2000-01-10,35.56,37.5,35.5,37.06,4.5396569178,994100,0.0,1.0
2000-01-11,36.75,37.5,36.31,36.81,4.5090332203,759300,0.0,1.0
2000-01-12,37.0,37.5,36.44,36.44,4.463710148,1766400,0.0,1.0
2000-01-13,36.88,37.94,36.75,37.0,4.5323072304,992600,0.0,1.0
2000-01-14,37.0,37.06,35.81,36.0,4.40981244039,573000,0.0,1.0
2000-01-18,35.5,35.75,34.63,34.94,4.27996796298,1347500,0.0,1.0
2000-01-19,34.69,34.75,33.38,33.63,4.11949978807,1749400,0.0,1.0
2000-01-20,33.44,33.44,31.69,31.81,3.89655927025,1624600,0.0,1.0
2000-01-21,31.81,32.19,31.75,31.88,3.90513390555,1289900,0.0,1.0
2000-01-24,32.13,32.38,31.06,31.19,3.82061250044,1003100,0.0,1.0
2000-01-25,31.19,31.19,29.63,30.38,3.72139172053,1308600,0.0,1.0
2000-01-26,30.38,30.56,30.0,30.06,3.68219338773,817600,0.0,1.0
2000-01-27,30.13,30.56,30.0,30.13,3.69076802303,975500,0.0,1.0
2000-01-28,30.38,30.38,28.75,28.88,3.53764953551,708600,0.0,1.0
2000-01-31,29.25,29.38,28.5,28.63,3.50702583801,508100,0.0,1.0
2000-02-01,29.38,32.25,29.38,30.75,3.76671479284,2220900,0.0,1.0
2000-02-02,30.0,30.44,28.44,28.94,3.54499922292,1844200,0.0,1.0
2000-02-03,29.31,29.88,29.13,29.69,3.63687031542,744400,0.0,1.0
2000-02-04,29.69,29.75,29.31,29.63,3.62952062802,783800,0.0,1.0
2000-02-07,29.44,30.0,29.0,29.44,3.60624661792,759900,0.0,1.0
2000-02-08,29.44,29.94,29.38,29.88,3.66014432553,782700,0.0,1.0
2000-02-09,29.56,31.0,29.06,30.0,3.67484370033,968000,0.0,1.0
2000-02-10,30.0,30.69,26.94,28.5,3.49110151531,3407700,0.0,1.0
2000-02-11,27.13,28.38,26.88,27.94,3.4225044329,1376100,0.0,1.0
2000-02-14,28.38,28.38,27.5,28.06,3.43720380771,923600,0.0,1.0
2000-02-15,27.88,28.56,27.06,28.38,3.47640214051,860800,0.0,1.0
2000-02-16,28.25,28.63,27.69,27.94,3.4225044329,359400,0.0,1.0
2000-02-17,28.25,29.94,27.75,29.38,3.59889693052,944700,0.0,1.0
2000-02-18,29.0,29.0,27.94,28.0,3.42985412031,775100,0.0,1.0
2000-02-22,28.19,28.19,26.25,27.0,3.30735933029,860500,0.0,1.0
2000-02-23,27.13,27.5,26.81,26.81,3.28408532019,317100,0.0,1.0
2000-02-24,26.56,26.56,25.81,26.0,3.18486454028,768000,0.0,1.0
2000-02-25,26.0,26.19,25.75,25.88,3.17016516548,624900,0.0,1.0
2000-02-28,25.94,26.63,25.25,25.69,3.14689115538,586600,0.0,1.0
2000-02-29,26.06,27.0,26.0,26.63,3.26203625799,737800,0.0,1.0
2000-03-01,26.56,28.44,26.56,28.19,3.45312813041,915600,0.0,1.0
