dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,59.0,59.5,58.75,59.06,41.2633357052,617400,0.0,1.0
1999-11-02,59.0,61.19,59.0,60.81,42.4860048126,830500,0.0,1.0
1999-11-03,60.75,61.75,60.06,60.06,41.9620037666,778600,0.0,1.0
1999-11-04,60.25,62.13,60.13,60.63,42.3602445616,578500,0.0,1.0
1999-11-05,61.13,62.56,61.13,62.19,43.4501667373,461700,0.0,1.0
1999-11-08,61.75,63.0,61.75,62.94,43.9741677834,273700,0.0,1.0
1999-11-09,62.81,63.0,61.69,62.0,43.3174198057,544900,0.0,1.0
1999-11-10,61.88,62.13,61.5,62.0,43.3174198057,397800,0.0,1.0
1999-11-11,61.94,62.06,60.94,61.88,43.2335796383,171600,0.0,1.0
1999-11-12,62.0,63.13,61.81,62.94,43.9741677834,719800,0.0,1.0
1999-11-15,62.63,63.0,62.25,62.94,43.9741677834,339000,0.0,1.0
1999-11-16,63.0,63.31,62.63,63.13,44.106914715,199500,0.0,1.0
1999-11-17,63.06,63.69,62.94,63.63,44.4562487457,966700,0.0,1.0
1999-11-18,63.31,65.19,63.31,64.5,45.0640899591,620600,0.0,1.0
1999-11-19,64.5,64.75,64.0,64.63,45.1549168071,459600,0.0,1.0
1999-11-22,64.63,64.75,63.69,63.81,44.5820089968,405300,0.0,1.0
1999-11-23,63.63,63.75,62.0,62.5,43.6667538364,562600,0.0,1.0
1999-11-24,62.44,62.94,62.13,62.88,43.9322476997,713800,0.0,1.0
1999-11-26,62.75,63.06,62.75,62.94,43.9741677834,106100,0.0,1.0
1999-11-29,62.78,62.78,61.63,61.75,43.1427527903,274200,0.0,1.0
1999-11-30,61.75,65.0,61.75,64.56,45.1060100428,672200,0.0,1.0
1999-12-01,64.5,65.56,64.5,65.31,45.6300110889,559800,0.0,1.0
1999-12-02,65.0,66.13,65.0,65.88,46.0282518838,249300,0.0,1.0
1999-12-03,65.94,68.06,65.75,67.56,47.202014227,584200,0.0,1.0
1999-12-06,67.19,67.38,65.38,65.88,46.0282518838,808500,0.0,1.0
1999-12-07,65.97,65.97,63.56,63.63,44.4562487457,821700,0.0,1.0
1999-12-08,63.94,63.94,61.75,61.88,43.2335796383,568900,0.0,1.0
1999-12-09,62.25,63.56,62.19,63.31,44.2326749661,513100,0.0,1.0
1999-12-10,63.44,64.69,63.44,63.94,44.6728358448,641400,0.0,1.0
1999-12-13,63.77,64.13,63.63,63.69,44.4981688294,490700,0.0,1.0
1999-12-14,63.38,63.44,62.69,62.94,43.9741677834,518700,0.0,1.0
1999-12-15,62.88,62.88,61.38,62.38,43.582913669,609700,0.0,1.0
1999-12-16,62.31,62.75,61.5,61.88,43.2335796383,533700,0.0,1.0
1999-12-17,62.38,62.38,61.44,61.44,42.9261656913,663300,0.0,1.0
1999-12-20,61.94,62.38,61.25,61.5,42.968085775,492100,0.0,1.0
1999-12-21,61.38,64.81,60.81,64.63,45.1549168071,611600,0.0,1.0
1999-12-22,69.88,71.0,66.88,67.56,47.202014227,892800,0.0,1.0
1999-12-23,67.56,68.0,66.31,66.75,46.6360930972,456800,0.0,1.0
1999-12-27,59.5,63.25,58.5,60.31,42.1366707819,1849300,0.0,1.0
1999-12-28,59.69,60.38,58.94,59.31,41.4380027206,899500,0.0,1.0
1999-12-29,59.75,59.88,58.75,59.41,41.5078695267,481400,0.0,1.0
1999-12-30,59.66,59.69,58.38,58.63,40.9629084388,793200,0.0,1.0
1999-12-31,58.75,59.75,58.38,59.19,41.3541625532,158100,0.0,1.0
2000-01-03,59.03,59.12,53.44,55.5,38.7760774067,1199600,0.0,1.0
2000-01-04,54.63,55.0,52.5,52.81,36.8966603216,816100,0.0,1.0
2000-01-05,52.75,53.25,51.06,53.06,37.0713273369,1124700,0.0,1.0
2000-01-06,52.75,54.94,52.38,53.5,37.3787412839,1112100,0.0,1.0
2000-01-07,53.75,54.25,53.31,53.63,37.4695681319,782000,0.0,1.0
2000-01-10,53.69,53.75,51.5,52.66,36.7918601124,408800,0.0,1.0
2000-01-11,52.69,53.0,49.88,49.88,34.8495629017,987800,0.0,1.0
2000-01-12,50.5,50.75,49.0,50.31,35.1499901681,794300,0.0,1.0
2000-01-13,51.06,55.5,51.0,54.69,38.210156277,458700,0.0,1.0
2000-01-14,56.0,56.75,54.94,55.63,38.8669042547,596500,0.0,1.0
2000-01-18,55.63,56.13,52.75,52.81,36.8966603216,476800,0.0,1.0
2000-01-19,52.75,54.63,52.63,53.38,37.2949011166,310400,0.0,1.0
2000-01-20,54.13,54.13,51.94,52.44,36.6381531389,368200,0.0,1.0
2000-01-21,53.13,53.31,50.28,52.88,36.9455670859,448900,0.0,1.0
2000-01-24,53.5,54.25,51.38,52.0,36.3307391919,573000,0.0,1.0
2000-01-25,51.81,53.88,51.38,53.69,37.5114882156,497200,0.0,1.0
2000-01-26,54.0,54.22,52.56,53.56,37.4206613676,541500,0.0,1.0
2000-01-27,53.75,58.63,53.63,57.75,40.5506942826,967300,0.29,1.0
2000-01-28,57.25,57.25,54.88,56.13,39.4131683131,801400,0.0,1.0
2000-01-31,56.19,59.31,56.13,59.13,41.5196978862,440500,0.0,1.0
2000-02-01,58.88,60.0,58.56,59.75,41.9550473314,730800,0.0,1.0
2000-02-02,59.5,59.56,58.63,58.63,41.1686096241,655400,0.0,1.0
2000-02-03,58.56,59.5,57.13,57.94,40.6841078222,297300,0.0,1.0
2000-02-04,57.88,58.13,55.0,55.31,38.8373835631,240400,0.0,1.0
2000-02-07,55.38,55.75,53.88,55.25,38.7952529717,384300,0.0,1.0
2000-02-08,55.06,58.44,55.0,58.06,40.7683690052,366000,0.0,1.0
2000-02-09,58.56,58.69,54.0,55.13,38.7109917887,935800,0.0,1.0
2000-02-10,55.44,56.5,54.75,54.94,38.5775782491,362500,0.0,1.0
2000-02-11,55.44,56.0,54.5,54.69,38.402034118,448800,0.0,1.0
2000-02-14,54.69,55.23,54.06,54.13,38.0088152644,199400,0.0,1.0
2000-02-15,54.38,55.5,53.56,54.81,38.4862953009,412600,0.0,1.0
2000-02-16,54.75,54.81,54.25,54.44,38.2264899869,233900,0.0,1.0
2000-02-17,54.75,55.75,54.06,55.03,38.6407741363,439500,0.0,1.0
2000-02-18,55.0,55.12,49.62,49.88,35.0245650358,1174700,0.0,1.0
2000-02-22,50.06,51.19,48.88,51.13,35.9022856913,706100,0.0,1.0
2000-02-23,51.06,51.25,49.31,50.63,35.5511974291,433000,0.0,1.0
2000-02-24,50.78,51.56,50.44,50.88,35.7267415602,821900,0.0,1.0
2000-02-25,50.88,50.88,49.88,50.0,35.1088262187,338300,0.0,1.0
2000-02-28,49.97,52.66,49.69,51.5,36.1620910053,1029200,0.0,1.0
2000-02-29,51.75,53.25,51.0,53.06,37.2574863833,415700,0.0,1.0
2000-03-01,53.0,53.19,50.5,50.69,35.5933280205,786900,0.0,1.0
2000-03-02,50.69,52.25,50.69,51.44,36.1199604138,423300,0.0,1.0
2000-03-03,51.25,51.41,32.0,38.81,27.251470911,14244100,0.0,1.0
2000-03-06,39.25,42.38,37.13,41.56,29.182456353,3842200,0.0,1.0
2000-03-07,41.88,41.88,39.13,39.81,27.9536474353,1162600,0.0,1.0
2000-03-08,40.56,40.56,36.5,37.44,26.2894890726,1449300,0.0,1.0
2000-03-09,37.19,37.63,36.38,36.88,25.8962702189,862200,0.0,1.0
2000-03-10,36.94,39.75,36.06,37.25,26.1560755329,822100,0.0,1.0
2000-03-13,37.88,38.94,37.63,37.97,26.6616426305,1970600,0.0,1.0
2000-03-14,38.34,38.63,36.0,36.44,25.5873125482,536200,0.0,1.0
2000-03-15,36.75,39.5,36.69,38.75,27.2093403195,832300,0.0,1.0
2000-03-16,39.63,41.88,39.56,41.38,29.0560645786,1168300,0.0,1.0
2000-03-17,40.5,42.94,40.38,40.94,28.7471069079,1010300,0.0,1.0
2000-03-20,41.0,41.25,39.31,39.31,27.6025591731,542200,0.0,1.0
2000-03-21,39.25,42.63,38.63,42.25,29.6669581548,511800,0.0,1.0
2000-03-22,42.0,44.34,42.0,42.06,29.5335446152,529200,0.0,1.0
2000-03-23,41.75,44.0,41.5,44.0,30.8957670725,673600,0.0,1.0
2000-03-24,43.75,44.0,42.0,42.56,29.8846328774,579300,0.0,1.0
2000-03-27,42.59,42.69,38.81,39.44,27.6938421213,900300,0.0,1.0
2000-03-28,39.38,41.31,38.88,39.75,27.9115168439,796100,0.0,1.0
2000-03-29,39.69,40.88,38.88,39.52,27.7500162433,876000,0.0,1.0
2000-03-30,39.56,41.06,38.31,38.31,26.9003826488,1151400,0.0,1.0
2000-03-31,38.88,43.0,38.63,41.63,29.2316087097,1414100,0.0,1.0
2000-04-03,44.13,44.25,38.56,40.0,28.087060975,3809900,0.0,1.0
2000-04-04,41.5,43.75,40.75,41.63,29.2316087097,2188000,0.0,1.0
2000-04-05,41.06,41.69,40.95,41.13,28.8805204475,668100,0.0,1.0
2000-04-06,41.56,42.81,41.38,42.5,29.8425022859,1571600,0.0,1.0
2000-04-07,42.5,42.63,40.25,40.63,28.5294321853,848400,0.0,1.0
2000-04-10,40.63,42.88,40.56,42.38,29.758241103,1062400,0.0,1.0
2000-04-11,42.06,46.0,42.0,45.13,31.689226545,993300,0.0,1.0
2000-04-12,45.13,49.25,45.0,45.63,32.0403148072,1448900,0.0,1.0
2000-04-13,46.5,48.25,45.75,47.5,33.3533849078,2637700,0.0,1.0
2000-04-14,47.38,47.44,45.13,45.19,31.7313571365,1453900,0.0,1.0
2000-04-17,45.0,45.06,43.56,44.94,31.5558130054,1156300,0.0,1.0
2000-04-18,45.0,45.13,42.25,43.69,30.6780923499,485300,0.0,1.0
2000-04-19,43.81,43.81,39.88,40.88,28.7049763164,588900,0.0,1.0
2000-04-20,41.13,43.25,40.75,43.0,30.1935905481,1204700,0.0,1.0
2000-04-24,42.69,44.88,41.44,43.5,30.5446788103,373600,0.0,1.0
2000-04-25,43.69,46.5,43.5,44.63,31.3381382828,235200,0.0,1.0
2000-04-26,45.0,45.0,42.38,42.94,30.1514599566,309900,0.0,1.0
2000-04-27,42.38,42.5,40.88,41.44,29.0981951701,308400,0.0,1.0
2000-04-28,41.88,42.25,40.75,41.5,29.1403257615,224700,0.0,1.0
2000-05-01,41.44,42.44,41.13,41.75,29.3158698926,325500,0.0,1.0
2000-05-02,41.88,43.0,41.13,42.94,30.1514599566,605100,0.0,1.0
2000-05-03,42.88,43.0,40.5,40.69,28.5715627768,336100,0.0,1.0
2000-05-04,40.88,41.88,39.44,40.63,28.5294321853,533600,0.0,1.0
2000-05-05,40.44,41.0,40.0,40.75,28.6136933682,331300,0.0,1.0
2000-05-08,40.44,42.25,40.0,42.0,29.4914140237,664400,0.0,1.0
2000-05-09,42.19,43.38,41.31,42.0,29.4914140237,553000,0.0,1.0
2000-05-10,41.5,41.75,39.06,39.94,28.0449303835,312300,0.0,1.0
2000-05-11,40.19,42.0,40.13,41.25,29.1052169353,654400,0.2,1.0
2000-05-12,41.06,42.38,40.56,41.88,29.5497329758,347700,0.0,1.0
2000-05-15,42.13,42.63,41.75,42.38,29.9025234841,415200,0.0,1.0
